Epoch:0	SE:2.446125030517578
Epoch:1	SE:2.2213642597198486
Epoch:2	SE:1.5373790264129639
Epoch:3	SE:1.2452589273452759
Epoch:4	SE:1.239803671836853
Epoch:5	SE:1.2391782999038696
Epoch:6	SE:1.2320080995559692
Epoch:7	SE:1.2283935546875
Epoch:8	SE:1.2229617834091187
Epoch:9	SE:1.2131379842758179
Epoch:10	SE:1.2133610248565674
Epoch:11	SE:1.209722876548767
Epoch:12	SE:1.2050180435180664
Epoch:13	SE:1.204992651939392
Epoch:14	SE:1.1974531412124634
Epoch:15	SE:1.1937856674194336
Epoch:16	SE:1.1864124536514282
Epoch:17	SE:1.1854525804519653
Epoch:18	SE:1.180201530456543
Epoch:19	SE:1.1757733821868896
Epoch:20	SE:1.1781975030899048
Epoch:21	SE:1.1710304021835327
Epoch:22	SE:1.1675488948822021
Epoch:23	SE:1.1658108234405518
Epoch:24	SE:1.1642236709594727
Epoch:25	SE:1.1670262813568115
Epoch:26	SE:1.162455677986145
Epoch:27	SE:1.1629693508148193
Epoch:28	SE:1.1586650609970093
Epoch:29	SE:1.1618375778198242
Epoch:30	SE:1.1600847244262695
Epoch:31	SE:1.1597040891647339
Epoch:32	SE:1.1559115648269653
Epoch:33	SE:1.153268575668335
Epoch:34	SE:1.156860113143921
Epoch:35	SE:1.1550887823104858
Epoch:36	SE:1.1538712978363037
Epoch:37	SE:1.1523280143737793
Epoch:38	SE:1.151708960533142
Epoch:39	SE:1.1460007429122925
Epoch:40	SE:1.146285057067871
Epoch:41	SE:1.1455150842666626
Epoch:42	SE:1.1460118293762207
Epoch:43	SE:1.1471245288848877
Epoch:44	SE:1.1450861692428589
Epoch:45	SE:1.146736741065979
Epoch:46	SE:1.1437963247299194
Epoch:47	SE:1.1450984477996826
Epoch:48	SE:1.144458293914795
Epoch:49	SE:1.1449414491653442
Epoch:50	SE:1.141452670097351
Epoch:51	SE:1.146178126335144
Epoch:52	SE:1.1497136354446411
Epoch:53	SE:1.1445778608322144
Epoch:54	SE:1.143816590309143
Epoch:55	SE:1.1467735767364502
Epoch:56	SE:1.1448689699172974
Epoch:57	SE:1.1443822383880615
Epoch:58	SE:1.1437629461288452
Epoch:59	SE:1.1431223154067993
