Epoch:0	HANN(SE):1.1584336757659912	NNL:6.366175109863276
Epoch:1	HANN(SE):1.1122061014175415	NNL:5.573124633789065
Epoch:2	HANN(SE):1.1033717393875122	NNL:5.4190329996744815
Epoch:3	HANN(SE):1.0977177619934082	NNL:5.29542702484131
Epoch:4	HANN(SE):1.0901339054107666	NNL:5.1392484664917015
Epoch:5	HANN(SE):1.084381341934204	NNL:4.967552594502766
Epoch:6	HANN(SE):1.0750058889389038	NNL:4.807834256490069
Epoch:7	HANN(SE):1.0638314485549927	NNL:4.675943471272785
Epoch:8	HANN(SE):1.056406021118164	NNL:4.566772649129235
Epoch:9	HANN(SE):1.0419155359268188	NNL:4.473655049641929
Epoch:10	HANN(SE):1.0348494052886963	NNL:4.393603918711344
Epoch:11	HANN(SE):1.0247797966003418	NNL:4.319640823364259
Epoch:12	HANN(SE):1.021643877029419	NNL:4.251971048990886
Epoch:13	HANN(SE):1.0119068622589111	NNL:4.190300727844237
Epoch:14	HANN(SE):1.007326602935791	NNL:4.13368087895711
Epoch:15	HANN(SE):0.9997646808624268	NNL:4.081103613535562
Epoch:16	HANN(SE):0.987864077091217	NNL:4.031890701293947
Epoch:17	HANN(SE):0.9830353260040283	NNL:3.985577966054281
Epoch:18	HANN(SE):0.9739170074462891	NNL:3.9418059794108045
Epoch:19	HANN(SE):0.962960958480835	NNL:3.9001591758727985
Epoch:20	HANN(SE):0.9575838446617126	NNL:3.8604369926452633
Epoch:21	HANN(SE):0.9500395655632019	NNL:3.8224555727640808
Epoch:22	HANN(SE):0.9473534822463989	NNL:3.7858250300089535
Epoch:23	HANN(SE):0.9458591341972351	NNL:3.7503826789855976
Epoch:24	HANN(SE):0.9456238150596619	NNL:3.7160027770996122
Epoch:25	HANN(SE):0.9403215050697327	NNL:3.682565544128419
Epoch:26	HANN(SE):0.9362133741378784	NNL:3.649977078755694
Epoch:27	HANN(SE):0.932901918888092	NNL:3.6182073071797696
Epoch:28	HANN(SE):0.9269803166389465	NNL:3.5870105260213223
Epoch:29	HANN(SE):0.9287680387496948	NNL:3.556505279541014
Epoch:30	HANN(SE):0.9240131378173828	NNL:3.5265416870117177
Epoch:31	HANN(SE):0.9219927191734314	NNL:3.4973001721700023
Epoch:32	HANN(SE):0.9155398607254028	NNL:3.4686520665486635
Epoch:33	HANN(SE):0.9191319942474365	NNL:3.440723997751872
Epoch:34	HANN(SE):0.915299654006958	NNL:3.413520062764485
Epoch:35	HANN(SE):0.9122844338417053	NNL:3.3869664306640606
Epoch:36	HANN(SE):0.9126238822937012	NNL:3.3608053855896003
Epoch:37	HANN(SE):0.9126588106155396	NNL:3.334928292592368
Epoch:38	HANN(SE):0.9121434688568115	NNL:3.3093501942952472
Epoch:39	HANN(SE):0.9058031439781189	NNL:3.2841470413208005
Epoch:40	HANN(SE):0.9116010665893555	NNL:3.2595215326944986
Epoch:41	HANN(SE):0.9052155613899231	NNL:3.2352976964314775
Epoch:42	HANN(SE):0.9024918079376221	NNL:3.2115000305175783
Epoch:43	HANN(SE):0.9025038480758667	NNL:3.1880413678487143
Epoch:44	HANN(SE):0.9047989249229431	NNL:3.1649250386556
Epoch:45	HANN(SE):0.902248203754425	NNL:3.1422420438130696
Epoch:46	HANN(SE):0.8990354537963867	NNL:3.119978566487628
Epoch:47	HANN(SE):0.9068419933319092	NNL:3.0980219332377112
Epoch:48	HANN(SE):0.8978159427642822	NNL:3.07651136525472
Epoch:49	HANN(SE):0.9032253623008728	NNL:3.0554177996317553
Epoch:50	HANN(SE):0.8917686343193054	NNL:3.034780064900717
Epoch:51	HANN(SE):0.8921204805374146	NNL:3.014671763102214
Epoch:52	HANN(SE):0.896247148513794	NNL:2.99481458282471
Epoch:53	HANN(SE):0.8980959057807922	NNL:2.9752542406717923
Epoch:54	HANN(SE):0.8923934698104858	NNL:2.9560714073181136
Epoch:55	HANN(SE):0.895837664604187	NNL:2.9374203453063954
Epoch:56	HANN(SE):0.8963912129402161	NNL:2.9192710151672374
Epoch:57	HANN(SE):0.9000149965286255	NNL:2.901606269836426
Epoch:58	HANN(SE):0.8966339826583862	NNL:2.8843477236429846
Epoch:59	HANN(SE):0.894660472869873	NNL:2.867480734507243
