Epoch:0	SE:2.3944458961486816
Epoch:1	SE:1.995330572128296
Epoch:2	SE:1.3023582696914673
Epoch:3	SE:1.2862210273742676
Epoch:4	SE:1.2792495489120483
Epoch:5	SE:1.273788571357727
Epoch:6	SE:1.2707340717315674
Epoch:7	SE:1.2639245986938477
Epoch:8	SE:1.2583640813827515
Epoch:9	SE:1.2561683654785156
Epoch:10	SE:1.2506396770477295
Epoch:11	SE:1.2466495037078857
Epoch:12	SE:1.241175889968872
Epoch:13	SE:1.2397305965423584
Epoch:14	SE:1.2369461059570312
Epoch:15	SE:1.2348670959472656
Epoch:16	SE:1.2262992858886719
Epoch:17	SE:1.226811170578003
Epoch:18	SE:1.2196415662765503
Epoch:19	SE:1.2149174213409424
Epoch:20	SE:1.2099062204360962
Epoch:21	SE:1.2123260498046875
Epoch:22	SE:1.209869384765625
Epoch:23	SE:1.2083572149276733
Epoch:24	SE:1.2043358087539673
Epoch:25	SE:1.2046847343444824
Epoch:26	SE:1.2017433643341064
Epoch:27	SE:1.2004722356796265
Epoch:28	SE:1.1990488767623901
Epoch:29	SE:1.1973397731781006
Epoch:30	SE:1.1961323022842407
Epoch:31	SE:1.1954669952392578
Epoch:32	SE:1.1954470872879028
Epoch:33	SE:1.1938756704330444
Epoch:34	SE:1.1932361125946045
Epoch:35	SE:1.1899254322052002
Epoch:36	SE:1.1887410879135132
Epoch:37	SE:1.190118432044983
Epoch:38	SE:1.1891505718231201
Epoch:39	SE:1.1855024099349976
Epoch:40	SE:1.1838624477386475
Epoch:41	SE:1.18295419216156
Epoch:42	SE:1.185329556465149
Epoch:43	SE:1.183584451675415
Epoch:44	SE:1.18477201461792
Epoch:45	SE:1.179308533668518
Epoch:46	SE:1.182305097579956
Epoch:47	SE:1.1828930377960205
Epoch:48	SE:1.1820454597473145
Epoch:49	SE:1.1803468465805054
Epoch:50	SE:1.1810986995697021
Epoch:51	SE:1.1807938814163208
Epoch:52	SE:1.1798337697982788
Epoch:53	SE:1.180693507194519
Epoch:54	SE:1.1795642375946045
Epoch:55	SE:1.1791882514953613
Epoch:56	SE:1.1795153617858887
Epoch:57	SE:1.1783181428909302
Epoch:58	SE:1.1784794330596924
Epoch:59	SE:1.1798466444015503
