Epoch:0	HANN(SE):1.3038482666015625	NNL:4.4502082989546805
Epoch:1	HANN(SE):1.277489423751831	NNL:3.6760918604107715
Epoch:2	HANN(SE):1.2719274759292603	NNL:3.6326666020718985
Epoch:3	HANN(SE):1.2665369510650635	NNL:3.59389933357123
Epoch:4	HANN(SE):1.2636300325393677	NNL:3.542868424350849
Epoch:5	HANN(SE):1.261470079421997	NNL:3.485840945586851
Epoch:6	HANN(SE):1.2583229541778564	NNL:3.4297670483033604
Epoch:7	HANN(SE):1.2568118572235107	NNL:3.3769973390612074
Epoch:8	HANN(SE):1.2545276880264282	NNL:3.3280516083165628
Epoch:9	HANN(SE):1.2512192726135254	NNL:3.282503412936597
Epoch:10	HANN(SE):1.2498053312301636	NNL:3.2407027087844518
Epoch:11	HANN(SE):1.2492949962615967	NNL:3.2021101144019597
Epoch:12	HANN(SE):1.246963620185852	NNL:3.1658146514815244
Epoch:13	HANN(SE):1.2481151819229126	NNL:3.131337573757769
Epoch:14	HANN(SE):1.247416377067566	NNL:3.0984570345352034
Epoch:15	HANN(SE):1.246572732925415	NNL:3.0663722474041193
Epoch:16	HANN(SE):1.2454508543014526	NNL:3.0354106945204036
Epoch:17	HANN(SE):1.2438719272613525	NNL:3.005479983896954
Epoch:18	HANN(SE):1.2430599927902222	NNL:2.976402673962871
Epoch:19	HANN(SE):1.2442272901535034	NNL:2.947793897785312
Epoch:20	HANN(SE):1.2404961585998535	NNL:2.9202867501557424
Epoch:21	HANN(SE):1.2413500547409058	NNL:2.893197488949051
Epoch:22	HANN(SE):1.240905523300171	NNL:2.866748798277603
Epoch:23	HANN(SE):1.2394543886184692	NNL:2.8409810203042096
Epoch:24	HANN(SE):1.2390772104263306	NNL:2.8159099529965923
Epoch:25	HANN(SE):1.2391364574432373	NNL:2.7914569852803837
Epoch:26	HANN(SE):1.2399951219558716	NNL:2.7674778237579543
Epoch:27	HANN(SE):1.2386988401412964	NNL:2.7439590907845686
Epoch:28	HANN(SE):1.235421061515808	NNL:2.7210731845302996
Epoch:29	HANN(SE):1.238917350769043	NNL:2.698703428053929
Epoch:30	HANN(SE):1.2376253604888916	NNL:2.6770353049033813
Epoch:31	HANN(SE):1.235829472541809	NNL:2.656002647782531
Epoch:32	HANN(SE):1.2372015714645386	NNL:2.63558921806235
Epoch:33	HANN(SE):1.2371513843536377	NNL:2.615801451063689
Epoch:34	HANN(SE):1.2369015216827393	NNL:2.5966677094278876
Epoch:35	HANN(SE):1.234240174293518	NNL:2.5782087664811955
Epoch:36	HANN(SE):1.235824465751648	NNL:2.560367857016088
Epoch:37	HANN(SE):1.2350298166275024	NNL:2.5431320035059026
Epoch:38	HANN(SE):1.2366236448287964	NNL:2.52649795767988
Epoch:39	HANN(SE):1.2357456684112549	NNL:2.5104840595937183
Epoch:40	HANN(SE):1.2341718673706055	NNL:2.495042464672734
Epoch:41	HANN(SE):1.2358083724975586	NNL:2.48031602600546
Epoch:42	HANN(SE):1.2357388734817505	NNL:2.4657409017112593
Epoch:43	HANN(SE):1.2361862659454346	NNL:2.4515497707958254
Epoch:44	HANN(SE):1.2363086938858032	NNL:2.4381029467017457
Epoch:45	HANN(SE):1.2375303506851196	NNL:2.4251362402315926
Epoch:46	HANN(SE):1.2342971563339233	NNL:2.4120505034186817
Epoch:47	HANN(SE):1.236207365989685	NNL:2.3993489268340578
Epoch:48	HANN(SE):1.2355438470840454	NNL:2.3864597828989695
Epoch:49	HANN(SE):1.2364288568496704	NNL:2.3738822382392626
Epoch:50	HANN(SE):1.2368308305740356	NNL:2.361963559105284
Epoch:51	HANN(SE):1.2358416318893433	NNL:2.3504167318875546
Epoch:52	HANN(SE):1.235540747642517	NNL:2.339256515734825
Epoch:53	HANN(SE):1.2343617677688599	NNL:2.3286034664436213
Epoch:54	HANN(SE):1.2377375364303589	NNL:2.3186513064383516
Epoch:55	HANN(SE):1.2355719804763794	NNL:2.3084664164294826
Epoch:56	HANN(SE):1.2364578247070312	NNL:2.2978509684005193
Epoch:57	HANN(SE):1.2340278625488281	NNL:2.2872457505045443
Epoch:58	HANN(SE):1.2357368469238281	NNL:2.2767518167002954
Epoch:59	HANN(SE):1.2355905771255493	NNL:2.2660418598364416
