Epoch:0	SE:3.081394910812378
Epoch:1	SE:2.6135005950927734
Epoch:2	SE:1.5611677169799805
Epoch:3	SE:1.3070894479751587
Epoch:4	SE:1.2973861694335938
Epoch:5	SE:1.2895961999893188
Epoch:6	SE:1.2826189994812012
Epoch:7	SE:1.2761517763137817
Epoch:8	SE:1.2700170278549194
Epoch:9	SE:1.2640873193740845
Epoch:10	SE:1.258567214012146
Epoch:11	SE:1.2536664009094238
Epoch:12	SE:1.2490566968917847
Epoch:13	SE:1.2444689273834229
Epoch:14	SE:1.2398780584335327
Epoch:15	SE:1.2352656126022339
Epoch:16	SE:1.2306116819381714
Epoch:17	SE:1.2258954048156738
Epoch:18	SE:1.2210975885391235
Epoch:19	SE:1.2161973714828491
Epoch:20	SE:1.2119026184082031
Epoch:21	SE:1.2085275650024414
Epoch:22	SE:1.205461859703064
Epoch:23	SE:1.2023847103118896
Epoch:24	SE:1.1992648839950562
Epoch:25	SE:1.196088433265686
Epoch:26	SE:1.1928436756134033
Epoch:27	SE:1.1895192861557007
Epoch:28	SE:1.1861015558242798
Epoch:29	SE:1.1825752258300781
Epoch:30	SE:1.1791188716888428
Epoch:31	SE:1.1757042407989502
Epoch:32	SE:1.1721909046173096
Epoch:33	SE:1.1685247421264648
Epoch:34	SE:1.1646571159362793
Epoch:35	SE:1.1604974269866943
Epoch:36	SE:1.1558785438537598
Epoch:37	SE:1.1509114503860474
Epoch:38	SE:1.1458181142807007
Epoch:39	SE:1.140479564666748
Epoch:40	SE:1.1350209712982178
Epoch:41	SE:1.1294862031936646
Epoch:42	SE:1.1229630708694458
Epoch:43	SE:1.1153281927108765
Epoch:44	SE:1.1098724603652954
Epoch:45	SE:1.1047680377960205
Epoch:46	SE:1.1006582975387573
Epoch:47	SE:1.0953651666641235
Epoch:48	SE:1.0907692909240723
Epoch:49	SE:1.0858079195022583
Epoch:50	SE:1.0811679363250732
Epoch:51	SE:1.0768564939498901
Epoch:52	SE:1.072485089302063
Epoch:53	SE:1.0682390928268433
Epoch:54	SE:1.0633834600448608
Epoch:55	SE:1.0591843128204346
Epoch:56	SE:1.054255485534668
Epoch:57	SE:1.0490003824234009
Epoch:58	SE:1.0439484119415283
Epoch:59	SE:1.0380935668945312
Epoch:60	SE:1.0313315391540527
Epoch:61	SE:1.024929165840149
Epoch:62	SE:1.0179786682128906
Epoch:63	SE:1.0109919309616089
Epoch:64	SE:1.0038894414901733
Epoch:65	SE:0.9953822493553162
Epoch:66	SE:0.9868229627609253
Epoch:67	SE:0.9775100350379944
Epoch:68	SE:0.9672450423240662
Epoch:69	SE:0.9562015533447266
Epoch:70	SE:0.9443793892860413
Epoch:71	SE:0.9317206144332886
Epoch:72	SE:0.9182205200195312
Epoch:73	SE:0.9039955139160156
Epoch:74	SE:0.8893408179283142
Epoch:75	SE:0.8746994137763977
Epoch:76	SE:0.860211193561554
Epoch:77	SE:0.8459901809692383
Epoch:78	SE:0.832167387008667
Epoch:79	SE:0.8188360929489136
