Epoch:0	SE:2.2810471057891846
Epoch:1	SE:2.0645182132720947
Epoch:2	SE:1.571984887123108
Epoch:3	SE:1.2894988059997559
Epoch:4	SE:1.2774370908737183
Epoch:5	SE:1.270376443862915
Epoch:6	SE:1.2636080980300903
Epoch:7	SE:1.256907343864441
Epoch:8	SE:1.2501330375671387
Epoch:9	SE:1.2431637048721313
Epoch:10	SE:1.2364174127578735
Epoch:11	SE:1.231011986732483
Epoch:12	SE:1.2256855964660645
Epoch:13	SE:1.22024667263031
Epoch:14	SE:1.2146662473678589
Epoch:15	SE:1.2089192867279053
Epoch:16	SE:1.2029792070388794
Epoch:17	SE:1.1968224048614502
Epoch:18	SE:1.1904222965240479
Epoch:19	SE:1.1837518215179443
Epoch:20	SE:1.177666425704956
Epoch:21	SE:1.1736778020858765
Epoch:22	SE:1.169814109802246
Epoch:23	SE:1.1659144163131714
Epoch:24	SE:1.1619508266448975
Epoch:25	SE:1.1579136848449707
Epoch:26	SE:1.1537939310073853
Epoch:27	SE:1.1495834589004517
Epoch:28	SE:1.1452715396881104
Epoch:29	SE:1.1408475637435913
Epoch:30	SE:1.1366188526153564
Epoch:31	SE:1.1327545642852783
Epoch:32	SE:1.1287975311279297
Epoch:33	SE:1.124731421470642
Epoch:34	SE:1.1205253601074219
Epoch:35	SE:1.1161155700683594
Epoch:36	SE:1.1113051176071167
Epoch:37	SE:1.1055268049240112
Epoch:38	SE:1.099814534187317
Epoch:39	SE:1.0937979221343994
Epoch:40	SE:1.0867750644683838
Epoch:41	SE:1.0818923711776733
Epoch:42	SE:1.0772054195404053
Epoch:43	SE:1.0723854303359985
Epoch:44	SE:1.0675694942474365
Epoch:45	SE:1.0627343654632568
Epoch:46	SE:1.0577667951583862
Epoch:47	SE:1.05284583568573
Epoch:48	SE:1.0475317239761353
Epoch:49	SE:1.042600393295288
Epoch:50	SE:1.0375964641571045
Epoch:51	SE:1.0332610607147217
Epoch:52	SE:1.0290297269821167
Epoch:53	SE:1.025530219078064
Epoch:54	SE:1.0208526849746704
Epoch:55	SE:1.0170841217041016
Epoch:56	SE:1.0129914283752441
Epoch:57	SE:1.0082913637161255
Epoch:58	SE:1.0046101808547974
Epoch:59	SE:1.0001261234283447
Epoch:60	SE:0.9954602122306824
Epoch:61	SE:0.9931773543357849
Epoch:62	SE:0.9880561232566833
Epoch:63	SE:0.9827951788902283
Epoch:64	SE:0.9782692790031433
Epoch:65	SE:0.9718862771987915
Epoch:66	SE:0.9672502279281616
Epoch:67	SE:0.9615452885627747
Epoch:68	SE:0.955523669719696
Epoch:69	SE:0.9479684829711914
Epoch:70	SE:0.940060019493103
Epoch:71	SE:0.9328331351280212
Epoch:72	SE:0.9236868023872375
Epoch:73	SE:0.9135698080062866
Epoch:74	SE:0.9021396636962891
Epoch:75	SE:0.8904862403869629
Epoch:76	SE:0.8789132833480835
Epoch:77	SE:0.8668018579483032
Epoch:78	SE:0.8548340201377869
Epoch:79	SE:0.8426691293716431
