Epoch:0	SE:2.901808023452759
Epoch:1	SE:2.4877469539642334
Epoch:2	SE:1.5331380367279053
Epoch:3	SE:1.2943204641342163
Epoch:4	SE:1.28551185131073
Epoch:5	SE:1.2780625820159912
Epoch:6	SE:1.2710899114608765
Epoch:7	SE:1.2643535137176514
Epoch:8	SE:1.2576884031295776
Epoch:9	SE:1.2509562969207764
Epoch:10	SE:1.2450112104415894
Epoch:11	SE:1.240071415901184
Epoch:12	SE:1.2353302240371704
Epoch:13	SE:1.2305368185043335
Epoch:14	SE:1.2256689071655273
Epoch:15	SE:1.220703125
Epoch:16	SE:1.2156206369400024
Epoch:17	SE:1.2103989124298096
Epoch:18	SE:1.205014944076538
Epoch:19	SE:1.1994472742080688
Epoch:20	SE:1.1946884393692017
Epoch:21	SE:1.1911991834640503
Epoch:22	SE:1.1879477500915527
Epoch:23	SE:1.1846635341644287
Epoch:24	SE:1.181316614151001
Epoch:25	SE:1.1778963804244995
Epoch:26	SE:1.1743894815444946
Epoch:27	SE:1.1707842350006104
Epoch:28	SE:1.1670647859573364
Epoch:29	SE:1.1632099151611328
Epoch:30	SE:1.1595317125320435
Epoch:31	SE:1.1560001373291016
Epoch:32	SE:1.15227210521698
Epoch:33	SE:1.1481469869613647
Epoch:34	SE:1.1436599493026733
Epoch:35	SE:1.1392759084701538
Epoch:36	SE:1.134833812713623
Epoch:37	SE:1.1302869319915771
Epoch:38	SE:1.1255615949630737
Epoch:39	SE:1.1205791234970093
Epoch:40	SE:1.1152769327163696
Epoch:41	SE:1.1094117164611816
Epoch:42	SE:1.1049085855484009
Epoch:43	SE:1.1005244255065918
Epoch:44	SE:1.0962305068969727
Epoch:45	SE:1.091853380203247
Epoch:46	SE:1.0881556272506714
Epoch:47	SE:1.0839300155639648
Epoch:48	SE:1.0793017148971558
Epoch:49	SE:1.075208067893982
Epoch:50	SE:1.0713266134262085
Epoch:51	SE:1.067528247833252
Epoch:52	SE:1.0637900829315186
Epoch:53	SE:1.0600823163986206
Epoch:54	SE:1.0565968751907349
Epoch:55	SE:1.052870512008667
Epoch:56	SE:1.0490161180496216
Epoch:57	SE:1.0453112125396729
Epoch:58	SE:1.0408111810684204
Epoch:59	SE:1.0363517999649048
Epoch:60	SE:1.03155517578125
Epoch:61	SE:1.0264630317687988
Epoch:62	SE:1.0208041667938232
Epoch:63	SE:1.014435887336731
Epoch:64	SE:1.0073820352554321
Epoch:65	SE:0.9997824430465698
Epoch:66	SE:0.9907806515693665
Epoch:67	SE:0.9796654582023621
Epoch:68	SE:0.9687783718109131
Epoch:69	SE:0.9579060077667236
Epoch:70	SE:0.9469866156578064
Epoch:71	SE:0.9359593391418457
Epoch:72	SE:0.924934446811676
Epoch:73	SE:0.9139238595962524
Epoch:74	SE:0.9027181267738342
Epoch:75	SE:0.8913759589195251
Epoch:76	SE:0.8801823854446411
Epoch:77	SE:0.8690126538276672
Epoch:78	SE:0.8578148484230042
Epoch:79	SE:0.8465589880943298
