Epoch:0	SE:2.6339824199676514
Epoch:1	SE:2.232466697692871
Epoch:2	SE:1.47314453125
Epoch:3	SE:1.2966499328613281
Epoch:4	SE:1.28696870803833
Epoch:5	SE:1.2810826301574707
Epoch:6	SE:1.2745435237884521
Epoch:7	SE:1.2676811218261719
Epoch:8	SE:1.261890172958374
Epoch:9	SE:1.2536885738372803
Epoch:10	SE:1.247896432876587
Epoch:11	SE:1.245375633239746
Epoch:12	SE:1.240687608718872
Epoch:13	SE:1.2354438304901123
Epoch:14	SE:1.2308844327926636
Epoch:15	SE:1.224926471710205
Epoch:16	SE:1.2209802865982056
Epoch:17	SE:1.215814471244812
Epoch:18	SE:1.212780475616455
Epoch:19	SE:1.2060025930404663
Epoch:20	SE:1.1999247074127197
Epoch:21	SE:1.1991660594940186
Epoch:22	SE:1.1955418586730957
Epoch:23	SE:1.1921982765197754
Epoch:24	SE:1.1898170709609985
Epoch:25	SE:1.185784935951233
Epoch:26	SE:1.181134581565857
Epoch:27	SE:1.179869294166565
Epoch:28	SE:1.178235650062561
Epoch:29	SE:1.1735055446624756
Epoch:30	SE:1.1690760850906372
Epoch:31	SE:1.1659481525421143
Epoch:32	SE:1.1625350713729858
Epoch:33	SE:1.158888578414917
Epoch:34	SE:1.1557289361953735
Epoch:35	SE:1.1509299278259277
Epoch:36	SE:1.1476545333862305
Epoch:37	SE:1.1457287073135376
Epoch:38	SE:1.1377707719802856
Epoch:39	SE:1.1346113681793213
Epoch:40	SE:1.124950885772705
Epoch:41	SE:1.1204979419708252
Epoch:42	SE:1.116101622581482
Epoch:43	SE:1.1124720573425293
Epoch:44	SE:1.1068191528320312
Epoch:45	SE:1.10638427734375
Epoch:46	SE:1.1017957925796509
Epoch:47	SE:1.0988672971725464
Epoch:48	SE:1.0922354459762573
Epoch:49	SE:1.0918004512786865
Epoch:50	SE:1.0879255533218384
Epoch:51	SE:1.0838099718093872
Epoch:52	SE:1.0825830698013306
Epoch:53	SE:1.0783886909484863
Epoch:54	SE:1.0741493701934814
Epoch:55	SE:1.0740017890930176
Epoch:56	SE:1.069665551185608
Epoch:57	SE:1.0677653551101685
Epoch:58	SE:1.0631386041641235
Epoch:59	SE:1.0605897903442383
Epoch:60	SE:1.0574955940246582
Epoch:61	SE:1.0537235736846924
Epoch:62	SE:1.0488985776901245
Epoch:63	SE:1.0473618507385254
Epoch:64	SE:1.040602445602417
Epoch:65	SE:1.0418528318405151
Epoch:66	SE:1.0324383974075317
Epoch:67	SE:1.027284026145935
Epoch:68	SE:1.0242027044296265
Epoch:69	SE:1.0184016227722168
Epoch:70	SE:1.0094736814498901
Epoch:71	SE:1.0040558576583862
Epoch:72	SE:0.9960981011390686
Epoch:73	SE:0.9881958961486816
Epoch:74	SE:0.9788523316383362
Epoch:75	SE:0.9706934094429016
Epoch:76	SE:0.9585824012756348
Epoch:77	SE:0.9502673745155334
Epoch:78	SE:0.9376977682113647
Epoch:79	SE:0.9272230863571167
