Epoch:0	HANN(SE):1.3240125179290771	NNL:5.122873655278631
Epoch:1	HANN(SE):1.2823867797851562	NNL:3.7406563600580736
Epoch:2	HANN(SE):1.2745249271392822	NNL:3.6654567199057713
Epoch:3	HANN(SE):1.2731261253356934	NNL:3.6385254539327403
Epoch:4	HANN(SE):1.2698023319244385	NNL:3.6182869265941853
Epoch:5	HANN(SE):1.270398497581482	NNL:3.596375652881377
Epoch:6	HANN(SE):1.2699967622756958	NNL:3.5693512238847434
Epoch:7	HANN(SE):1.2651962041854858	NNL:3.538022693065885
Epoch:8	HANN(SE):1.2629659175872803	NNL:3.5052259713030898
Epoch:9	HANN(SE):1.2598994970321655	NNL:3.471981480375249
Epoch:10	HANN(SE):1.2591774463653564	NNL:3.4386286049700776
Epoch:11	HANN(SE):1.2585792541503906	NNL:3.4065887321309845
Epoch:12	HANN(SE):1.2575503587722778	NNL:3.376157924570935
Epoch:13	HANN(SE):1.2552698850631714	NNL:3.3470163889134166
Epoch:14	HANN(SE):1.252874493598938	NNL:3.3185304049228117
Epoch:15	HANN(SE):1.2552285194396973	NNL:3.290705985211312
Epoch:16	HANN(SE):1.2527122497558594	NNL:3.2637897053170715
Epoch:17	HANN(SE):1.2549099922180176	NNL:3.237950553082402
