Epoch:0	SE:2.4377379417419434
Epoch:1	SE:2.1056466102600098
Epoch:2	SE:1.446731686592102
Epoch:3	SE:1.2842804193496704
Epoch:4	SE:1.2761244773864746
Epoch:5	SE:1.2692095041275024
Epoch:6	SE:1.2626042366027832
Epoch:7	SE:1.256071925163269
Epoch:8	SE:1.2494480609893799
Epoch:9	SE:1.2425956726074219
Epoch:10	SE:1.2365844249725342
Epoch:11	SE:1.2316266298294067
Epoch:12	SE:1.2268368005752563
Epoch:13	SE:1.221960425376892
Epoch:14	SE:1.2169746160507202
Epoch:15	SE:1.2118604183197021
Epoch:16	SE:1.2065966129302979
Epoch:17	SE:1.2011626958847046
Epoch:18	SE:1.1955353021621704
Epoch:19	SE:1.1896923780441284
Epoch:20	SE:1.18471097946167
Epoch:21	SE:1.1811692714691162
Epoch:22	SE:1.1778175830841064
Epoch:23	SE:1.1744297742843628
Epoch:24	SE:1.1709740161895752
Epoch:25	SE:1.1674351692199707
Epoch:26	SE:1.1637992858886719
Epoch:27	SE:1.1600509881973267
Epoch:28	SE:1.1561763286590576
Epoch:29	SE:1.1521576642990112
Epoch:30	SE:1.148371934890747
Epoch:31	SE:1.1448110342025757
Epoch:32	SE:1.1411237716674805
Epoch:33	SE:1.1372720003128052
Epoch:34	SE:1.1332206726074219
Epoch:35	SE:1.1289258003234863
Epoch:36	SE:1.1243308782577515
Epoch:37	SE:1.1193904876708984
Epoch:38	SE:1.1141047477722168
Epoch:39	SE:1.1084805727005005
Epoch:40	SE:1.1027195453643799
Epoch:41	SE:1.0969294309616089
Epoch:42	SE:1.090564250946045
Epoch:43	SE:1.0858187675476074
Epoch:44	SE:1.0813283920288086
Epoch:45	SE:1.0771971940994263
Epoch:46	SE:1.0732537508010864
Epoch:47	SE:1.0693870782852173
Epoch:48	SE:1.0653636455535889
Epoch:49	SE:1.0611648559570312
Epoch:50	SE:1.0567011833190918
Epoch:51	SE:1.0518814325332642
Epoch:52	SE:1.0466055870056152
Epoch:53	SE:1.0407862663269043
Epoch:54	SE:1.0344018936157227
Epoch:55	SE:1.027450680732727
Epoch:56	SE:1.019846796989441
Epoch:57	SE:1.0115092992782593
Epoch:58	SE:1.0023090839385986
Epoch:59	SE:0.9921220541000366
Epoch:60	SE:0.9809175729751587
Epoch:61	SE:0.9688098430633545
Epoch:62	SE:0.9555155634880066
Epoch:63	SE:0.9410753846168518
Epoch:64	SE:0.9259280562400818
Epoch:65	SE:0.9105206727981567
Epoch:66	SE:0.8953078985214233
Epoch:67	SE:0.8804273009300232
Epoch:68	SE:0.8658772706985474
Epoch:69	SE:0.8517059683799744
Epoch:70	SE:0.8379921317100525
Epoch:71	SE:0.8247698545455933
Epoch:72	SE:0.8120495676994324
Epoch:73	SE:0.7998815178871155
Epoch:74	SE:0.7881818413734436
Epoch:75	SE:0.7768979668617249
Epoch:76	SE:0.7660013437271118
Epoch:77	SE:0.7554248571395874
Epoch:78	SE:0.7451737523078918
Epoch:79	SE:0.7352221608161926
