Epoch:0	HANN(SE):1.3015185594558716	NNL:4.819592819213869
Epoch:1	HANN(SE):1.285081386566162	NNL:3.707282085012884
Epoch:2	HANN(SE):1.2844761610031128	NNL:3.6522307895092263
Epoch:3	HANN(SE):1.278353214263916	NNL:3.630681603614321
Epoch:4	HANN(SE):1.275923490524292	NNL:3.612353910080931
Epoch:5	HANN(SE):1.2749919891357422	NNL:3.5906545695852734
Epoch:6	HANN(SE):1.272657036781311	NNL:3.565146599627555
Epoch:7	HANN(SE):1.2714881896972656	NNL:3.534259607842628
Epoch:8	HANN(SE):1.2668699026107788	NNL:3.496591145941552
Epoch:9	HANN(SE):1.2663278579711914	NNL:3.4581755455504055
Epoch:10	HANN(SE):1.2646839618682861	NNL:3.4240773091417642
Epoch:11	HANN(SE):1.2652928829193115	NNL:3.392660218908433
Epoch:12	HANN(SE):1.259914517402649	NNL:3.362455671594496
Epoch:13	HANN(SE):1.264782428741455	NNL:3.333171510087685
Epoch:14	HANN(SE):1.261612057685852	NNL:3.3051099996363864
Epoch:15	HANN(SE):1.2595192193984985	NNL:3.2788748704626167
Epoch:16	HANN(SE):1.2606797218322754	NNL:3.2542009726991052
Epoch:17	HANN(SE):1.2604726552963257	NNL:3.23027329221685
Epoch:18	HANN(SE):1.259995460510254	NNL:3.207070494306848
Epoch:19	HANN(SE):1.2573376893997192	NNL:3.1845192515596423
Epoch:20	HANN(SE):1.2566673755645752	NNL:3.162719532581084
Epoch:21	HANN(SE):1.2584553956985474	NNL:3.1417153094677217
Epoch:22	HANN(SE):1.2570816278457642	NNL:3.1210956752046615
Epoch:23	HANN(SE):1.258142113685608	NNL:3.10097991050558
Epoch:24	HANN(SE):1.258325219154358	NNL:3.0813500448998004
Epoch:25	HANN(SE):1.2567106485366821	NNL:3.062486310918282
Epoch:26	HANN(SE):1.2571302652359009	NNL:3.043691157077221
Epoch:27	HANN(SE):1.2582024335861206	NNL:3.025278834079175
Epoch:28	HANN(SE):1.2590363025665283	NNL:3.0070503794893315
Epoch:29	HANN(SE):1.2568182945251465	NNL:2.9890032390837993
Epoch:30	HANN(SE):1.2572835683822632	NNL:2.9711126587238734
Epoch:31	HANN(SE):1.2597157955169678	NNL:2.953597653977415
Epoch:32	HANN(SE):1.2592284679412842	NNL:2.93622973746442
Epoch:33	HANN(SE):1.2624499797821045	NNL:2.9192298345362895
Epoch:34	HANN(SE):1.2598731517791748	NNL:2.9024208336688093
Epoch:35	HANN(SE):1.2600613832473755	NNL:2.885907493753634
Epoch:36	HANN(SE):1.2618422508239746	NNL:2.8695235897632343
Epoch:37	HANN(SE):1.26128351688385	NNL:2.8534119488330614
Epoch:38	HANN(SE):1.2605477571487427	NNL:2.8374982606603734
Epoch:39	HANN(SE):1.2632724046707153	NNL:2.821933569400868
Epoch:40	HANN(SE):1.2624168395996094	NNL:2.806477174961822
Epoch:41	HANN(SE):1.262736439704895	NNL:2.791345344705783
Epoch:42	HANN(SE):1.2628016471862793	NNL:2.776368572153943
Epoch:43	HANN(SE):1.2621850967407227	NNL:2.761618405605883
Epoch:44	HANN(SE):1.263166069984436	NNL:2.7473578830475494
Epoch:45	HANN(SE):1.2635024785995483	NNL:2.733196792602538
Epoch:46	HANN(SE):1.2644225358963013	NNL:2.7194548797607414
Epoch:47	HANN(SE):1.2616541385650635	NNL:2.7058897367436843
Epoch:48	HANN(SE):1.262184739112854	NNL:2.692752464781416
Epoch:49	HANN(SE):1.2654762268066406	NNL:2.6800788400528286
Epoch:50	HANN(SE):1.263738989830017	NNL:2.667904857067353
Epoch:51	HANN(SE):1.265991449356079	NNL:2.654994459760949
Epoch:52	HANN(SE):1.2644059658050537	NNL:2.641678621008042
Epoch:53	HANN(SE):1.26764714717865	NNL:2.628223592068287
Epoch:54	HANN(SE):1.2667635679244995	NNL:2.615063160835429
Epoch:55	HANN(SE):1.2651888132095337	NNL:2.6020815893944267
Epoch:56	HANN(SE):1.2662239074707031	NNL:2.589315467185162
Epoch:57	HANN(SE):1.2666336297988892	NNL:2.576712629439983
Epoch:58	HANN(SE):1.268639326095581	NNL:2.5643717404629327
Epoch:59	HANN(SE):1.2683290243148804	NNL:2.552065406961644
