Epoch:0	HANN(SE):1.3241156339645386	NNL:5.047682490247363
Epoch:1	HANN(SE):1.2804601192474365	NNL:3.744021022066159
Epoch:2	HANN(SE):1.2768980264663696	NNL:3.668341319307368
Epoch:3	HANN(SE):1.2735259532928467	NNL:3.6409018106663478
Epoch:4	HANN(SE):1.2703534364700317	NNL:3.6204494622413153
Epoch:5	HANN(SE):1.2669743299484253	NNL:3.598436879908785
Epoch:6	HANN(SE):1.2666194438934326	NNL:3.570892902130777
Epoch:7	HANN(SE):1.2648297548294067	NNL:3.5393793406385066
Epoch:8	HANN(SE):1.2612775564193726	NNL:3.5072934998857224
Epoch:9	HANN(SE):1.2588920593261719	NNL:3.4757970607027087
Epoch:10	HANN(SE):1.2595810890197754	NNL:3.4448727189733637
Epoch:11	HANN(SE):1.258130431175232	NNL:3.4139361734593163
Epoch:12	HANN(SE):1.2579599618911743	NNL:3.3827389997117074
Epoch:13	HANN(SE):1.2555584907531738	NNL:3.3521568314572594
Epoch:14	HANN(SE):1.2545487880706787	NNL:3.3224658608943867
Epoch:15	HANN(SE):1.2527507543563843	NNL:3.293722298804751
Epoch:16	HANN(SE):1.2519018650054932	NNL:3.265990909008269
Epoch:17	HANN(SE):1.254637360572815	NNL:3.239468959240205
Epoch:18	HANN(SE):1.2522708177566528	NNL:3.21417662113271
Epoch:19	HANN(SE):1.2506167888641357	NNL:3.189965808949572
Epoch:20	HANN(SE):1.251824140548706	NNL:3.1667439797584036
Epoch:21	HANN(SE):1.2491246461868286	NNL:3.1444284414737784
Epoch:22	HANN(SE):1.2483042478561401	NNL:3.122862787449614
Epoch:23	HANN(SE):1.2490031719207764	NNL:3.1019328957415637
Epoch:24	HANN(SE):1.247851848602295	NNL:3.081506107411487
Epoch:25	HANN(SE):1.2489354610443115	NNL:3.0614832500701255
Epoch:26	HANN(SE):1.2497676610946655	NNL:3.0418216031662957
Epoch:27	HANN(SE):1.2478711605072021	NNL:3.022415231745291
Epoch:28	HANN(SE):1.2462992668151855	NNL:3.00320982750426
Epoch:29	HANN(SE):1.2469217777252197	NNL:2.984321060992302
Epoch:30	HANN(SE):1.2468682527542114	NNL:2.965624625835014
Epoch:31	HANN(SE):1.2497365474700928	NNL:2.94722645861037
Epoch:32	HANN(SE):1.2496752738952637	NNL:2.9290303753791984
Epoch:33	HANN(SE):1.2489758729934692	NNL:2.91107601003444
Epoch:34	HANN(SE):1.2472728490829468	NNL:2.8934386573953814
Epoch:35	HANN(SE):1.2466217279434204	NNL:2.8760930641661298
Epoch:36	HANN(SE):1.2462687492370605	NNL:2.859147835589469
Epoch:37	HANN(SE):1.246469497680664	NNL:2.842477857711469
Epoch:38	HANN(SE):1.2499784231185913	NNL:2.8262632751464847
Epoch:39	HANN(SE):1.2476383447647095	NNL:2.8099732265066595
Epoch:40	HANN(SE):1.245954990386963	NNL:2.794167748309195
Epoch:41	HANN(SE):1.248010516166687	NNL:2.7782876246026227
Epoch:42	HANN(SE):1.2463841438293457	NNL:2.7628911119826296
Epoch:43	HANN(SE):1.2493624687194824	NNL:2.7475230505111368
Epoch:44	HANN(SE):1.2461841106414795	NNL:2.732558279646204
Epoch:45	HANN(SE):1.2475082874298096	NNL:2.7178238028668344
Epoch:46	HANN(SE):1.2456088066101074	NNL:2.703477919558262
Epoch:47	HANN(SE):1.2484652996063232	NNL:2.6895370783704395
Epoch:48	HANN(SE):1.2470171451568604	NNL:2.676044205198899
Epoch:49	HANN(SE):1.2474308013916016	NNL:2.6629749403608605
Epoch:50	HANN(SE):1.24626886844635	NNL:2.650261052720089
Epoch:51	HANN(SE):1.247351050376892	NNL:2.6376742326452387
Epoch:52	HANN(SE):1.249927282333374	NNL:2.6251954553482375
Epoch:53	HANN(SE):1.2482000589370728	NNL:2.612800373320883
Epoch:54	HANN(SE):1.2471466064453125	NNL:2.600573239427931
Epoch:55	HANN(SE):1.2466446161270142	NNL:2.588412278357973
Epoch:56	HANN(SE):1.2500193119049072	NNL:2.5764269500083112
Epoch:57	HANN(SE):1.2475543022155762	NNL:2.564569454598935
Epoch:58	HANN(SE):1.245742678642273	NNL:2.552920705105396
Epoch:59	HANN(SE):1.2458206415176392	NNL:2.541449581714386
