Epoch:0	SE:2.3814399242401123
Epoch:1	SE:1.8991750478744507
Epoch:2	SE:1.29649817943573
Epoch:3	SE:1.2828598022460938
Epoch:4	SE:1.2783008813858032
Epoch:5	SE:1.2751078605651855
Epoch:6	SE:1.269504427909851
Epoch:7	SE:1.2647438049316406
Epoch:8	SE:1.2630316019058228
Epoch:9	SE:1.2604986429214478
Epoch:10	SE:1.251479148864746
Epoch:11	SE:1.2549124956130981
Epoch:12	SE:1.248924970626831
Epoch:13	SE:1.2458208799362183
Epoch:14	SE:1.2414731979370117
Epoch:15	SE:1.2421562671661377
Epoch:16	SE:1.2355084419250488
Epoch:17	SE:1.235700249671936
Epoch:18	SE:1.232125163078308
Epoch:19	SE:1.230510950088501
Epoch:20	SE:1.227164387702942
Epoch:21	SE:1.2271499633789062
Epoch:22	SE:1.2252510786056519
Epoch:23	SE:1.2242121696472168
Epoch:24	SE:1.2230560779571533
Epoch:25	SE:1.2210686206817627
Epoch:26	SE:1.2201086282730103
Epoch:27	SE:1.220778465270996
Epoch:28	SE:1.2182635068893433
Epoch:29	SE:1.2182093858718872
Epoch:30	SE:1.21552574634552
Epoch:31	SE:1.2136273384094238
Epoch:32	SE:1.2147926092147827
Epoch:33	SE:1.2154837846755981
Epoch:34	SE:1.2119719982147217
Epoch:35	SE:1.2139935493469238
Epoch:36	SE:1.210297703742981
Epoch:37	SE:1.2107707262039185
Epoch:38	SE:1.2095520496368408
Epoch:39	SE:1.2070868015289307
Epoch:40	SE:1.2081235647201538
Epoch:41	SE:1.2101795673370361
Epoch:42	SE:1.2090603113174438
Epoch:43	SE:1.2053766250610352
Epoch:44	SE:1.209185242652893
Epoch:45	SE:1.2092397212982178
Epoch:46	SE:1.2046889066696167
Epoch:47	SE:1.206307291984558
Epoch:48	SE:1.2059388160705566
Epoch:49	SE:1.207940697669983
Epoch:50	SE:1.205787181854248
Epoch:51	SE:1.202673077583313
Epoch:52	SE:1.2062644958496094
Epoch:53	SE:1.2050282955169678
Epoch:54	SE:1.2048369646072388
Epoch:55	SE:1.204897165298462
Epoch:56	SE:1.204241156578064
Epoch:57	SE:1.2052699327468872
Epoch:58	SE:1.2060989141464233
Epoch:59	SE:1.2030202150344849
Epoch:60	SE:1.202152967453003
Epoch:61	SE:1.2058734893798828
Epoch:62	SE:1.202782154083252
Epoch:63	SE:1.2042338848114014
Epoch:64	SE:1.203235387802124
Epoch:65	SE:1.2009668350219727
Epoch:66	SE:1.2029497623443604
Epoch:67	SE:1.2029964923858643
Epoch:68	SE:1.2035800218582153
Epoch:69	SE:1.2051774263381958
Epoch:70	SE:1.205137848854065
Epoch:71	SE:1.2022572755813599
Epoch:72	SE:1.2029731273651123
Epoch:73	SE:1.2046079635620117
Epoch:74	SE:1.2033796310424805
Epoch:75	SE:1.2006665468215942
Epoch:76	SE:1.1998653411865234
Epoch:77	SE:1.201777458190918
Epoch:78	SE:1.2018319368362427
Epoch:79	SE:1.2010948657989502
