Epoch:0	HANN(SE):1.29644775390625	NNL:4.840303274925718
Epoch:1	HANN(SE):1.2857927083969116	NNL:3.7022913019707855
Epoch:2	HANN(SE):1.2853015661239624	NNL:3.6501590144380605
Epoch:3	HANN(SE):1.2802765369415283	NNL:3.6296438306443224
Epoch:4	HANN(SE):1.2760099172592163	NNL:3.6122796695790407
Epoch:5	HANN(SE):1.2761716842651367	NNL:3.591530571795526
Epoch:6	HANN(SE):1.2728893756866455	NNL:3.566039897837537
Epoch:7	HANN(SE):1.2718249559402466	NNL:3.5353045719227905
Epoch:8	HANN(SE):1.268163800239563	NNL:3.4987027724245734
Epoch:9	HANN(SE):1.266047716140747	NNL:3.461077874366273
Epoch:10	HANN(SE):1.2646353244781494	NNL:3.425263441369889
Epoch:11	HANN(SE):1.26406729221344	NNL:3.3916414983221816
Epoch:12	HANN(SE):1.2646044492721558	NNL:3.360469201270572
Epoch:13	HANN(SE):1.262374758720398	NNL:3.3313968496119712
Epoch:14	HANN(SE):1.2603482007980347	NNL:3.3040614919459586
Epoch:15	HANN(SE):1.2611032724380493	NNL:3.278490087630899
Epoch:16	HANN(SE):1.2608853578567505	NNL:3.2538509588038664
Epoch:17	HANN(SE):1.2591477632522583	NNL:3.2302627636523966
Epoch:18	HANN(SE):1.2589952945709229	NNL:3.207529346384899
Epoch:19	HANN(SE):1.2568531036376953	NNL:3.1853545071216365
Epoch:20	HANN(SE):1.2589211463928223	NNL:3.1637184800492952
Epoch:21	HANN(SE):1.2584415674209595	NNL:3.1425815712137424
Epoch:22	HANN(SE):1.258424162864685	NNL:3.1218789486174896
Epoch:23	HANN(SE):1.256873607635498	NNL:3.1017171851624843
Epoch:24	HANN(SE):1.2583669424057007	NNL:3.082138505489267
Epoch:25	HANN(SE):1.258857011795044	NNL:3.062368000923321
Epoch:26	HANN(SE):1.2573612928390503	NNL:3.043145551478609
Epoch:27	HANN(SE):1.2566581964492798	NNL:3.0242574009996774
Epoch:28	HANN(SE):1.2595494985580444	NNL:3.005962911565253
Epoch:29	HANN(SE):1.256524920463562	NNL:2.9882750539576737
Epoch:30	HANN(SE):1.260255217552185	NNL:2.9713911429871915
Epoch:31	HANN(SE):1.262413740158081	NNL:2.9543029614712344
Epoch:32	HANN(SE):1.2586222887039185	NNL:2.9372766048350214
Epoch:33	HANN(SE):1.2618755102157593	NNL:2.9199840440141367
Epoch:34	HANN(SE):1.2595189809799194	NNL:2.9031455522902467
Epoch:35	HANN(SE):1.2616803646087646	NNL:2.8865218483133535
Epoch:36	HANN(SE):1.2616419792175293	NNL:2.8701647129464654
Epoch:37	HANN(SE):1.2605723142623901	NNL:2.8540726406016246
Epoch:38	HANN(SE):1.2647655010223389	NNL:2.8382475986886546
Epoch:39	HANN(SE):1.2620766162872314	NNL:2.8229716792005175
Epoch:40	HANN(SE):1.2622402906417847	NNL:2.808052917642797
Epoch:41	HANN(SE):1.2636644840240479	NNL:2.793017372780659
Epoch:42	HANN(SE):1.2620130777359009	NNL:2.7783890817520467
Epoch:43	HANN(SE):1.2611279487609863	NNL:2.7642293353790937
Epoch:44	HANN(SE):1.2606319189071655	NNL:2.7503916744475667
Epoch:45	HANN(SE):1.2635055780410767	NNL:2.7370490467802004
Epoch:46	HANN(SE):1.262968897819519	NNL:2.723901591199509
Epoch:47	HANN(SE):1.2634912729263306	NNL:2.710961915685775
Epoch:48	HANN(SE):1.2618179321289062	NNL:2.6981500430817285
Epoch:49	HANN(SE):1.2642050981521606	NNL:2.685275461724463
Epoch:50	HANN(SE):1.2650047540664673	NNL:2.6725308519728643
Epoch:51	HANN(SE):1.264022946357727	NNL:2.65948780871452
Epoch:52	HANN(SE):1.264403223991394	NNL:2.646614627432316
Epoch:53	HANN(SE):1.265356183052063	NNL:2.6336591785512073
Epoch:54	HANN(SE):1.2668553590774536	NNL:2.6209778968324042
Epoch:55	HANN(SE):1.2668206691741943	NNL:2.6083616029455308
Epoch:56	HANN(SE):1.2666739225387573	NNL:2.5960400090319036
Epoch:57	HANN(SE):1.2698194980621338	NNL:2.5837448988569545
Epoch:58	HANN(SE):1.2701307535171509	NNL:2.5718036432469153
Epoch:59	HANN(SE):1.2679680585861206	NNL:2.559881932684717
