Epoch:0	HANN(SE):1.2935757637023926	NNL:4.754659092679935
Epoch:1	HANN(SE):1.2879425287246704	NNL:4.2601517113218925
Epoch:2	HANN(SE):1.2823095321655273	NNL:3.701254012736867
Epoch:3	HANN(SE):1.2778843641281128	NNL:3.630484620763901
Epoch:4	HANN(SE):1.2742464542388916	NNL:3.605793302820083
Epoch:5	HANN(SE):1.2698655128479004	NNL:3.5765502394006603
Epoch:6	HANN(SE):1.2677924633026123	NNL:3.537611111580057
Epoch:7	HANN(SE):1.266027808189392	NNL:3.493005754186752
Epoch:8	HANN(SE):1.2645899057388306	NNL:3.451890851284595
Epoch:9	HANN(SE):1.2608771324157715	NNL:3.4162144794869906
Epoch:10	HANN(SE):1.2576795816421509	NNL:3.3831576781577266
Epoch:11	HANN(SE):1.2586593627929688	NNL:3.35228062568827
Epoch:12	HANN(SE):1.2542414665222168	NNL:3.3233869041280553
Epoch:13	HANN(SE):1.2572035789489746	NNL:3.296179733276368
Epoch:14	HANN(SE):1.253448247909546	NNL:3.2710450679697876
Epoch:15	HANN(SE):1.2529358863830566	NNL:3.2461269703317175
Epoch:16	HANN(SE):1.2549450397491455	NNL:3.219854759865618
Epoch:17	HANN(SE):1.2504676580429077	NNL:3.1951520570795604
Epoch:18	HANN(SE):1.2510416507720947	NNL:3.1718979912615857
Epoch:19	HANN(SE):1.249846339225769	NNL:3.1503713981141437
Epoch:20	HANN(SE):1.2467857599258423	NNL:3.1291883736468376
Epoch:21	HANN(SE):1.245934009552002	NNL:3.1065086973474387
Epoch:22	HANN(SE):1.2462750673294067	NNL:3.0858946439053154
Epoch:23	HANN(SE):1.2477771043777466	NNL:3.0642271861624213
Epoch:24	HANN(SE):1.249306082725525	NNL:3.044580231524532
Epoch:25	HANN(SE):1.2451043128967285	NNL:3.0280184741730407
Epoch:26	HANN(SE):1.24595308303833	NNL:3.012542652373618
Epoch:27	HANN(SE):1.2470473051071167	NNL:2.9893513602398816
Epoch:28	HANN(SE):1.2462266683578491	NNL:2.9709130534719903
Epoch:29	HANN(SE):1.242881178855896	NNL:2.9529556103970145
Epoch:30	HANN(SE):1.2444534301757812	NNL:2.9362544096277112
Epoch:31	HANN(SE):1.2466142177581787	NNL:2.924748181282205
Epoch:32	HANN(SE):1.2490804195404053	NNL:2.906186575382314
Epoch:33	HANN(SE):1.2496092319488525	NNL:2.890194272792085
Epoch:34	HANN(SE):1.2482922077178955	NNL:2.8762359586675106
Epoch:35	HANN(SE):1.2484840154647827	NNL:2.859216952222458
Epoch:36	HANN(SE):1.2487879991531372	NNL:2.8435269408530384
Epoch:37	HANN(SE):1.2471888065338135	NNL:2.8283008453693794
Epoch:38	HANN(SE):1.2484166622161865	NNL:2.817248292476572
Epoch:39	HANN(SE):1.2503446340560913	NNL:2.800329071207251
Epoch:40	HANN(SE):1.251997470855713	NNL:2.7895736807965217
Epoch:41	HANN(SE):1.2517842054367065	NNL:2.7735727066689346
Epoch:42	HANN(SE):1.251128077507019	NNL:2.759362860334681
Epoch:43	HANN(SE):1.2530455589294434	NNL:2.7463488672134715
Epoch:44	HANN(SE):1.2539746761322021	NNL:2.733724122554699
Epoch:45	HANN(SE):1.2490029335021973	NNL:2.7199081810484533
Epoch:46	HANN(SE):1.2500224113464355	NNL:2.7169596375810334
Epoch:47	HANN(SE):1.251911997795105	NNL:2.706462339036008
Epoch:48	HANN(SE):1.2534648180007935	NNL:2.698678226876766
Epoch:49	HANN(SE):1.2541234493255615	NNL:2.6756100877802425
Epoch:50	HANN(SE):1.2543965578079224	NNL:2.685321964507407
Epoch:51	HANN(SE):1.2533268928527832	NNL:2.6598199300563072
Epoch:52	HANN(SE):1.254221796989441	NNL:2.64115361233975
Epoch:53	HANN(SE):1.252447485923767	NNL:2.628221903050199
Epoch:54	HANN(SE):1.2535408735275269	NNL:2.612392711233586
Epoch:55	HANN(SE):1.2533661127090454	NNL:2.599682021445417
Epoch:56	HANN(SE):1.2523747682571411	NNL:2.5860385488956537
Epoch:57	HANN(SE):1.2552276849746704	NNL:2.5728745667477884
Epoch:58	HANN(SE):1.2537895441055298	NNL:2.560039825439453
Epoch:59	HANN(SE):1.2550654411315918	NNL:2.551582847757544
