Epoch:0	HANN(SE):1.2982466220855713	NNL:4.947427246418407
Epoch:1	HANN(SE):1.285206913948059	NNL:3.9971549646905125
Epoch:2	HANN(SE):1.285661220550537	NNL:3.6744497583267544
Epoch:3	HANN(SE):1.279159426689148	NNL:3.6522321465674854
Epoch:4	HANN(SE):1.277251124382019	NNL:3.6386323401268514
Epoch:5	HANN(SE):1.2738667726516724	NNL:3.6280465876802497
Epoch:6	HANN(SE):1.2709846496582031	NNL:3.6111072394188404
Epoch:7	HANN(SE):1.2693980932235718	NNL:3.586852554970599
Epoch:8	HANN(SE):1.2671606540679932	NNL:3.5607545049139793
Epoch:9	HANN(SE):1.2664674520492554	NNL:3.5391292945374846
Epoch:10	HANN(SE):1.2646770477294922	NNL:3.517855904761783
Epoch:11	HANN(SE):1.263860821723938	NNL:3.496603955207987
Epoch:12	HANN(SE):1.2596254348754883	NNL:3.4780181787369098
Epoch:13	HANN(SE):1.2610969543457031	NNL:3.450166374368872
Epoch:14	HANN(SE):1.2578380107879639	NNL:3.4261994690590725
Epoch:15	HANN(SE):1.259101152420044	NNL:3.4024302202589967
Epoch:16	HANN(SE):1.2549782991409302	NNL:3.37729077115972
Epoch:17	HANN(SE):1.2554433345794678	NNL:3.353075082657184
Epoch:18	HANN(SE):1.2540391683578491	NNL:3.3301586832898753
Epoch:19	HANN(SE):1.2518010139465332	NNL:3.3059310507267092
Epoch:20	HANN(SE):1.2540528774261475	NNL:3.2848055429661547
Epoch:21	HANN(SE):1.2517989873886108	NNL:3.2614794483590632
Epoch:22	HANN(SE):1.2489891052246094	NNL:3.241126622950776
Epoch:23	HANN(SE):1.25087308883667	NNL:3.218177558411942
Epoch:24	HANN(SE):1.250142216682434	NNL:3.1930941399107597
Epoch:25	HANN(SE):1.2498068809509277	NNL:3.169091447870781
Epoch:26	HANN(SE):1.251037359237671	NNL:3.14629402647627
Epoch:27	HANN(SE):1.2487643957138062	NNL:3.1233567063351884
Epoch:28	HANN(SE):1.2492096424102783	NNL:3.1006988054640727
Epoch:29	HANN(SE):1.2504030466079712	NNL:3.0876452685416993
Epoch:30	HANN(SE):1.2494895458221436	NNL:3.059163483152999
Epoch:31	HANN(SE):1.2499414682388306	NNL:3.0329420049139784
Epoch:32	HANN(SE):1.2512532472610474	NNL:3.0081371242442048
Epoch:33	HANN(SE):1.250858187675476	NNL:2.9847539504030904
Epoch:34	HANN(SE):1.2498353719711304	NNL:2.9639225509318896
Epoch:35	HANN(SE):1.2489006519317627	NNL:2.950293321000769
Epoch:36	HANN(SE):1.2488625049591064	NNL:2.9227887328127586
Epoch:37	HANN(SE):1.2521333694458008	NNL:2.8970680593937
Epoch:38	HANN(SE):1.2517328262329102	NNL:2.8763033619332834
Epoch:39	HANN(SE):1.253117322921753	NNL:2.8533733018915717
Epoch:40	HANN(SE):1.2513033151626587	NNL:2.8324944678773285
Epoch:41	HANN(SE):1.2508488893508911	NNL:2.8104381058063908
Epoch:42	HANN(SE):1.2510513067245483	NNL:2.7882590882321634
Epoch:43	HANN(SE):1.2480798959732056	NNL:2.764533197118881
Epoch:44	HANN(SE):1.2494051456451416	NNL:2.741510387988801
Epoch:45	HANN(SE):1.2497153282165527	NNL:2.718238759953925
Epoch:46	HANN(SE):1.2502281665802002	NNL:2.695340832649394
Epoch:47	HANN(SE):1.2505481243133545	NNL:2.672564355566146
Epoch:48	HANN(SE):1.2518970966339111	NNL:2.6511846704685937
Epoch:49	HANN(SE):1.250467300415039	NNL:2.627725059022296
Epoch:50	HANN(SE):1.2495602369308472	NNL:2.605832451353683
Epoch:51	HANN(SE):1.2527483701705933	NNL:2.5839033784257603
Epoch:52	HANN(SE):1.251332402229309	NNL:2.5617733123454625
Epoch:53	HANN(SE):1.2525657415390015	NNL:2.539133736630705
Epoch:54	HANN(SE):1.2504591941833496	NNL:2.5248439334301236
Epoch:55	HANN(SE):1.254846453666687	NNL:2.5000300021881743
Epoch:56	HANN(SE):1.25364351272583	NNL:2.4784188647980385
Epoch:57	HANN(SE):1.2538121938705444	NNL:2.4575642906351303
Epoch:58	HANN(SE):1.2553443908691406	NNL:2.4387379577312065
Epoch:59	HANN(SE):1.254412055015564	NNL:2.4195576412119757
