Epoch:0	SE:2.408003807067871
Epoch:1	SE:1.9631223678588867
Epoch:2	SE:1.3541581630706787
Epoch:3	SE:1.2737480401992798
Epoch:4	SE:1.268297553062439
Epoch:5	SE:1.2631945610046387
Epoch:6	SE:1.2579981088638306
Epoch:7	SE:1.252615213394165
Epoch:8	SE:1.2469576597213745
Epoch:9	SE:1.2409347295761108
Epoch:10	SE:1.235924482345581
Epoch:11	SE:1.2316380739212036
Epoch:12	SE:1.2276078462600708
Epoch:13	SE:1.2234584093093872
Epoch:14	SE:1.2191708087921143
Epoch:15	SE:1.214728832244873
Epoch:16	SE:1.2101168632507324
Epoch:17	SE:1.205318570137024
Epoch:18	SE:1.2003165483474731
Epoch:19	SE:1.1950926780700684
Epoch:20	SE:1.1907460689544678
Epoch:21	SE:1.187548041343689
Epoch:22	SE:1.1845976114273071
Epoch:23	SE:1.181605577468872
Epoch:24	SE:1.178539514541626
Epoch:25	SE:1.1753865480422974
Epoch:26	SE:1.1721309423446655
Epoch:27	SE:1.168756365776062
Epoch:28	SE:1.1652394533157349
Epoch:29	SE:1.1615456342697144
Epoch:30	SE:1.1579614877700806
Epoch:31	SE:1.1541377305984497
Epoch:32	SE:1.1491670608520508
Epoch:33	SE:1.144464373588562
Epoch:34	SE:1.1398624181747437
Epoch:35	SE:1.13515305519104
Epoch:36	SE:1.130193829536438
Epoch:37	SE:1.1245107650756836
Epoch:38	SE:1.1184282302856445
Epoch:39	SE:1.1131876707077026
Epoch:40	SE:1.1079339981079102
Epoch:41	SE:1.1025683879852295
Epoch:42	SE:1.0985660552978516
Epoch:43	SE:1.0948818922042847
Epoch:44	SE:1.0910987854003906
Epoch:45	SE:1.0871574878692627
Epoch:46	SE:1.0828429460525513
Epoch:47	SE:1.0780260562896729
Epoch:48	SE:1.07262122631073
Epoch:49	SE:1.0660805702209473
Epoch:50	SE:1.0581181049346924
Epoch:51	SE:1.0497801303863525
Epoch:52	SE:1.0418621301651
