Epoch:0	HANN(SE):1.2398724555969238	NNL:5.847617168020695
Epoch:1	HANN(SE):1.234663486480713	NNL:4.947980366158993
Epoch:2	HANN(SE):1.2281063795089722	NNL:4.739940349497693
Epoch:3	HANN(SE):1.2280317544937134	NNL:4.6022788335921945
Epoch:4	HANN(SE):1.2229008674621582	NNL:4.442346970578459
Epoch:5	HANN(SE):1.2239181995391846	NNL:4.255826648144009
Epoch:6	HANN(SE):1.217874526977539	NNL:4.123202891248337
Epoch:7	HANN(SE):1.2193882465362549	NNL:4.025213139310796
Epoch:8	HANN(SE):1.21542489528656	NNL:3.941916763630318
Epoch:9	HANN(SE):1.2132012844085693	NNL:3.869786618821168
Epoch:10	HANN(SE):1.2108674049377441	NNL:3.8087944988494224
Epoch:11	HANN(SE):1.207854986190796	NNL:3.753137504090653
Epoch:12	HANN(SE):1.2073947191238403	NNL:3.7023318270419496
Epoch:13	HANN(SE):1.2046486139297485	NNL:3.655207907494078
Epoch:14	HANN(SE):1.2017822265625	NNL:3.6111723847084862
Epoch:15	HANN(SE):1.2008204460144043	NNL:3.5694649473149713
Epoch:16	HANN(SE):1.1975510120391846	NNL:3.530545001740152
Epoch:17	HANN(SE):1.1997601985931396	NNL:3.4968376419392033
Epoch:18	HANN(SE):1.1980842351913452	NNL:3.4647776924295637
Epoch:19	HANN(SE):1.1939294338226318	NNL:3.4315752167397355
Epoch:20	HANN(SE):1.194941520690918	NNL:3.399433816138735
Epoch:21	HANN(SE):1.1913762092590332	NNL:3.367683642772916
Epoch:22	HANN(SE):1.1919360160827637	NNL:3.33517741913491
Epoch:23	HANN(SE):1.1918931007385254	NNL:3.3034690564744027
Epoch:24	HANN(SE):1.1932308673858643	NNL:3.273606530047479
Epoch:25	HANN(SE):1.1901110410690308	NNL:3.246422312310401
Epoch:26	HANN(SE):1.1916699409484863	NNL:3.221810533239487
Epoch:27	HANN(SE):1.1885563135147095	NNL:3.2007234743808164
Epoch:28	HANN(SE):1.1913421154022217	NNL:3.182399837412733
Epoch:29	HANN(SE):1.1884982585906982	NNL:3.156317859406165
Epoch:30	HANN(SE):1.1897616386413574	NNL:3.1263592188409026
Epoch:31	HANN(SE):1.1893196105957031	NNL:3.097022724557429
Epoch:32	HANN(SE):1.1923648118972778	NNL:3.068812276961955
Epoch:33	HANN(SE):1.1894268989562988	NNL:3.0419257306038054
Epoch:34	HANN(SE):1.1867598295211792	NNL:3.0169463169828377
Epoch:35	HANN(SE):1.1858713626861572	NNL:2.994569301199406
Epoch:36	HANN(SE):1.1812463998794556	NNL:2.980006062933738
Epoch:37	HANN(SE):1.187633991241455	NNL:2.9729953895731187
Epoch:38	HANN(SE):1.1854782104492188	NNL:2.9501050242971867
Epoch:39	HANN(SE):1.1852755546569824	NNL:2.924011057589918
Epoch:40	HANN(SE):1.1819448471069336	NNL:2.897934300037142
Epoch:41	HANN(SE):1.1809598207473755	NNL:2.872157680430311
Epoch:42	HANN(SE):1.1868064403533936	NNL:2.845872969120108
Epoch:43	HANN(SE):1.1857463121414185	NNL:2.8204926389328993
Epoch:44	HANN(SE):1.1850030422210693	NNL:2.7979129628932204
Epoch:45	HANN(SE):1.1863164901733398	NNL:2.7793940393975447
Epoch:46	HANN(SE):1.1871002912521362	NNL:2.767398232804967
Epoch:47	HANN(SE):1.1855041980743408	NNL:2.769966618152374
Epoch:48	HANN(SE):1.1840835809707642	NNL:2.756469082933792
Epoch:49	HANN(SE):1.1861740350723267	NNL:2.723344923790466
Epoch:50	HANN(SE):1.1836814880371094	NNL:2.6938823943442483
Epoch:51	HANN(SE):1.1849830150604248	NNL:2.665261891141851
Epoch:52	HANN(SE):1.182682991027832	NNL:2.6378170524759494
Epoch:53	HANN(SE):1.1868222951889038	NNL:2.613399471526449
Epoch:54	HANN(SE):1.181441307067871	NNL:2.5913902875210373
Epoch:55	HANN(SE):1.1796305179595947	NNL:2.5719221309905365
Epoch:56	HANN(SE):1.1833679676055908	NNL:2.5562878994231526
Epoch:57	HANN(SE):1.1847162246704102	NNL:2.546578141882065
Epoch:58	HANN(SE):1.185869812965393	NNL:2.541074424094342
Epoch:59	HANN(SE):1.184320330619812	NNL:2.540200826766642
