Epoch:0	SE:2.6923019886016846
Epoch:1	SE:1.99055814743042
Epoch:2	SE:1.2885435819625854
Epoch:3	SE:1.280264139175415
Epoch:4	SE:1.2788078784942627
Epoch:5	SE:1.2750542163848877
Epoch:6	SE:1.272332787513733
Epoch:7	SE:1.270297884941101
Epoch:8	SE:1.267162799835205
Epoch:9	SE:1.2639602422714233
Epoch:10	SE:1.2602424621582031
Epoch:11	SE:1.2592867612838745
Epoch:12	SE:1.257207989692688
Epoch:13	SE:1.2549645900726318
Epoch:14	SE:1.2552584409713745
Epoch:15	SE:1.2505273818969727
Epoch:16	SE:1.2504397630691528
Epoch:17	SE:1.2481915950775146
Epoch:18	SE:1.2482620477676392
Epoch:19	SE:1.2444121837615967
Epoch:20	SE:1.2429733276367188
Epoch:21	SE:1.2417479753494263
Epoch:22	SE:1.2410141229629517
Epoch:23	SE:1.2379519939422607
Epoch:24	SE:1.2390968799591064
Epoch:25	SE:1.2368171215057373
Epoch:26	SE:1.2383465766906738
Epoch:27	SE:1.2346155643463135
Epoch:28	SE:1.2341586351394653
Epoch:29	SE:1.2335301637649536
Epoch:30	SE:1.2333391904830933
Epoch:31	SE:1.2335915565490723
Epoch:32	SE:1.231495976448059
Epoch:33	SE:1.2295465469360352
Epoch:34	SE:1.2317348718643188
Epoch:35	SE:1.2314687967300415
Epoch:36	SE:1.231980562210083
Epoch:37	SE:1.229046106338501
Epoch:38	SE:1.2291620969772339
Epoch:39	SE:1.225961446762085
Epoch:40	SE:1.2286046743392944
Epoch:41	SE:1.2261457443237305
Epoch:42	SE:1.2266883850097656
Epoch:43	SE:1.224663257598877
Epoch:44	SE:1.225762128829956
Epoch:45	SE:1.227478265762329
Epoch:46	SE:1.224461317062378
Epoch:47	SE:1.225587010383606
Epoch:48	SE:1.226209044456482
