Epoch:0	ItemNet(SE):1.2373206615447998	NNL:5.724670708838928
Epoch:1	ItemNet(SE):1.2299377918243408	NNL:4.769898645928564
Epoch:2	ItemNet(SE):1.2278300523757935	NNL:4.606409830945602
Epoch:3	ItemNet(SE):1.2277339696884155	NNL:4.378828238629284
Epoch:4	ItemNet(SE):1.2236664295196533	NNL:4.194726504062085
Epoch:5	ItemNet(SE):1.2230533361434937	NNL:4.0724587834135
Epoch:6	ItemNet(SE):1.2187741994857788	NNL:3.979900084150598
Epoch:7	ItemNet(SE):1.2172561883926392	NNL:3.903882706013131
Epoch:8	ItemNet(SE):1.2156702280044556	NNL:3.8365068865836967
Epoch:9	ItemNet(SE):1.2136207818984985	NNL:3.7752289500135072
Epoch:10	ItemNet(SE):1.2138317823410034	NNL:3.720419326132916
Epoch:11	ItemNet(SE):1.2095189094543457	NNL:3.6711145912332723
Epoch:12	ItemNet(SE):1.2113405466079712	NNL:3.625662048015189
Epoch:13	ItemNet(SE):1.2109169960021973	NNL:3.5821430579652174
Epoch:14	ItemNet(SE):1.2101244926452637	NNL:3.5401935755952842
Epoch:15	ItemNet(SE):1.2077043056488037	NNL:3.497818286976913
Epoch:16	ItemNet(SE):1.206152081489563	NNL:3.458819674228101
Epoch:17	ItemNet(SE):1.2039083242416382	NNL:3.4246623473471787
Epoch:18	ItemNet(SE):1.2021129131317139	NNL:3.3929048302833094
Epoch:19	ItemNet(SE):1.1983846426010132	NNL:3.3539665822779874
Epoch:20	ItemNet(SE):1.1973859071731567	NNL:3.3156267093090306
Epoch:21	ItemNet(SE):1.202507495880127	NNL:3.281342734478888
Epoch:22	ItemNet(SE):1.1973731517791748	NNL:3.2532886115540838
Epoch:23	ItemNet(SE):1.1966952085494995	NNL:3.229380239933095
Epoch:24	ItemNet(SE):1.1981756687164307	NNL:3.200130199675865
Epoch:25	ItemNet(SE):1.1983882188796997	NNL:3.166169470929084
Epoch:26	ItemNet(SE):1.194676160812378	NNL:3.130865715513837
Epoch:27	ItemNet(SE):1.192034125328064	NNL:3.0975698105832365
Epoch:28	ItemNet(SE):1.193394660949707	NNL:3.0658326883518945
Epoch:29	ItemNet(SE):1.1929064989089966	NNL:3.035592613220215
Epoch:30	ItemNet(SE):1.1937720775604248	NNL:3.007310880295775
Epoch:31	ItemNet(SE):1.193702220916748	NNL:2.9834232305973116
Epoch:32	ItemNet(SE):1.1932624578475952	NNL:2.9593136401886637
Epoch:33	ItemNet(SE):1.1911017894744873	NNL:2.928911304068057
Epoch:34	ItemNet(SE):1.189165472984314	NNL:2.9012411693816484
Epoch:35	ItemNet(SE):1.1927640438079834	NNL:2.8756080700488806
Epoch:36	ItemNet(SE):1.1901490688323975	NNL:2.8566386795043957
Epoch:37	ItemNet(SE):1.1920826435089111	NNL:2.832969588421761
Epoch:38	ItemNet(SE):1.1888607740402222	NNL:2.797572710564797
Epoch:39	ItemNet(SE):1.1907687187194824	NNL:2.758645125044152
Epoch:40	ItemNet(SE):1.1909093856811523	NNL:2.7211673793386906
Epoch:41	ItemNet(SE):1.1895464658737183	NNL:2.6872905187403893
Epoch:42	ItemNet(SE):1.191083312034607	NNL:2.6593666255220447
Epoch:43	ItemNet(SE):1.1870934963226318	NNL:2.638711293808956
Epoch:44	ItemNet(SE):1.187659740447998	NNL:2.617698157290197
Epoch:45	ItemNet(SE):1.191675066947937	NNL:2.593086603854564
Epoch:46	ItemNet(SE):1.1882543563842773	NNL:2.568750429356353
Epoch:47	ItemNet(SE):1.1905651092529297	NNL:2.5399153924495614
Epoch:48	ItemNet(SE):1.190126895904541	NNL:2.5094772249587063
Epoch:49	ItemNet(SE):1.190796971321106	NNL:2.4796644770845453
Epoch:50	ItemNet(SE):1.1906249523162842	NNL:2.455990066528321
Epoch:51	ItemNet(SE):1.1876095533370972	NNL:2.432655852297518
Epoch:52	ItemNet(SE):1.1871541738510132	NNL:2.5019839396375287
Epoch:53	ItemNet(SE):1.1871284246444702	NNL:2.454129621627483
Epoch:54	ItemNet(SE):1.192628264427185	NNL:2.3869554746911885
Epoch:55	ItemNet(SE):1.1900991201400757	NNL:2.336766774603661
Epoch:56	ItemNet(SE):1.1889152526855469	NNL:2.293560496391134
Epoch:57	ItemNet(SE):1.1914875507354736	NNL:2.254437711999772
Epoch:58	ItemNet(SE):1.1904791593551636	NNL:2.2179217034197873
Epoch:59	ItemNet(SE):1.1889011859893799	NNL:2.18266874840919
