Epoch:0	ItemNet(SE):1.23378324508667	NNL:5.8926396844742115
Epoch:1	ItemNet(SE):1.22953462600708	NNL:4.934284101445627
Epoch:2	ItemNet(SE):1.2268179655075073	NNL:4.706414403712494
Epoch:3	ItemNet(SE):1.2250030040740967	NNL:4.530961177095456
Epoch:4	ItemNet(SE):1.221522569656372	NNL:4.335333180529006
Epoch:5	ItemNet(SE):1.2184785604476929	NNL:4.185060155340967
Epoch:6	ItemNet(SE):1.2161214351654053	NNL:4.077901372706636
Epoch:7	ItemNet(SE):1.2124031782150269	NNL:3.991249681838014
Epoch:8	ItemNet(SE):1.2117897272109985	NNL:3.916535779263113
Epoch:9	ItemNet(SE):1.207686424255371	NNL:3.8516791648053106
Epoch:10	ItemNet(SE):1.2046242952346802	NNL:3.7898352651393163
Epoch:11	ItemNet(SE):1.2033993005752563	NNL:3.733211174822867
Epoch:12	ItemNet(SE):1.2039377689361572	NNL:3.682365834662256
Epoch:13	ItemNet(SE):1.200989007949829	NNL:3.641162659665372
Epoch:14	ItemNet(SE):1.2035560607910156	NNL:3.5998766927516166
Epoch:15	ItemNet(SE):1.1974633932113647	NNL:3.555859037358712
Epoch:16	ItemNet(SE):1.1963146924972534	NNL:3.511799545288086
Epoch:17	ItemNet(SE):1.1942169666290283	NNL:3.471602273494638
Epoch:18	ItemNet(SE):1.193812608718872	NNL:3.4521611055414727
Epoch:19	ItemNet(SE):1.1846858263015747	NNL:3.4250066083542845
Epoch:20	ItemNet(SE):1.1907554864883423	NNL:3.3850676987018993
Epoch:21	ItemNet(SE):1.186465859413147	NNL:3.3452688111650177
Epoch:22	ItemNet(SE):1.1865475177764893	NNL:3.312728219539563
Epoch:23	ItemNet(SE):1.1883903741836548	NNL:3.284255875932409
Epoch:24	ItemNet(SE):1.1870157718658447	NNL:3.255478723404257
Epoch:25	ItemNet(SE):1.1867382526397705	NNL:3.2313179340768357
Epoch:26	ItemNet(SE):1.180207371711731	NNL:3.2139945220947252
Epoch:27	ItemNet(SE):1.1842037439346313	NNL:3.188988296833443
Epoch:28	ItemNet(SE):1.1861830949783325	NNL:3.159825918319377
Epoch:29	ItemNet(SE):1.1837470531463623	NNL:3.1293692747075483
Epoch:30	ItemNet(SE):1.1811460256576538	NNL:3.0980504267266458
Epoch:31	ItemNet(SE):1.1850544214248657	NNL:3.0679044829023643
Epoch:32	ItemNet(SE):1.1826218366622925	NNL:3.04056953754831
Epoch:33	ItemNet(SE):1.181983232498169	NNL:3.013896539566365
Epoch:34	ItemNet(SE):1.182577133178711	NNL:2.988382528589127
Epoch:35	ItemNet(SE):1.1814411878585815	NNL:2.9647542352879306
Epoch:36	ItemNet(SE):1.177520990371704	NNL:2.941881918399892
Epoch:37	ItemNet(SE):1.1777516603469849	NNL:2.9226521707088384
Epoch:38	ItemNet(SE):1.1834897994995117	NNL:2.8965732639393913
Epoch:39	ItemNet(SE):1.1786898374557495	NNL:2.8690417959334997
Epoch:40	ItemNet(SE):1.1803300380706787	NNL:2.840083575958901
Epoch:41	ItemNet(SE):1.1813198328018188	NNL:2.8152358659784844
Epoch:42	ItemNet(SE):1.1801986694335938	NNL:2.7931352444912516
Epoch:43	ItemNet(SE):1.1796190738677979	NNL:2.769490312616875
Epoch:44	ItemNet(SE):1.1831755638122559	NNL:2.7388314859917817
Epoch:45	ItemNet(SE):1.1816787719726562	NNL:2.7070937607136187
Epoch:46	ItemNet(SE):1.1788185834884644	NNL:2.68100941353656
Epoch:47	ItemNet(SE):1.1830267906188965	NNL:2.659105213246446
Epoch:48	ItemNet(SE):1.1825958490371704	NNL:2.63614611361889
Epoch:49	ItemNet(SE):1.1775553226470947	NNL:2.6104998722482233
Epoch:50	ItemNet(SE):1.1795203685760498	NNL:2.5834389090030756
Epoch:51	ItemNet(SE):1.1790204048156738	NNL:2.5583959871657362
Epoch:52	ItemNet(SE):1.1798897981643677	NNL:2.5399182875612953
Epoch:53	ItemNet(SE):1.179895043373108	NNL:2.528265839434684
Epoch:54	ItemNet(SE):1.1805607080459595	NNL:2.515154124320821
Epoch:55	ItemNet(SE):1.1830371618270874	NNL:2.486900425363095
Epoch:56	ItemNet(SE):1.1803743839263916	NNL:2.453552195772211
Epoch:57	ItemNet(SE):1.1794337034225464	NNL:2.4223863057887285
Epoch:58	ItemNet(SE):1.1800622940063477	NNL:2.3927465674217734
Epoch:59	ItemNet(SE):1.177968144416809	NNL:2.3723669953041884
