Epoch:0	SE:2.462540864944458
Epoch:1	SE:1.9711674451828003
Epoch:2	SE:1.3388471603393555
Epoch:3	SE:1.2701447010040283
Epoch:4	SE:1.2639710903167725
Epoch:5	SE:1.2579447031021118
Epoch:6	SE:1.2517300844192505
Epoch:7	SE:1.2451595067977905
Epoch:8	SE:1.2380492687225342
Epoch:9	SE:1.2301585674285889
Epoch:10	SE:1.2234017848968506
Epoch:11	SE:1.2177594900131226
Epoch:12	SE:1.212171196937561
Epoch:13	SE:1.2062427997589111
Epoch:14	SE:1.1999472379684448
Epoch:15	SE:1.1932668685913086
Epoch:16	SE:1.186196208000183
Epoch:17	SE:1.1787323951721191
Epoch:18	SE:1.1708755493164062
Epoch:19	SE:1.1626211404800415
Epoch:20	SE:1.1557731628417969
Epoch:21	SE:1.1511040925979614
Epoch:22	SE:1.1465884447097778
Epoch:23	SE:1.1420329809188843
Epoch:24	SE:1.1374257802963257
Epoch:25	SE:1.132753849029541
Epoch:26	SE:1.12800931930542
Epoch:27	SE:1.1231826543807983
Epoch:28	SE:1.1182637214660645
Epoch:29	SE:1.1132423877716064
Epoch:30	SE:1.1087746620178223
Epoch:31	SE:1.1048203706741333
Epoch:32	SE:1.1008212566375732
Epoch:33	SE:1.0967501401901245
Epoch:34	SE:1.0925936698913574
Epoch:35	SE:1.0883411169052124
Epoch:36	SE:1.0839898586273193
Epoch:37	SE:1.0795215368270874
Epoch:38	SE:1.0749140977859497
Epoch:39	SE:1.0701364278793335
Epoch:40	SE:1.0654305219650269
Epoch:41	SE:1.0610191822052002
Epoch:42	SE:1.056272268295288
Epoch:43	SE:1.0520596504211426
Epoch:44	SE:1.0484228134155273
Epoch:45	SE:1.0448956489562988
Epoch:46	SE:1.0414577722549438
Epoch:47	SE:1.0381196737289429
Epoch:48	SE:1.0348747968673706
Epoch:49	SE:1.0316776037216187
Epoch:50	SE:1.0284940004348755
Epoch:51	SE:1.0251506567001343
Epoch:52	SE:1.0213019847869873
Epoch:53	SE:1.0166642665863037
Epoch:54	SE:1.0110565423965454
Epoch:55	SE:1.004407525062561
Epoch:56	SE:0.9965924024581909
Epoch:57	SE:0.9872891306877136
Epoch:58	SE:0.9761024117469788
Epoch:59	SE:0.9631067514419556
Epoch:60	SE:0.9491321444511414
Epoch:61	SE:0.9350658655166626
Epoch:62	SE:0.9210322499275208
Epoch:63	SE:0.9070830941200256
Epoch:64	SE:0.8931827545166016
Epoch:65	SE:0.8793361186981201
Epoch:66	SE:0.8655243515968323
Epoch:67	SE:0.8517411947250366
Epoch:68	SE:0.8379250764846802
Epoch:69	SE:0.8241191506385803
Epoch:70	SE:0.810556173324585
Epoch:71	SE:0.7974081635475159
Epoch:72	SE:0.7847533226013184
Epoch:73	SE:0.7726287841796875
Epoch:74	SE:0.7610395550727844
Epoch:75	SE:0.7499774098396301
Epoch:76	SE:0.7394111752510071
Epoch:77	SE:0.729290246963501
Epoch:78	SE:0.719592273235321
Epoch:79	SE:0.7102764844894409
