Epoch:0	SE:2.6932425498962402
Epoch:1	SE:2.1280462741851807
Epoch:2	SE:1.3620580434799194
Epoch:3	SE:1.2812751531600952
Epoch:4	SE:1.2767705917358398
Epoch:5	SE:1.2725684642791748
Epoch:6	SE:1.2684388160705566
Epoch:7	SE:1.2643165588378906
Epoch:8	SE:1.2601488828659058
Epoch:9	SE:1.25589120388031
Epoch:10	SE:1.2520289421081543
Epoch:11	SE:1.2482359409332275
Epoch:12	SE:1.244794487953186
Epoch:13	SE:1.2412831783294678
Epoch:14	SE:1.2376891374588013
Epoch:15	SE:1.2340002059936523
Epoch:16	SE:1.23020339012146
Epoch:17	SE:1.2262858152389526
Epoch:18	SE:1.2222318649291992
Epoch:19	SE:1.218024492263794
Epoch:20	SE:1.2144560813903809
Epoch:21	SE:1.2113595008850098
Epoch:22	SE:1.2086539268493652
Epoch:23	SE:1.2058957815170288
Epoch:24	SE:1.203042984008789
Epoch:25	SE:1.2000731229782104
Epoch:26	SE:1.1969550848007202
Epoch:27	SE:1.193644642829895
Epoch:28	SE:1.1900495290756226
Epoch:29	SE:1.1858315467834473
Epoch:30	SE:1.180073618888855
Epoch:31	SE:1.1751441955566406
Epoch:32	SE:1.1708097457885742
Epoch:33	SE:1.1665798425674438
Epoch:34	SE:1.1621915102005005
Epoch:35	SE:1.1570380926132202
Epoch:36	SE:1.1501859426498413
Epoch:37	SE:1.1459200382232666
Epoch:38	SE:1.141693115234375
Epoch:39	SE:1.1368448734283447
Epoch:40	SE:1.1318570375442505
Epoch:41	SE:1.1278973817825317
Epoch:42	SE:1.1242462396621704
Epoch:43	SE:1.120704174041748
Epoch:44	SE:1.1171809434890747
Epoch:45	SE:1.1136198043823242
Epoch:46	SE:1.1099759340286255
Epoch:47	SE:1.1061632633209229
Epoch:48	SE:1.1018990278244019
Epoch:49	SE:1.0966321229934692
Epoch:50	SE:1.091858983039856
Epoch:51	SE:1.0872517824172974
Epoch:52	SE:1.082459807395935
Epoch:53	SE:1.0774933099746704
Epoch:54	SE:1.072031021118164
Epoch:55	SE:1.065714716911316
Epoch:56	SE:1.0584121942520142
Epoch:57	SE:1.05021333694458
Epoch:58	SE:1.0413691997528076
Epoch:59	SE:1.0320549011230469
Epoch:60	SE:1.022382378578186
Epoch:61	SE:1.0123547315597534
Epoch:62	SE:1.0015254020690918
Epoch:63	SE:0.9897098541259766
Epoch:64	SE:0.9767938852310181
Epoch:65	SE:0.9628207683563232
Epoch:66	SE:0.9478090405464172
Epoch:67	SE:0.931763231754303
Epoch:68	SE:0.9147619605064392
Epoch:69	SE:0.897288978099823
Epoch:70	SE:0.8805838227272034
Epoch:71	SE:0.865651547908783
Epoch:72	SE:0.8523131608963013
Epoch:73	SE:0.8400869965553284
Epoch:74	SE:0.8286535143852234
Epoch:75	SE:0.817807674407959
Epoch:76	SE:0.8074166178703308
Epoch:77	SE:0.7973963022232056
Epoch:78	SE:0.7876968383789062
Epoch:79	SE:0.7782618403434753
