Epoch:0	SE:2.2772622108459473
Epoch:1	SE:1.839526653289795
Epoch:2	SE:1.335668921470642
Epoch:3	SE:1.2724124193191528
Epoch:4	SE:1.266594409942627
Epoch:5	SE:1.261096715927124
Epoch:6	SE:1.2554463148117065
Epoch:7	SE:1.2495503425598145
Epoch:8	SE:1.243317723274231
Epoch:9	SE:1.236649513244629
Epoch:10	SE:1.2310729026794434
Epoch:11	SE:1.2264597415924072
Epoch:12	SE:1.2220499515533447
Epoch:13	SE:1.2175021171569824
Epoch:14	SE:1.212794303894043
Epoch:15	SE:1.2079097032546997
Epoch:16	SE:1.2028326988220215
Epoch:17	SE:1.1975444555282593
Epoch:18	SE:1.1920255422592163
Epoch:19	SE:1.1862536668777466
Epoch:20	SE:1.1813877820968628
Epoch:21	SE:1.1779035329818726
Epoch:22	SE:1.1746211051940918
Epoch:23	SE:1.1712733507156372
Epoch:24	SE:1.167830467224121
Epoch:25	SE:1.1642695665359497
Epoch:26	SE:1.1605641841888428
Epoch:27	SE:1.1566691398620605
Epoch:28	SE:1.1524983644485474
Epoch:29	SE:1.1478551626205444
Epoch:30	SE:1.1430906057357788
Epoch:31	SE:1.1386711597442627
Epoch:32	SE:1.134202480316162
Epoch:33	SE:1.129557728767395
Epoch:34	SE:1.1245579719543457
Epoch:35	SE:1.1182323694229126
Epoch:36	SE:1.1112897396087646
Epoch:37	SE:1.105546236038208
Epoch:38	SE:1.0992850065231323
Epoch:39	SE:1.0943849086761475
Epoch:40	SE:1.090003252029419
Epoch:41	SE:1.0862826108932495
Epoch:42	SE:1.0825772285461426
Epoch:43	SE:1.0788081884384155
Epoch:44	SE:1.0749073028564453
Epoch:45	SE:1.0708073377609253
