Epoch:0	NRT(SE):5.733267307281494	NNL:6.656206272206408
Epoch:1	NRT(SE):1.621902585029602	NNL:5.08477676553929
Epoch:2	NRT(SE):1.2659869194030762	NNL:4.888446228352002
Epoch:3	NRT(SE):1.2591379880905151	NNL:4.819381613224112
Epoch:4	NRT(SE):1.254284381866455	NNL:4.752883885160402
Epoch:5	NRT(SE):1.2486457824707031	NNL:4.673808507716399
Epoch:6	NRT(SE):1.2418092489242554	NNL:4.5878341885830505
Epoch:7	NRT(SE):1.233321189880371	NNL:4.499116629742564
Epoch:8	NRT(SE):1.2226313352584839	NNL:4.4113074964158105
Epoch:9	NRT(SE):1.2090706825256348	NNL:4.326256145720787
Epoch:10	NRT(SE):1.191847562789917	NNL:4.247381018780644
Epoch:11	NRT(SE):1.1700620651245117	NNL:4.1783586218002
Epoch:12	NRT(SE):1.1427518129348755	NNL:4.119320630012676
Epoch:13	NRT(SE):1.1089996099472046	NNL:4.068661395133809
Epoch:14	NRT(SE):1.068110466003418	NNL:4.023873691964659
Epoch:15	NRT(SE):1.019858717918396	NNL:3.9831515259438373
Epoch:16	NRT(SE):0.9647606611251831	NNL:3.9454331466999455
Epoch:17	NRT(SE):0.9042560458183289	NNL:3.9097985531421435
Epoch:18	NRT(SE):0.8406487107276917	NNL:3.8759288154764366
Epoch:19	NRT(SE):0.7767177224159241	NNL:3.8439962054313495
Epoch:20	NRT(SE):0.7151051759719849	NNL:3.8140235982042663
Epoch:21	NRT(SE):0.6577736139297485	NNL:3.7858182493169243
Epoch:22	NRT(SE):0.6057884097099304	NNL:3.759095345355096
Epoch:23	NRT(SE):0.5594462156295776	NNL:3.733743394892267
Epoch:24	NRT(SE):0.5185564160346985	NNL:3.7095819465150237
Epoch:25	NRT(SE):0.482670396566391	NNL:3.686217513388778
Epoch:26	NRT(SE):0.4512086808681488	NNL:3.663922562294819
Epoch:27	NRT(SE):0.4235297441482544	NNL:3.6425302399980244
Epoch:28	NRT(SE):0.39898955821990967	NNL:3.6219050419584233
Epoch:29	NRT(SE):0.37700799107551575	NNL:3.6019409342015045
Epoch:30	NRT(SE):0.35711944103240967	NNL:3.5825790178014905
Epoch:31	NRT(SE):0.3389958441257477	NNL:3.5637688851863785
Epoch:32	NRT(SE):0.3224363923072815	NNL:3.5454608170529625
Epoch:33	NRT(SE):0.307332843542099	NNL:3.5276480621987205
Epoch:34	NRT(SE):0.29361993074417114	NNL:3.510317369826295
Epoch:35	NRT(SE):0.28122979402542114	NNL:3.493439146001285
Epoch:36	NRT(SE):0.2700612545013428	NNL:3.4769876358356893
Epoch:37	NRT(SE):0.2599724531173706	NNL:3.4609425354003895
Epoch:38	NRT(SE):0.25079238414764404	NNL:3.445288826151095
Epoch:39	NRT(SE):0.24234212934970856	NNL:3.4300145835064835
Epoch:40	NRT(SE):0.23445716500282288	NNL:3.415106204418424
Epoch:41	NRT(SE):0.22700288891792297	NNL:3.400547435030026
Epoch:42	NRT(SE):0.21988196671009064	NNL:3.386316807523688
Epoch:43	NRT(SE):0.21303267776966095	NNL:3.37240040068931
Epoch:44	NRT(SE):0.20642143487930298	NNL:3.3587895575990085
Epoch:45	NRT(SE):0.20003333687782288	NNL:3.345464222684818
Epoch:46	NRT(SE):0.1938629299402237	NNL:3.3324059604076646
Epoch:47	NRT(SE):0.1879071295261383	NNL:3.319606940086852
Epoch:48	NRT(SE):0.18216055631637573	NNL:3.3070575308292476
Epoch:49	NRT(SE):0.1766142100095749	NNL:3.2947402889170543
Epoch:50	NRT(SE):0.17125336825847626	NNL:3.28264642431381
Epoch:51	NRT(SE):0.16605792939662933	NNL:3.2707807922363274
Epoch:52	NRT(SE):0.16100339591503143	NNL:3.2591331579330123
Epoch:53	NRT(SE):0.15606184303760529	NNL:3.247689126197327
Epoch:54	NRT(SE):0.1512046754360199	NNL:3.236442320803379
Epoch:55	NRT(SE):0.14640448987483978	NNL:3.2253866025234803
Epoch:56	NRT(SE):0.14163868129253387	NNL:3.2145110564536226
Epoch:57	NRT(SE):0.1368919163942337	NNL:3.203806150720475
Epoch:58	NRT(SE):0.13216091692447662	NNL:3.193263043342753
Epoch:59	NRT(SE):0.12745624780654907	NNL:3.1828755967160456
