Epoch:0	ItemNet(SE):1.2349753379821777	NNL:5.707073636968085
Epoch:1	ItemNet(SE):1.2320200204849243	NNL:4.770506409990029
Epoch:2	ItemNet(SE):1.2301702499389648	NNL:4.608220935578043
Epoch:3	ItemNet(SE):1.2320666313171387	NNL:4.37520887334296
Epoch:4	ItemNet(SE):1.2299160957336426	NNL:4.1971628781582435
Epoch:5	ItemNet(SE):1.2318482398986816	NNL:4.077023498859811
Epoch:6	ItemNet(SE):1.2312345504760742	NNL:3.9850830224219793
Epoch:7	ItemNet(SE):1.2312681674957275	NNL:3.9077860763225156
Epoch:8	ItemNet(SE):1.2311500310897827	NNL:3.8393371646962247
Epoch:9	ItemNet(SE):1.2333768606185913	NNL:3.77782463236058
Epoch:10	ItemNet(SE):1.2307144403457642	NNL:3.722243938040226
Epoch:11	ItemNet(SE):1.23203706741333	NNL:3.671716092698113
Epoch:12	ItemNet(SE):1.2293843030929565	NNL:3.624866751812874
Epoch:13	ItemNet(SE):1.2307590246200562	NNL:3.5830008989699333
Epoch:14	ItemNet(SE):1.2324990034103394	NNL:3.5409624513666675
Epoch:15	ItemNet(SE):1.2298665046691895	NNL:3.5006389715316444
Epoch:16	ItemNet(SE):1.2304719686508179	NNL:3.4617163816411427
Epoch:17	ItemNet(SE):1.230889916419983	NNL:3.4268780972095234
Epoch:18	ItemNet(SE):1.2297534942626953	NNL:3.396208603229927
Epoch:19	ItemNet(SE):1.2305206060409546	NNL:3.360546485413895
Epoch:20	ItemNet(SE):1.2306808233261108	NNL:3.32405296163356
Epoch:21	ItemNet(SE):1.2288265228271484	NNL:3.2906372995579485
Epoch:22	ItemNet(SE):1.232570767402649	NNL:3.2589317191915326
Epoch:23	ItemNet(SE):1.2297197580337524	NNL:3.238610476230055
Epoch:24	ItemNet(SE):1.2310575246810913	NNL:3.2022526826249775
Epoch:25	ItemNet(SE):1.2322721481323242	NNL:3.175227992280999
Epoch:26	ItemNet(SE):1.2329686880111694	NNL:3.1484942951608215
Epoch:27	ItemNet(SE):1.230194330215454	NNL:3.1217925619571765
Epoch:28	ItemNet(SE):1.2309468984603882	NNL:3.0952830002155713
Epoch:29	ItemNet(SE):1.2304966449737549	NNL:3.064530052022731
Epoch:30	ItemNet(SE):1.2286217212677002	NNL:3.032520712994515
Epoch:31	ItemNet(SE):1.2312062978744507	NNL:3.0036395296137375
Epoch:32	ItemNet(SE):1.228228211402893	NNL:2.976129565137501
Epoch:33	ItemNet(SE):1.2300163507461548	NNL:2.947789189764791
Epoch:34	ItemNet(SE):1.2310168743133545	NNL:2.920858954571663
Epoch:35	ItemNet(SE):1.231421947479248	NNL:2.896446291335087
Epoch:36	ItemNet(SE):1.2322149276733398	NNL:2.8713905910735424
Epoch:37	ItemNet(SE):1.2305750846862793	NNL:2.843100202844498
Epoch:38	ItemNet(SE):1.227444052696228	NNL:2.813675630447713
Epoch:39	ItemNet(SE):1.228675365447998	NNL:2.791508646214262
Epoch:40	ItemNet(SE):1.231666088104248	NNL:2.7634758945221587
Epoch:41	ItemNet(SE):1.2309908866882324	NNL:2.732000623662423
Epoch:42	ItemNet(SE):1.2291250228881836	NNL:2.7036277876508983
Epoch:43	ItemNet(SE):1.230902910232544	NNL:2.6816108955220974
Epoch:44	ItemNet(SE):1.2324066162109375	NNL:2.66174176723399
Epoch:45	ItemNet(SE):1.2315388917922974	NNL:2.6353591626755724
Epoch:46	ItemNet(SE):1.230088710784912	NNL:2.607499277642432
Epoch:47	ItemNet(SE):1.2325259447097778	NNL:2.5783591615392814
Epoch:48	ItemNet(SE):1.2315070629119873	NNL:2.5459081649780275
Epoch:49	ItemNet(SE):1.2310205698013306	NNL:2.5136608854253235
Epoch:50	ItemNet(SE):1.231831431388855	NNL:2.4811023557947034
Epoch:51	ItemNet(SE):1.2308852672576904	NNL:2.450331178218761
Epoch:52	ItemNet(SE):1.2309398651123047	NNL:2.4240941043610285
Epoch:53	ItemNet(SE):1.2317571640014648	NNL:2.4035299017074276
Epoch:54	ItemNet(SE):1.2322955131530762	NNL:2.4075684762508316
Epoch:55	ItemNet(SE):1.231175422668457	NNL:2.386066427839563
Epoch:56	ItemNet(SE):1.2311711311340332	NNL:2.347145486385264
Epoch:57	ItemNet(SE):1.2308790683746338	NNL:2.3150649310172873
Epoch:58	ItemNet(SE):1.2295125722885132	NNL:2.284954010172093
Epoch:59	ItemNet(SE):1.2311480045318604	NNL:2.254392334958341
