Epoch:0	ItemNet(SE):1.2359068393707275	NNL:5.828343963623043
Epoch:1	ItemNet(SE):1.2311043739318848	NNL:4.787696981430054
Epoch:2	ItemNet(SE):1.229291319847107	NNL:4.681704103469846
Epoch:3	ItemNet(SE):1.2294212579727173	NNL:4.490080921173095
Epoch:4	ItemNet(SE):1.2290294170379639	NNL:4.300125205993654
Epoch:5	ItemNet(SE):1.2315030097961426	NNL:4.165694137573244
Epoch:6	ItemNet(SE):1.2305079698562622	NNL:4.066158285140991
Epoch:7	ItemNet(SE):1.2288110256195068	NNL:3.9857765312194835
Epoch:8	ItemNet(SE):1.2301205396652222	NNL:3.917782447814942
Epoch:9	ItemNet(SE):1.2306616306304932	NNL:3.857184171676635
Epoch:10	ItemNet(SE):1.2301082611083984	NNL:3.802329010009766
Epoch:11	ItemNet(SE):1.2313964366912842	NNL:3.7518418083190923
Epoch:12	ItemNet(SE):1.2319167852401733	NNL:3.704338457107542
Epoch:13	ItemNet(SE):1.2295901775360107	NNL:3.658752767562865
Epoch:14	ItemNet(SE):1.2329810857772827	NNL:3.6185620536804195
Epoch:15	ItemNet(SE):1.2324656248092651	NNL:3.5814990997314444
Epoch:16	ItemNet(SE):1.231658697128296	NNL:3.541855300903322
Epoch:17	ItemNet(SE):1.2292890548706055	NNL:3.5039585018157964
Epoch:18	ItemNet(SE):1.232688546180725	NNL:3.4696838512420647
Epoch:19	ItemNet(SE):1.2288016080856323	NNL:3.4401381530761723
Epoch:20	ItemNet(SE):1.2302532196044922	NNL:3.406148529052735
Epoch:21	ItemNet(SE):1.2297083139419556	NNL:3.370069112777709
Epoch:22	ItemNet(SE):1.2302263975143433	NNL:3.3354224758148208
Epoch:23	ItemNet(SE):1.2313932180404663	NNL:3.3031267757415783
Epoch:24	ItemNet(SE):1.230453372001648	NNL:3.2771596279144304
Epoch:25	ItemNet(SE):1.2316468954086304	NNL:3.256660108566286
Epoch:26	ItemNet(SE):1.2292240858078003	NNL:3.2253522624969486
Epoch:27	ItemNet(SE):1.231134057044983	NNL:3.189212303161622
Epoch:28	ItemNet(SE):1.231537938117981	NNL:3.1546796092987046
Epoch:29	ItemNet(SE):1.230467438697815	NNL:3.127365627288819
Epoch:30	ItemNet(SE):1.229634404182434	NNL:3.1039800224304193
Epoch:31	ItemNet(SE):1.23151433467865	NNL:3.0777005863189686
Epoch:32	ItemNet(SE):1.2305378913879395	NNL:3.0496046924591083
Epoch:33	ItemNet(SE):1.2321664094924927	NNL:3.0214250984191904
Epoch:34	ItemNet(SE):1.2317031621932983	NNL:2.988389430999755
Epoch:35	ItemNet(SE):1.2293695211410522	NNL:2.958374647140504
Epoch:36	ItemNet(SE):1.2319945096969604	NNL:2.9304054393768313
Epoch:37	ItemNet(SE):1.230999231338501	NNL:2.903976824760438
Epoch:38	ItemNet(SE):1.2301300764083862	NNL:2.8757961578369136
Epoch:39	ItemNet(SE):1.2313768863677979	NNL:2.845928239822389
Epoch:40	ItemNet(SE):1.2278457880020142	NNL:2.8192920665740964
Epoch:41	ItemNet(SE):1.2314056158065796	NNL:2.794950632095336
Epoch:42	ItemNet(SE):1.231410264968872	NNL:2.771073578834534
Epoch:43	ItemNet(SE):1.2308415174484253	NNL:2.748418573379518
Epoch:44	ItemNet(SE):1.2308648824691772	NNL:2.7239705152511617
Epoch:45	ItemNet(SE):1.2305988073349	NNL:2.6917176113128662
Epoch:46	ItemNet(SE):1.230549693107605	NNL:2.6572541532516483
Epoch:47	ItemNet(SE):1.231427788734436	NNL:2.626353751182555
Epoch:48	ItemNet(SE):1.2299325466156006	NNL:2.6005473852157617
Epoch:49	ItemNet(SE):1.2296980619430542	NNL:2.5745365629196155
Epoch:50	ItemNet(SE):1.2331355810165405	NNL:2.5396139383316036
Epoch:51	ItemNet(SE):1.2336580753326416	NNL:2.5074262971878043
Epoch:52	ItemNet(SE):1.2312406301498413	NNL:2.4837860622406014
Epoch:53	ItemNet(SE):1.2265046834945679	NNL:2.461331427574158
Epoch:54	ItemNet(SE):1.2304354906082153	NNL:2.434867683410644
Epoch:55	ItemNet(SE):1.2299622297286987	NNL:2.4085196933746347
Epoch:56	ItemNet(SE):1.232913851737976	NNL:2.382766868591308
Epoch:57	ItemNet(SE):1.2322070598602295	NNL:2.356808982849122
Epoch:58	ItemNet(SE):1.2333240509033203	NNL:2.330009140014648
Epoch:59	ItemNet(SE):1.2292436361312866	NNL:2.3021455230712897
