Epoch:0	SE:2.4630229473114014
Epoch:1	SE:2.2573561668395996
Epoch:2	SE:1.8241446018218994
Epoch:3	SE:1.3351740837097168
Epoch:4	SE:1.2684986591339111
Epoch:5	SE:1.2648842334747314
Epoch:6	SE:1.2602819204330444
Epoch:7	SE:1.2543935775756836
Epoch:8	SE:1.252105474472046
Epoch:9	SE:1.2484440803527832
Epoch:10	SE:1.2420716285705566
Epoch:11	SE:1.2374743223190308
Epoch:12	SE:1.234710454940796
Epoch:13	SE:1.2324713468551636
Epoch:14	SE:1.2269831895828247
Epoch:15	SE:1.2254836559295654
Epoch:16	SE:1.2224080562591553
Epoch:17	SE:1.2164931297302246
Epoch:18	SE:1.2140222787857056
Epoch:19	SE:1.2082761526107788
Epoch:20	SE:1.204546332359314
Epoch:21	SE:1.2033898830413818
Epoch:22	SE:1.2002390623092651
Epoch:23	SE:1.1991543769836426
Epoch:24	SE:1.1960808038711548
Epoch:25	SE:1.193867802619934
Epoch:26	SE:1.1891467571258545
Epoch:27	SE:1.1875157356262207
Epoch:28	SE:1.1844933032989502
Epoch:29	SE:1.180393934249878
Epoch:30	SE:1.1809405088424683
Epoch:31	SE:1.178464651107788
Epoch:32	SE:1.1754854917526245
Epoch:33	SE:1.1706856489181519
Epoch:34	SE:1.1686530113220215
Epoch:35	SE:1.1667910814285278
Epoch:36	SE:1.166529893875122
Epoch:37	SE:1.1643707752227783
Epoch:38	SE:1.159859538078308
Epoch:39	SE:1.1579017639160156
Epoch:40	SE:1.1529486179351807
Epoch:41	SE:1.1500966548919678
Epoch:42	SE:1.1484965085983276
Epoch:43	SE:1.1431940793991089
