Epoch:0	RMSE:1.0750066041946411	NNL:5.168236343383788
Epoch:1	RMSE:1.0806406736373901	NNL:5.495896835327149
Epoch:2	RMSE:1.078380823135376	NNL:5.606317749023437
Epoch:3	RMSE:1.0788514614105225	NNL:6.103805236816406
Epoch:4	RMSE:1.0784274339675903	NNL:5.829601715087891
Epoch:5	RMSE:1.077985405921936	NNL:5.892608367919921
Epoch:6	RMSE:1.0804888010025024	NNL:6.218772949218749
Epoch:7	RMSE:1.0807454586029053	NNL:6.398349670410157
Epoch:8	RMSE:1.0795211791992188	NNL:6.662501251220702
Epoch:9	RMSE:1.078299880027771	NNL:6.808734436035157
Epoch:10	RMSE:1.0785351991653442	NNL:6.906945251464843
Epoch:11	RMSE:1.079723596572876	NNL:6.99124658203125
Epoch:12	RMSE:1.0779026746749878	NNL:7.0028683471679685
Epoch:13	RMSE:1.0770925283432007	NNL:7.09055029296875
Epoch:14	RMSE:1.078168272972107	NNL:7.09377960205078
Epoch:15	RMSE:1.079591155052185	NNL:7.163598419189452
Epoch:16	RMSE:1.077699899673462	NNL:7.215311584472657
Epoch:17	RMSE:1.0779635906219482	NNL:7.2796844787597665
Epoch:18	RMSE:1.080100417137146	NNL:7.279330596923828
Epoch:19	RMSE:1.0782313346862793	NNL:7.331782531738281
Epoch:20	RMSE:1.082369327545166	NNL:7.350408508300781
Epoch:21	RMSE:1.0804259777069092	NNL:7.414391754150391
Epoch:22	RMSE:1.0800002813339233	NNL:7.481216522216796
Epoch:23	RMSE:1.0792884826660156	NNL:7.3785585632324215
Epoch:24	RMSE:1.0793684720993042	NNL:7.479118743896483
Epoch:25	RMSE:1.0793284177780151	NNL:7.536733917236329
Epoch:26	RMSE:1.0801275968551636	NNL:7.545282958984375
Epoch:27	RMSE:1.081882357597351	NNL:7.587899780273436
Epoch:28	RMSE:1.0813899040222168	NNL:7.5977600402832035
Epoch:29	RMSE:1.0807486772537231	NNL:7.6131690368652345
Epoch:30	RMSE:1.0827577114105225	NNL:7.59101235961914
Epoch:31	RMSE:1.0824568271636963	NNL:7.595297454833985
Epoch:32	RMSE:1.0802600383758545	NNL:7.639520324707031
Epoch:33	RMSE:1.0783406496047974	NNL:7.740113311767578
Epoch:34	RMSE:1.0797990560531616	NNL:7.753656616210937
Epoch:35	RMSE:1.079705834388733	NNL:7.790347900390626
Epoch:36	RMSE:1.0837148427963257	NNL:7.7807617797851565
Epoch:37	RMSE:1.0807384252548218	NNL:7.8280713195800775
Epoch:38	RMSE:1.0802372694015503	NNL:7.886403442382812
Epoch:39	RMSE:1.0821090936660767	NNL:7.967862121582033
Epoch:40	RMSE:1.0810952186584473	NNL:7.9175218505859375
Epoch:41	RMSE:1.0837650299072266	NNL:7.826380279541016
Epoch:42	RMSE:1.0812608003616333	NNL:7.895692657470702
Epoch:43	RMSE:1.0785596370697021	NNL:7.870141845703124
Epoch:44	RMSE:1.080660343170166	NNL:7.880460998535156
Epoch:45	RMSE:1.0801819562911987	NNL:7.927419158935548
Epoch:46	RMSE:1.080271601676941	NNL:7.92586309814453
Epoch:47	RMSE:1.0812883377075195	NNL:8.078310333251952
Epoch:48	RMSE:1.0811060667037964	NNL:8.019822998046873
Epoch:49	RMSE:1.0813688039779663	NNL:8.071222106933593
Epoch:50	RMSE:1.0829589366912842	NNL:8.151306640625002
Epoch:51	RMSE:1.080482006072998	NNL:8.112350891113282
Epoch:52	RMSE:1.0804399251937866	NNL:8.179633575439452
Epoch:53	RMSE:1.081237554550171	NNL:8.188038024902342
Epoch:54	RMSE:1.0807890892028809	NNL:8.201760589599608
Epoch:55	RMSE:1.0822702646255493	NNL:8.193117279052734
Epoch:56	RMSE:1.0796188116073608	NNL:8.146177032470703
Epoch:57	RMSE:1.0807044506072998	NNL:8.183787811279299
Epoch:58	RMSE:1.081888198852539	NNL:8.219619262695314
Epoch:59	RMSE:1.0804152488708496	NNL:8.252384033203125
Epoch:60	RMSE:1.0803089141845703	NNL:8.286983764648436
Epoch:61	RMSE:1.079480767250061	NNL:8.25480599975586
Epoch:62	RMSE:1.081016182899475	NNL:8.254286804199221
Epoch:63	RMSE:1.0785218477249146	NNL:8.307217651367187
Epoch:64	RMSE:1.0781939029693604	NNL:8.372467254638673
Epoch:65	RMSE:1.0799798965454102	NNL:8.35841131591797
Epoch:66	RMSE:1.0780388116836548	NNL:8.401067626953125
Epoch:67	RMSE:1.080086588859558	NNL:8.38957205200195
Epoch:68	RMSE:1.078346848487854	NNL:8.415972076416017
Epoch:69	RMSE:1.0816701650619507	NNL:8.428255523681642
Epoch:70	RMSE:1.079153060913086	NNL:8.448471099853515
Epoch:71	RMSE:1.0800081491470337	NNL:8.461262786865234
Epoch:72	RMSE:1.0807479619979858	NNL:8.43239990234375
Epoch:73	RMSE:1.082280158996582	NNL:8.473886047363282
Epoch:74	RMSE:1.075423002243042	NNL:8.516711029052733
Epoch:75	RMSE:1.0799975395202637	NNL:8.502910491943359
Epoch:76	RMSE:1.082521677017212	NNL:8.493838623046877
Epoch:77	RMSE:1.0833189487457275	NNL:8.55307095336914
Epoch:78	RMSE:1.0783394575119019	NNL:8.545843566894531
Epoch:79	RMSE:1.0799543857574463	NNL:8.655713775634768
