Epoch:0	ItemNet(SE):1.221941351890564	NNL:6.263871885299684
Epoch:1	ItemNet(SE):1.221256971359253	NNL:4.870925174713134
Epoch:2	ItemNet(SE):1.2222018241882324	NNL:4.773632789611815
Epoch:3	ItemNet(SE):1.2235037088394165	NNL:4.733601671218868
Epoch:4	ItemNet(SE):1.2240045070648193	NNL:4.666119440078733
Epoch:5	ItemNet(SE):1.2254462242126465	NNL:4.570166200637815
Epoch:6	ItemNet(SE):1.221779227256775	NNL:4.444746788024902
Epoch:7	ItemNet(SE):1.2237635850906372	NNL:4.343405498504639
Epoch:8	ItemNet(SE):1.2235780954360962	NNL:4.265403770446775
Epoch:9	ItemNet(SE):1.2236549854278564	NNL:4.200728773117067
Epoch:10	ItemNet(SE):1.221427321434021	NNL:4.144895729064943
Epoch:11	ItemNet(SE):1.2252795696258545	NNL:4.097660184860229
Epoch:12	ItemNet(SE):1.22052800655365	NNL:4.053952178955077
Epoch:13	ItemNet(SE):1.222170114517212	NNL:4.014851369857787
Epoch:14	ItemNet(SE):1.2229526042938232	NNL:3.977999916076662
Epoch:15	ItemNet(SE):1.2246040105819702	NNL:3.9436599349975574
Epoch:16	ItemNet(SE):1.2253215312957764	NNL:3.910584758758546
Epoch:17	ItemNet(SE):1.2245502471923828	NNL:3.8795874919891347
Epoch:18	ItemNet(SE):1.2208750247955322	NNL:3.8500547695159923
Epoch:19	ItemNet(SE):1.2193456888198853	NNL:3.8213625640869173
Epoch:20	ItemNet(SE):1.2219337224960327	NNL:3.795234523773194
Epoch:21	ItemNet(SE):1.2228398323059082	NNL:3.770914419174196
Epoch:22	ItemNet(SE):1.221685528755188	NNL:3.7492875022888166
Epoch:23	ItemNet(SE):1.2217926979064941	NNL:3.727147491455078
Epoch:24	ItemNet(SE):1.2213882207870483	NNL:3.709393604278565
Epoch:25	ItemNet(SE):1.2244793176651	NNL:3.687049016952512
Epoch:26	ItemNet(SE):1.2231364250183105	NNL:3.66453674507141
Epoch:27	ItemNet(SE):1.2225961685180664	NNL:3.644821228027344
Epoch:28	ItemNet(SE):1.2236768007278442	NNL:3.626638177871706
Epoch:29	ItemNet(SE):1.220816969871521	NNL:3.6108170661926273
Epoch:30	ItemNet(SE):1.2236281633377075	NNL:3.598005010604858
Epoch:31	ItemNet(SE):1.2219090461730957	NNL:3.581372863769533
Epoch:32	ItemNet(SE):1.2223623991012573	NNL:3.5636166515350354
Epoch:33	ItemNet(SE):1.2239516973495483	NNL:3.5467079544067373
Epoch:34	ItemNet(SE):1.2179008722305298	NNL:3.528183158874512
Epoch:35	ItemNet(SE):1.2243640422821045	NNL:3.511634813308716
Epoch:36	ItemNet(SE):1.2229433059692383	NNL:3.4943642215728765
Epoch:37	ItemNet(SE):1.2219030857086182	NNL:3.4785884571075423
Epoch:38	ItemNet(SE):1.224258303642273	NNL:3.46376837348938
Epoch:39	ItemNet(SE):1.2232798337936401	NNL:3.449165719985961
Epoch:40	ItemNet(SE):1.2212365865707397	NNL:3.4371357707977297
Epoch:41	ItemNet(SE):1.2250438928604126	NNL:3.430745723724366
Epoch:42	ItemNet(SE):1.2240508794784546	NNL:3.4173692932128885
Epoch:43	ItemNet(SE):1.2224479913711548	NNL:3.40349449157715
Epoch:44	ItemNet(SE):1.221701741218567	NNL:3.3908577919006335
Epoch:45	ItemNet(SE):1.2206586599349976	NNL:3.378476726531982
Epoch:46	ItemNet(SE):1.2232638597488403	NNL:3.361574005126954
Epoch:47	ItemNet(SE):1.2232105731964111	NNL:3.3480592021942135
Epoch:48	ItemNet(SE):1.222168207168579	NNL:3.334879882812499
Epoch:49	ItemNet(SE):1.2207359075546265	NNL:3.3213235340118414
Epoch:50	ItemNet(SE):1.2233004570007324	NNL:3.310038991928102
Epoch:51	ItemNet(SE):1.2204056978225708	NNL:3.295592451095581
Epoch:52	ItemNet(SE):1.2236255407333374	NNL:3.282978576660155
Epoch:53	ItemNet(SE):1.224202036857605	NNL:3.2695672721862783
Epoch:54	ItemNet(SE):1.2262502908706665	NNL:3.257410552978515
Epoch:55	ItemNet(SE):1.2201627492904663	NNL:3.243855573654175
Epoch:56	ItemNet(SE):1.2237963676452637	NNL:3.2321104602813717
Epoch:57	ItemNet(SE):1.224427342414856	NNL:3.2215584316253656
Epoch:58	ItemNet(SE):1.2230106592178345	NNL:3.2140027542114247
Epoch:59	ItemNet(SE):1.2229164838790894	NNL:3.20115697669983
Epoch:60	ItemNet(SE):1.220400333404541	NNL:3.191459753036498
Epoch:61	ItemNet(SE):1.2217339277267456	NNL:3.179290012359618
Epoch:62	ItemNet(SE):1.2250016927719116	NNL:3.1669866027832025
Epoch:63	ItemNet(SE):1.2216923236846924	NNL:3.1549382820129392
Epoch:64	ItemNet(SE):1.2223269939422607	NNL:3.1429380912780767
Epoch:65	ItemNet(SE):1.2236696481704712	NNL:3.132490814208983
Epoch:66	ItemNet(SE):1.2239397764205933	NNL:3.1285341587066657
Epoch:67	ItemNet(SE):1.2211865186691284	NNL:3.1218706817626947
Epoch:68	ItemNet(SE):1.2230782508850098	NNL:3.106246040344238
Epoch:69	ItemNet(SE):1.2194427251815796	NNL:3.0953074951171864
Epoch:70	ItemNet(SE):1.2218767404556274	NNL:3.083684507369997
Epoch:71	ItemNet(SE):1.2241476774215698	NNL:3.076205774307252
Epoch:72	ItemNet(SE):1.226361632347107	NNL:3.0650093059539794
Epoch:73	ItemNet(SE):1.2227050065994263	NNL:3.0530461692810063
Epoch:74	ItemNet(SE):1.2220693826675415	NNL:3.0406608295440685
Epoch:75	ItemNet(SE):1.2207287549972534	NNL:3.031595464706421
Epoch:76	ItemNet(SE):1.223229169845581	NNL:3.0200825443267822
Epoch:77	ItemNet(SE):1.2234899997711182	NNL:3.009303508758546
Epoch:78	ItemNet(SE):1.2207063436508179	NNL:2.9981364879608163
Epoch:79	ItemNet(SE):1.2219842672348022	NNL:2.98975539970398
