Epoch:0	SE:2.397533655166626
Epoch:1	SE:2.223051071166992
Epoch:2	SE:1.741367220878601
Epoch:3	SE:1.3037928342819214
Epoch:4	SE:1.278400182723999
Epoch:5	SE:1.277008295059204
Epoch:6	SE:1.2711384296417236
Epoch:7	SE:1.2692245244979858
Epoch:8	SE:1.2699341773986816
Epoch:9	SE:1.2659263610839844
Epoch:10	SE:1.2650490999221802
Epoch:11	SE:1.2651082277297974
Epoch:12	SE:1.2622673511505127
Epoch:13	SE:1.2625995874404907
Epoch:14	SE:1.2598129510879517
Epoch:15	SE:1.2571581602096558
Epoch:16	SE:1.2572780847549438
Epoch:17	SE:1.2548915147781372
Epoch:18	SE:1.257667064666748
Epoch:19	SE:1.2564870119094849
Epoch:20	SE:1.2525157928466797
Epoch:21	SE:1.2531943321228027
Epoch:22	SE:1.2513045072555542
Epoch:23	SE:1.2517069578170776
Epoch:24	SE:1.2513409852981567
Epoch:25	SE:1.249762773513794
Epoch:26	SE:1.2484880685806274
Epoch:27	SE:1.2480841875076294
Epoch:28	SE:1.2499126195907593
Epoch:29	SE:1.2492159605026245
Epoch:30	SE:1.2495403289794922
Epoch:31	SE:1.2479161024093628
Epoch:32	SE:1.247611403465271
Epoch:33	SE:1.2471364736557007
Epoch:34	SE:1.246789813041687
Epoch:35	SE:1.2487281560897827
Epoch:36	SE:1.243465781211853
Epoch:37	SE:1.2449584007263184
Epoch:38	SE:1.2447659969329834
Epoch:39	SE:1.2437829971313477
Epoch:40	SE:1.246290922164917
Epoch:41	SE:1.2449439764022827
Epoch:42	SE:1.243387222290039
Epoch:43	SE:1.2422817945480347
Epoch:44	SE:1.2424907684326172
Epoch:45	SE:1.245104432106018
Epoch:46	SE:1.2447903156280518
Epoch:47	SE:1.2454713582992554
Epoch:48	SE:1.2439481019973755
Epoch:49	SE:1.2435942888259888
Epoch:50	SE:1.245165228843689
