Epoch:0	SE:2.4755859375
Epoch:1	SE:2.3445956707000732
Epoch:2	SE:2.074721336364746
Epoch:3	SE:1.5539906024932861
Epoch:4	SE:1.2872878313064575
Epoch:5	SE:1.277988076210022
Epoch:6	SE:1.2740659713745117
Epoch:7	SE:1.2723228931427002
Epoch:8	SE:1.2721885442733765
Epoch:9	SE:1.2692540884017944
Epoch:10	SE:1.2696512937545776
Epoch:11	SE:1.2674802541732788
Epoch:12	SE:1.2684125900268555
Epoch:13	SE:1.2643007040023804
Epoch:14	SE:1.2660716772079468
Epoch:15	SE:1.262913703918457
Epoch:16	SE:1.2594712972640991
Epoch:17	SE:1.258668065071106
Epoch:18	SE:1.2599822282791138
Epoch:19	SE:1.257517695426941
Epoch:20	SE:1.2582343816757202
Epoch:21	SE:1.2582558393478394
Epoch:22	SE:1.2566474676132202
Epoch:23	SE:1.2567393779754639
Epoch:24	SE:1.2551071643829346
Epoch:25	SE:1.2552355527877808
Epoch:26	SE:1.2551467418670654
Epoch:27	SE:1.2556756734848022
Epoch:28	SE:1.257002830505371
Epoch:29	SE:1.252996802330017
Epoch:30	SE:1.2523936033248901
Epoch:31	SE:1.2513253688812256
Epoch:32	SE:1.253786563873291
Epoch:33	SE:1.25216543674469
Epoch:34	SE:1.2528361082077026
Epoch:35	SE:1.2520307302474976
Epoch:36	SE:1.249646544456482
Epoch:37	SE:1.2500510215759277
Epoch:38	SE:1.2524051666259766
Epoch:39	SE:1.2496694326400757
Epoch:40	SE:1.2510738372802734
Epoch:41	SE:1.2524409294128418
Epoch:42	SE:1.2507067918777466
Epoch:43	SE:1.247248888015747
Epoch:44	SE:1.250727891921997
Epoch:45	SE:1.2525759935379028
Epoch:46	SE:1.247520923614502
Epoch:47	SE:1.250435709953308
Epoch:48	SE:1.248708963394165
Epoch:49	SE:1.2497814893722534
Epoch:50	SE:1.2510470151901245
Epoch:51	SE:1.249456763267517
Epoch:52	SE:1.2498363256454468
Epoch:53	SE:1.2504174709320068
Epoch:54	SE:1.2484710216522217
Epoch:55	SE:1.2486050128936768
Epoch:56	SE:1.248278021812439
Epoch:57	SE:1.247314691543579
Epoch:58	SE:1.2479901313781738
Epoch:59	SE:1.2495077848434448
