Epoch:0	SE:2.2465455532073975
Epoch:1	SE:2.050508737564087
Epoch:2	SE:1.6658824682235718
Epoch:3	SE:1.3144479990005493
Epoch:4	SE:1.2726024389266968
Epoch:5	SE:1.2653796672821045
Epoch:6	SE:1.2607426643371582
Epoch:7	SE:1.257733702659607
Epoch:8	SE:1.2505534887313843
Epoch:9	SE:1.2472366094589233
Epoch:10	SE:1.2419699430465698
Epoch:11	SE:1.2344011068344116
Epoch:12	SE:1.2346264123916626
Epoch:13	SE:1.2293941974639893
Epoch:14	SE:1.2284789085388184
Epoch:15	SE:1.223198652267456
Epoch:16	SE:1.2188374996185303
Epoch:17	SE:1.2129868268966675
Epoch:18	SE:1.2107021808624268
Epoch:19	SE:1.2080779075622559
Epoch:20	SE:1.2012819051742554
Epoch:21	SE:1.1997809410095215
Epoch:22	SE:1.19509756565094
Epoch:23	SE:1.1908811330795288
Epoch:24	SE:1.1931769847869873
Epoch:25	SE:1.1893441677093506
Epoch:26	SE:1.1878132820129395
Epoch:27	SE:1.1824781894683838
Epoch:28	SE:1.1801550388336182
Epoch:29	SE:1.1800605058670044
Epoch:30	SE:1.1756372451782227
Epoch:31	SE:1.1728962659835815
Epoch:32	SE:1.170153021812439
Epoch:33	SE:1.1682047843933105
Epoch:34	SE:1.1604074239730835
Epoch:35	SE:1.160043478012085
Epoch:36	SE:1.15782630443573
Epoch:37	SE:1.1519649028778076
Epoch:38	SE:1.152708888053894
Epoch:39	SE:1.1470712423324585
Epoch:40	SE:1.1435649394989014
Epoch:41	SE:1.1350655555725098
Epoch:42	SE:1.128313660621643
Epoch:43	SE:1.127563714981079
Epoch:44	SE:1.1267085075378418
Epoch:45	SE:1.1215790510177612
Epoch:46	SE:1.1175432205200195
Epoch:47	SE:1.1152456998825073
Epoch:48	SE:1.1093932390213013
Epoch:49	SE:1.109379768371582
Epoch:50	SE:1.1046831607818604
Epoch:51	SE:1.0984681844711304
Epoch:52	SE:1.0972704887390137
Epoch:53	SE:1.0903829336166382
Epoch:54	SE:1.0887120962142944
Epoch:55	SE:1.08440101146698
Epoch:56	SE:1.0800716876983643
Epoch:57	SE:1.0806018114089966
Epoch:58	SE:1.074776530265808
Epoch:59	SE:1.0709582567214966
Epoch:60	SE:1.0672897100448608
Epoch:61	SE:1.061188817024231
Epoch:62	SE:1.0591681003570557
Epoch:63	SE:1.0531346797943115
Epoch:64	SE:1.049080729484558
Epoch:65	SE:1.0474966764450073
Epoch:66	SE:1.0388903617858887
Epoch:67	SE:1.0335553884506226
Epoch:68	SE:1.0291820764541626
Epoch:69	SE:1.0239378213882446
Epoch:70	SE:1.0172911882400513
Epoch:71	SE:1.0151798725128174
Epoch:72	SE:1.0075520277023315
Epoch:73	SE:1.0036035776138306
Epoch:74	SE:0.9973912239074707
Epoch:75	SE:0.990205705165863
Epoch:76	SE:0.9852960705757141
Epoch:77	SE:0.9757364392280579
