Epoch:0	SE:2.3738772869110107
Epoch:1	SE:2.0838844776153564
Epoch:2	SE:1.5307363271713257
Epoch:3	SE:1.2812410593032837
Epoch:4	SE:1.2711361646652222
Epoch:5	SE:1.2655023336410522
Epoch:6	SE:1.2617237567901611
Epoch:7	SE:1.2592672109603882
Epoch:8	SE:1.2526414394378662
Epoch:9	SE:1.2472550868988037
Epoch:10	SE:1.2474769353866577
Epoch:11	SE:1.243768572807312
Epoch:12	SE:1.243226408958435
Epoch:13	SE:1.2384995222091675
Epoch:14	SE:1.2347670793533325
Epoch:15	SE:1.2332910299301147
Epoch:16	SE:1.2287260293960571
Epoch:17	SE:1.2270551919937134
Epoch:18	SE:1.2243691682815552
Epoch:19	SE:1.2183908224105835
Epoch:20	SE:1.2183629274368286
Epoch:21	SE:1.2136644124984741
Epoch:22	SE:1.2127455472946167
Epoch:23	SE:1.2123000621795654
Epoch:24	SE:1.2100485563278198
Epoch:25	SE:1.2100082635879517
Epoch:26	SE:1.2064721584320068
Epoch:27	SE:1.2038099765777588
Epoch:28	SE:1.2010496854782104
Epoch:29	SE:1.1979321241378784
Epoch:30	SE:1.1982721090316772
Epoch:31	SE:1.1951154470443726
Epoch:32	SE:1.1923919916152954
Epoch:33	SE:1.189486026763916
Epoch:34	SE:1.189595103263855
Epoch:35	SE:1.1886993646621704
Epoch:36	SE:1.1851180791854858
Epoch:37	SE:1.1797683238983154
Epoch:38	SE:1.1815255880355835
Epoch:39	SE:1.177273154258728
Epoch:40	SE:1.1742537021636963
Epoch:41	SE:1.1716721057891846
Epoch:42	SE:1.1664453744888306
Epoch:43	SE:1.1603559255599976
Epoch:44	SE:1.1556236743927002
Epoch:45	SE:1.1512383222579956
Epoch:46	SE:1.1480333805084229
Epoch:47	SE:1.1434764862060547
Epoch:48	SE:1.1404054164886475
Epoch:49	SE:1.1391668319702148
Epoch:50	SE:1.1354707479476929
Epoch:51	SE:1.1319125890731812
Epoch:52	SE:1.1287482976913452
Epoch:53	SE:1.1242249011993408
Epoch:54	SE:1.120915174484253
Epoch:55	SE:1.1165398359298706
Epoch:56	SE:1.1128801107406616
Epoch:57	SE:1.1098726987838745
Epoch:58	SE:1.1082006692886353
Epoch:59	SE:1.1033936738967896
Epoch:60	SE:1.0994064807891846
Epoch:61	SE:1.0931309461593628
Epoch:62	SE:1.0884945392608643
Epoch:63	SE:1.082984209060669
Epoch:64	SE:1.0802315473556519
Epoch:65	SE:1.0749891996383667
Epoch:66	SE:1.0705208778381348
Epoch:67	SE:1.0650967359542847
Epoch:68	SE:1.0603760480880737
Epoch:69	SE:1.05414879322052
