Epoch:0	RMSE:1.0740926265716553	NNL:5.169574035644531
Epoch:1	RMSE:1.0746606588363647	NNL:5.473913146972656
Epoch:2	RMSE:1.0724347829818726	NNL:5.603622482299805
Epoch:3	RMSE:1.0819772481918335	NNL:5.715080810546875
Epoch:4	RMSE:1.0758905410766602	NNL:5.792845916748046
Epoch:5	RMSE:1.0807905197143555	NNL:6.104515899658203
Epoch:6	RMSE:1.0807816982269287	NNL:6.472683288574215
Epoch:7	RMSE:1.0795767307281494	NNL:6.562678741455079
Epoch:8	RMSE:1.0750422477722168	NNL:6.636695495605468
Epoch:9	RMSE:1.0757168531417847	NNL:6.8089642944335935
Epoch:10	RMSE:1.076849341392517	NNL:6.8701788940429696
Epoch:11	RMSE:1.0784395933151245	NNL:7.048148040771485
Epoch:12	RMSE:1.0811748504638672	NNL:7.038105651855465
Epoch:13	RMSE:1.0814971923828125	NNL:7.1171937561035135
Epoch:14	RMSE:1.0806598663330078	NNL:7.170944976806642
Epoch:15	RMSE:1.0782699584960938	NNL:7.156719024658203
Epoch:16	RMSE:1.0768736600875854	NNL:7.227274688720703
Epoch:17	RMSE:1.0795477628707886	NNL:7.290238739013672
Epoch:18	RMSE:1.0786947011947632	NNL:7.258749725341798
Epoch:19	RMSE:1.0788345336914062	NNL:7.2837531127929696
Epoch:20	RMSE:1.0757700204849243	NNL:7.332028259277344
Epoch:21	RMSE:1.0761083364486694	NNL:7.379053009033202
Epoch:22	RMSE:1.0799312591552734	NNL:7.430233703613283
Epoch:23	RMSE:1.0770188570022583	NNL:7.440683410644529
Epoch:24	RMSE:1.078790545463562	NNL:7.408586029052735
Epoch:25	RMSE:1.0795953273773193	NNL:7.4148890380859385
Epoch:26	RMSE:1.0771163702011108	NNL:7.390112426757812
Epoch:27	RMSE:1.0792253017425537	NNL:7.4582406921386735
Epoch:28	RMSE:1.0787843465805054	NNL:7.548738525390624
Epoch:29	RMSE:1.0780484676361084	NNL:7.5720535888671865
Epoch:30	RMSE:1.079142451286316	NNL:7.609273193359374
Epoch:31	RMSE:1.07761812210083	NNL:7.661142883300782
Epoch:32	RMSE:1.0778602361679077	NNL:7.680033721923829
Epoch:33	RMSE:1.0811744928359985	NNL:7.711047912597657
Epoch:34	RMSE:1.0802198648452759	NNL:7.771348724365234
Epoch:35	RMSE:1.0796372890472412	NNL:7.81211099243164
Epoch:36	RMSE:1.0790146589279175	NNL:7.895080413818358
Epoch:37	RMSE:1.0801831483840942	NNL:8.009735382080077
Epoch:38	RMSE:1.0798357725143433	NNL:8.067493713378905
Epoch:39	RMSE:1.078361988067627	NNL:7.987104095458984
Epoch:40	RMSE:1.0790666341781616	NNL:7.851289459228516
Epoch:41	RMSE:1.077965497970581	NNL:7.870725463867188
Epoch:42	RMSE:1.07940673828125	NNL:7.883931884765625
Epoch:43	RMSE:1.0796003341674805	NNL:7.833796478271486
Epoch:44	RMSE:1.0784955024719238	NNL:7.885888732910158
Epoch:45	RMSE:1.0794622898101807	NNL:7.90624676513672
Epoch:46	RMSE:1.0752356052398682	NNL:7.993354522705078
Epoch:47	RMSE:1.0773684978485107	NNL:7.986309387207031
Epoch:48	RMSE:1.0747917890548706	NNL:8.042853363037107
Epoch:49	RMSE:1.0769814252853394	NNL:8.06048858642578
Epoch:50	RMSE:1.0796066522598267	NNL:8.158445404052735
Epoch:51	RMSE:1.0751417875289917	NNL:8.202610473632813
Epoch:52	RMSE:1.078787088394165	NNL:8.216643493652345
Epoch:53	RMSE:1.078567385673523	NNL:8.225565734863283
Epoch:54	RMSE:1.0764285326004028	NNL:8.292080657958984
Epoch:55	RMSE:1.0811468362808228	NNL:8.380843688964843
Epoch:56	RMSE:1.08010995388031	NNL:8.487281494140625
Epoch:57	RMSE:1.0782113075256348	NNL:8.407892852783203
Epoch:58	RMSE:1.0800316333770752	NNL:8.397507781982423
Epoch:59	RMSE:1.079986572265625	NNL:8.358403717041018
