Epoch:0	RMSE:1.073975682258606	NNL:5.168791259765625
Epoch:1	RMSE:1.0787585973739624	NNL:5.4779892120361335
Epoch:2	RMSE:1.0754510164260864	NNL:5.763734649658203
Epoch:3	RMSE:1.0808743238449097	NNL:5.548402526855469
Epoch:4	RMSE:1.0732907056808472	NNL:5.626174407958985
Epoch:5	RMSE:1.0777573585510254	NNL:5.896850616455078
Epoch:6	RMSE:1.078163743019104	NNL:6.186872558593748
Epoch:7	RMSE:1.0786975622177124	NNL:6.711072235107423
Epoch:8	RMSE:1.080430507659912	NNL:7.361965332031249
Epoch:9	RMSE:1.0767468214035034	NNL:7.521768096923827
Epoch:10	RMSE:1.0788350105285645	NNL:7.3658734436035145
Epoch:11	RMSE:1.0804322957992554	NNL:7.424662628173829
Epoch:12	RMSE:1.0788021087646484	NNL:7.450715209960938
Epoch:13	RMSE:1.081666111946106	NNL:7.5303547668457025
Epoch:14	RMSE:1.0784592628479004	NNL:7.527148742675782
Epoch:15	RMSE:1.0793710947036743	NNL:7.5221780395507825
Epoch:16	RMSE:1.0783003568649292	NNL:7.599704803466798
Epoch:17	RMSE:1.0816277265548706	NNL:7.662201385498046
Epoch:18	RMSE:1.0784586668014526	NNL:7.6797376403808615
Epoch:19	RMSE:1.0777270793914795	NNL:7.682753204345704
Epoch:20	RMSE:1.0787657499313354	NNL:7.626017913818361
Epoch:21	RMSE:1.0801234245300293	NNL:7.6972001953125
Epoch:22	RMSE:1.0778852701187134	NNL:7.752335968017578
Epoch:23	RMSE:1.0803734064102173	NNL:7.748308959960939
Epoch:24	RMSE:1.077418565750122	NNL:7.827703979492187
Epoch:25	RMSE:1.0769524574279785	NNL:7.840982910156251
Epoch:26	RMSE:1.074581503868103	NNL:7.900037963867187
Epoch:27	RMSE:1.078100562095642	NNL:8.034451751708984
Epoch:28	RMSE:1.0790164470672607	NNL:8.120435150146484
Epoch:29	RMSE:1.0785903930664062	NNL:8.187971679687498
Epoch:30	RMSE:1.077634572982788	NNL:8.226135437011719
Epoch:31	RMSE:1.0752686262130737	NNL:8.187466064453126
Epoch:32	RMSE:1.0772007703781128	NNL:8.158365509033201
Epoch:33	RMSE:1.0749908685684204	NNL:8.140314483642577
Epoch:34	RMSE:1.0802183151245117	NNL:8.15221975708008
Epoch:35	RMSE:1.0769559144973755	NNL:8.141161590576171
