Epoch:0	ItemNet(SE):1.249764323234558	NNL:6.2565410900115985
Epoch:1	ItemNet(SE):1.2535150051116943	NNL:4.8540915088653565
Epoch:2	ItemNet(SE):1.2534754276275635	NNL:4.773729177474975
Epoch:3	ItemNet(SE):1.255843997001648	NNL:4.734245796203614
Epoch:4	ItemNet(SE):1.2548614740371704	NNL:4.669993228912356
Epoch:5	ItemNet(SE):1.2544054985046387	NNL:4.571776063919069
Epoch:6	ItemNet(SE):1.2540324926376343	NNL:4.4595978317260725
Epoch:7	ItemNet(SE):1.2550939321517944	NNL:4.353862993240357
Epoch:8	ItemNet(SE):1.2539571523666382	NNL:4.273354751586917
Epoch:9	ItemNet(SE):1.2540020942687988	NNL:4.212487636566161
Epoch:10	ItemNet(SE):1.2581332921981812	NNL:4.158064319610597
Epoch:11	ItemNet(SE):1.2535614967346191	NNL:4.1088276367187495
Epoch:12	ItemNet(SE):1.256047010421753	NNL:4.062732763290407
Epoch:13	ItemNet(SE):1.2578251361846924	NNL:4.020374485015868
Epoch:14	ItemNet(SE):1.25557541847229	NNL:3.9813325595855718
Epoch:15	ItemNet(SE):1.2555922269821167	NNL:3.94466187095642
Epoch:16	ItemNet(SE):1.2551075220108032	NNL:3.9105653858184817
Epoch:17	ItemNet(SE):1.254355549812317	NNL:3.8770334148407004
Epoch:18	ItemNet(SE):1.2517253160476685	NNL:3.8467744293212904
Epoch:19	ItemNet(SE):1.2549283504486084	NNL:3.818187101364136
Epoch:20	ItemNet(SE):1.2512928247451782	NNL:3.7894867725372317
Epoch:21	ItemNet(SE):1.2533884048461914	NNL:3.7638094348907485
Epoch:22	ItemNet(SE):1.2568110227584839	NNL:3.737587476730345
Epoch:23	ItemNet(SE):1.2555458545684814	NNL:3.7131516990661617
Epoch:24	ItemNet(SE):1.253851056098938	NNL:3.689267141342161
Epoch:25	ItemNet(SE):1.2578006982803345	NNL:3.6678938465118422
Epoch:26	ItemNet(SE):1.2520573139190674	NNL:3.650724618911741
Epoch:27	ItemNet(SE):1.2538660764694214	NNL:3.6302459793090804
Epoch:28	ItemNet(SE):1.253804087638855	NNL:3.6100355319976787
Epoch:29	ItemNet(SE):1.2556082010269165	NNL:3.5898923625946053
Epoch:30	ItemNet(SE):1.2557438611984253	NNL:3.568525323867797
Epoch:31	ItemNet(SE):1.2551608085632324	NNL:3.549612630844115
Epoch:32	ItemNet(SE):1.2554608583450317	NNL:3.530329454421998
Epoch:33	ItemNet(SE):1.2556746006011963	NNL:3.51209058570862
Epoch:34	ItemNet(SE):1.2574596405029297	NNL:3.4942003211975092
Epoch:35	ItemNet(SE):1.2538474798202515	NNL:3.477921131134032
Epoch:36	ItemNet(SE):1.255223035812378	NNL:3.474943431854249
Epoch:37	ItemNet(SE):1.2534430027008057	NNL:3.4581210498809805
Epoch:38	ItemNet(SE):1.255589485168457	NNL:3.4454852981567385
Epoch:39	ItemNet(SE):1.2530237436294556	NNL:3.4279552726745606
Epoch:40	ItemNet(SE):1.2554911375045776	NNL:3.409986877441406
Epoch:41	ItemNet(SE):1.2516924142837524	NNL:3.3922560062408436
Epoch:42	ItemNet(SE):1.2540111541748047	NNL:3.375018938064575
Epoch:43	ItemNet(SE):1.253238558769226	NNL:3.3590747013092033
Epoch:44	ItemNet(SE):1.2552227973937988	NNL:3.3436193237304686
Epoch:45	ItemNet(SE):1.2567180395126343	NNL:3.327881776809691
Epoch:46	ItemNet(SE):1.2552924156188965	NNL:3.3158229293823247
Epoch:47	ItemNet(SE):1.2556006908416748	NNL:3.3014129123687774
Epoch:48	ItemNet(SE):1.2572028636932373	NNL:3.2905070800781253
Epoch:49	ItemNet(SE):1.2550716400146484	NNL:3.2849728164672833
Epoch:50	ItemNet(SE):1.255310297012329	NNL:3.2799139251708977
Epoch:51	ItemNet(SE):1.2563434839248657	NNL:3.2706723613738986
Epoch:52	ItemNet(SE):1.2524749040603638	NNL:3.2561330337524437
Epoch:53	ItemNet(SE):1.2566487789154053	NNL:3.2399477157592784
Epoch:54	ItemNet(SE):1.2544742822647095	NNL:3.226496463775635
Epoch:55	ItemNet(SE):1.256312608718872	NNL:3.213910701751709
Epoch:56	ItemNet(SE):1.2559415102005005	NNL:3.202045503616332
Epoch:57	ItemNet(SE):1.2549775838851929	NNL:3.1878185024261474
Epoch:58	ItemNet(SE):1.2545807361602783	NNL:3.174707693099976
Epoch:59	ItemNet(SE):1.2538561820983887	NNL:3.161660274505615
