Epoch:0	RMSE:1.0759985446929932	NNL:5.185825317382813
Epoch:1	RMSE:1.0779058933258057	NNL:5.492246765136718
Epoch:2	RMSE:1.076264500617981	NNL:5.601998168945313
Epoch:3	RMSE:1.0795751810073853	NNL:5.752802459716797
Epoch:4	RMSE:1.0781513452529907	NNL:5.785681304931641
Epoch:5	RMSE:1.0770263671875	NNL:5.914122619628905
Epoch:6	RMSE:1.0763567686080933	NNL:6.234728515624999
Epoch:7	RMSE:1.0788531303405762	NNL:6.381148681640626
Epoch:8	RMSE:1.0793884992599487	NNL:6.592965728759765
Epoch:9	RMSE:1.0833324193954468	NNL:6.711056182861327
Epoch:10	RMSE:1.0796566009521484	NNL:6.780227844238283
Epoch:11	RMSE:1.0784143209457397	NNL:6.909896850585936
Epoch:12	RMSE:1.0781528949737549	NNL:6.977488281249999
Epoch:13	RMSE:1.0758808851242065	NNL:6.994658630371093
Epoch:14	RMSE:1.0775073766708374	NNL:7.057736328125
Epoch:15	RMSE:1.0797513723373413	NNL:7.120029449462891
Epoch:16	RMSE:1.076550006866455	NNL:7.223864532470702
Epoch:17	RMSE:1.0767980813980103	NNL:7.219086822509764
Epoch:18	RMSE:1.0781716108322144	NNL:7.294792541503907
Epoch:19	RMSE:1.0773879289627075	NNL:7.3231627807617174
Epoch:20	RMSE:1.077486515045166	NNL:7.314694091796876
Epoch:21	RMSE:1.078197717666626	NNL:7.364826477050781
Epoch:22	RMSE:1.0772356986999512	NNL:7.370820434570314
Epoch:23	RMSE:1.078122615814209	NNL:7.375909576416015
Epoch:24	RMSE:1.0759475231170654	NNL:7.430692932128904
Epoch:25	RMSE:1.0809171199798584	NNL:7.420399536132814
Epoch:26	RMSE:1.074282169342041	NNL:7.434686126708985
Epoch:27	RMSE:1.07705819606781	NNL:7.476683959960939
Epoch:28	RMSE:1.078590750694275	NNL:7.464047637939453
Epoch:29	RMSE:1.0775887966156006	NNL:7.4801293334960945
Epoch:30	RMSE:1.0775140523910522	NNL:7.581767486572266
Epoch:31	RMSE:1.0754281282424927	NNL:7.528366271972658
Epoch:32	RMSE:1.0786736011505127	NNL:7.60105337524414
Epoch:33	RMSE:1.0801843404769897	NNL:7.639743682861328
Epoch:34	RMSE:1.0793404579162598	NNL:7.669704559326172
Epoch:35	RMSE:1.0767573118209839	NNL:7.695966339111328
Epoch:36	RMSE:1.0794256925582886	NNL:7.693190246582032
Epoch:37	RMSE:1.0781259536743164	NNL:7.818856567382812
Epoch:38	RMSE:1.0779398679733276	NNL:7.879761230468749
Epoch:39	RMSE:1.0783531665802002	NNL:7.814200225830078
Epoch:40	RMSE:1.0766631364822388	NNL:7.886464385986329
Epoch:41	RMSE:1.0759607553482056	NNL:7.9384257812499985
Epoch:42	RMSE:1.078058123588562	NNL:7.964163330078127
Epoch:43	RMSE:1.0799163579940796	NNL:8.080767822265624
Epoch:44	RMSE:1.0776729583740234	NNL:8.087988159179687
Epoch:45	RMSE:1.0783897638320923	NNL:8.05639779663086
Epoch:46	RMSE:1.0780916213989258	NNL:8.06977716064453
Epoch:47	RMSE:1.0770457983016968	NNL:8.029230529785156
Epoch:48	RMSE:1.0804336071014404	NNL:8.000312194824218
Epoch:49	RMSE:1.0765780210494995	NNL:7.999506774902343
Epoch:50	RMSE:1.0762803554534912	NNL:8.020890441894533
Epoch:51	RMSE:1.0782115459442139	NNL:8.090376647949217
Epoch:52	RMSE:1.078171968460083	NNL:8.100794982910157
Epoch:53	RMSE:1.079579472541809	NNL:8.13504623413086
Epoch:54	RMSE:1.0774122476577759	NNL:8.151790069580077
Epoch:55	RMSE:1.0799356698989868	NNL:8.179742126464843
Epoch:56	RMSE:1.0759117603302002	NNL:8.143295318603514
Epoch:57	RMSE:1.0793912410736084	NNL:8.226947509765626
Epoch:58	RMSE:1.0788615942001343	NNL:8.31663104248047
Epoch:59	RMSE:1.0753871202468872	NNL:8.46873309326172
