Epoch:0	RMSE:-126.6220932006836
Epoch:1	RMSE:-118.2413330078125
Epoch:2	RMSE:-95.94279479980469
Epoch:3	RMSE:-92.6408920288086
Epoch:4	RMSE:-92.55252075195312
Epoch:5	RMSE:-92.4549789428711
Epoch:6	RMSE:-92.01016998291016
Epoch:7	RMSE:-91.88434600830078
Epoch:8	RMSE:-92.1114501953125
Epoch:9	RMSE:-91.88633728027344
Epoch:10	RMSE:-91.83433532714844
Epoch:11	RMSE:-91.66997528076172
Epoch:12	RMSE:-91.6715316772461
Epoch:13	RMSE:-91.5802993774414
Epoch:14	RMSE:-91.75350189208984
Epoch:15	RMSE:-91.55541229248047
Epoch:16	RMSE:-91.58869171142578
Epoch:17	RMSE:-91.6290283203125
Epoch:18	RMSE:-91.5510482788086
Epoch:19	RMSE:-91.42684936523438
Epoch:20	RMSE:-91.39434051513672
Epoch:21	RMSE:-91.38976287841797
Epoch:22	RMSE:-91.46656799316406
Epoch:23	RMSE:-91.36141967773438
Epoch:24	RMSE:-91.38104248046875
Epoch:25	RMSE:-91.30540466308594
Epoch:26	RMSE:-91.15890502929688
Epoch:27	RMSE:-91.15745544433594
Epoch:28	RMSE:-90.97896575927734
Epoch:29	RMSE:-91.19792938232422
Epoch:30	RMSE:-91.14984130859375
Epoch:31	RMSE:-91.16039276123047
Epoch:32	RMSE:-91.1895523071289
Epoch:33	RMSE:-90.99727630615234
Epoch:34	RMSE:-90.7732162475586
Epoch:35	RMSE:-90.90978240966797
Epoch:36	RMSE:-91.15043640136719
Epoch:37	RMSE:-90.98445892333984
Epoch:38	RMSE:-90.88005065917969
Epoch:39	RMSE:-90.9253921508789
Epoch:40	RMSE:-90.81189727783203
Epoch:41	RMSE:-90.79253387451172
Epoch:42	RMSE:-90.73175048828125
Epoch:43	RMSE:-90.37266540527344
Epoch:44	RMSE:-90.51188659667969
Epoch:45	RMSE:-90.66803741455078
Epoch:46	RMSE:-90.45101928710938
Epoch:47	RMSE:-90.28563690185547
Epoch:48	RMSE:-90.20848846435547
Epoch:49	RMSE:-90.29265594482422
Epoch:50	RMSE:-90.48990631103516
Epoch:51	RMSE:-90.09403991699219
Epoch:52	RMSE:-90.2643051147461
Epoch:53	RMSE:-90.11354064941406
Epoch:54	RMSE:-90.17652893066406
Epoch:55	RMSE:-90.08199310302734
Epoch:56	RMSE:-89.90074157714844
Epoch:57	RMSE:-89.94309997558594
Epoch:58	RMSE:-89.92990112304688
Epoch:59	RMSE:-89.75589752197266
Epoch:60	RMSE:-89.8515853881836
Epoch:61	RMSE:-89.64810943603516
Epoch:62	RMSE:-89.42081451416016
Epoch:63	RMSE:-89.55316925048828
Epoch:64	RMSE:-89.63699340820312
Epoch:65	RMSE:-89.5811767578125
Epoch:66	RMSE:-89.69915008544922
Epoch:67	RMSE:-89.648681640625
Epoch:68	RMSE:-89.64888000488281
Epoch:69	RMSE:-89.5479736328125
Epoch:40	RMSE:-90.64171600341797
Epoch:42	RMSE:-90.5301513671875
Epoch:44	RMSE:-90.40393829345703
Epoch:46	RMSE:-90.21807098388672
Epoch:48	RMSE:-90.1168212890625
Epoch:50	RMSE:-90.07592010498047
Epoch:52	RMSE:-90.03546905517578
Epoch:54	RMSE:-89.95047760009766
Epoch:56	RMSE:-89.87938690185547
Epoch:58	RMSE:-89.77467346191406
Epoch:60	RMSE:-89.600830078125
Epoch:62	RMSE:-89.48796844482422
Epoch:64	RMSE:-89.44847106933594
Epoch:66	RMSE:-89.46389770507812
Epoch:68	RMSE:-89.47846221923828
