Epoch:0	NRT(SE):1.370160460472107	NNL:6.589701961517332
Epoch:1	NRT(SE):1.2647408246994019	NNL:4.626713335037232
Epoch:2	NRT(SE):1.2614465951919556	NNL:4.391329149246217
Epoch:3	NRT(SE):1.2579474449157715	NNL:4.218324502944945
Epoch:4	NRT(SE):1.2539994716644287	NNL:4.0921654205322255
Epoch:5	NRT(SE):1.249391794204712	NNL:3.9957864112854
Epoch:6	NRT(SE):1.2438520193099976	NNL:3.9178626976013198
Epoch:7	NRT(SE):1.2370449304580688	NNL:3.852722955703734
Epoch:8	NRT(SE):1.2285552024841309	NNL:3.7966434097290063
Epoch:9	NRT(SE):1.2178716659545898	NNL:3.7470623855590843
Epoch:10	NRT(SE):1.2043673992156982	NNL:3.7023506679534917
Epoch:11	NRT(SE):1.1872910261154175	NNL:3.6613133468627934
Epoch:12	NRT(SE):1.1657735109329224	NNL:3.6231741828918453
Epoch:13	NRT(SE):1.1388652324676514	NNL:3.5873252983093225
Epoch:14	NRT(SE):1.1056373119354248	NNL:3.5533669185638437
Epoch:15	NRT(SE):1.0653598308563232	NNL:3.5211374874114996
Epoch:16	NRT(SE):1.017767310142517	NNL:3.490426486968996
Epoch:17	NRT(SE):0.9633522033691406	NNL:3.460756118774414
Epoch:18	NRT(SE):0.9035648703575134	NNL:3.432022987365724
Epoch:19	NRT(SE):0.8407411575317383	NNL:3.404860706329347
Epoch:20	NRT(SE):0.777667224407196	NNL:3.3786695938110363
Epoch:21	NRT(SE):0.7169141173362732	NNL:3.3533944301605225
Epoch:22	NRT(SE):0.6602675318717957	NNL:3.3289140815734877
Epoch:23	NRT(SE):0.6085423231124878	NNL:3.3051639366149885
Epoch:24	NRT(SE):0.5617823600769043	NNL:3.282054273605346
Epoch:25	NRT(SE):0.5196154713630676	NNL:3.2595051727294915
Epoch:26	NRT(SE):0.48154979944229126	NNL:3.2374808635711667
Epoch:27	NRT(SE):0.44712933897972107	NNL:3.2159708175659167
Epoch:28	NRT(SE):0.41597968339920044	NNL:3.195017503738401
Epoch:29	NRT(SE):0.3878014087677002	NNL:3.1745347366333014
Epoch:30	NRT(SE):0.3623487949371338	NNL:3.154473945617676
Epoch:31	NRT(SE):0.3394124209880829	NNL:3.134811847686766
Epoch:32	NRT(SE):0.31880393624305725	NNL:3.1155282859802256
Epoch:33	NRT(SE):0.30034372210502625	NNL:3.0966046104431157
Epoch:34	NRT(SE):0.28385302424430847	NNL:3.0780205974578854
Epoch:35	NRT(SE):0.2691536843776703	NNL:3.0597606792449943
Epoch:36	NRT(SE):0.2560725212097168	NNL:3.0418098506927502
Epoch:37	NRT(SE):0.24444472789764404	NNL:3.0241631565094
Epoch:38	NRT(SE):0.23411396145820618	NNL:3.006810344696045
Epoch:39	NRT(SE):0.22492972016334534	NNL:2.9897395401000972
