Epoch:0	NRT(SE):15.86133861541748	NNL:6.567901777267456
Epoch:1	NRT(SE):6.853371620178223	NNL:4.634171802520752
Epoch:2	NRT(SE):2.2296226024627686	NNL:4.405257724761963
Epoch:3	NRT(SE):1.285595178604126	NNL:4.230545419692994
Epoch:4	NRT(SE):1.2563388347625732	NNL:4.099372758865355
Epoch:5	NRT(SE):1.2498286962509155	NNL:3.9983195533752443
Epoch:6	NRT(SE):1.2433079481124878	NNL:3.917399282455443
Epoch:7	NRT(SE):1.2358951568603516	NNL:3.8504738063812267
Epoch:8	NRT(SE):1.227199673652649	NNL:3.7930437450408925
Epoch:9	NRT(SE):1.2168302536010742	NNL:3.742332675933838
Epoch:10	NRT(SE):1.2043582201004028	NNL:3.696391626358031
Epoch:11	NRT(SE):1.1893178224563599	NNL:3.6542746868133533
Epoch:12	NRT(SE):1.1712150573730469	NNL:3.614981472015382
Epoch:13	NRT(SE):1.1495505571365356	NNL:3.578464769363402
Epoch:14	NRT(SE):1.1238617897033691	NNL:3.5441390151977545
Epoch:15	NRT(SE):1.093774676322937	NNL:3.511631107330321
Epoch:16	NRT(SE):1.059073567390442	NNL:3.4807055377960188
Epoch:17	NRT(SE):1.0197765827178955	NNL:3.4511518745422336
Epoch:18	NRT(SE):0.9762072563171387	NNL:3.422800188064574
Epoch:19	NRT(SE):0.9290295839309692	NNL:3.3955277233123775
