Epoch:0	SE:2.450788736343384
Epoch:1	SE:1.5556700229644775
Epoch:2	SE:1.328494668006897
Epoch:3	SE:1.3196446895599365
Epoch:4	SE:1.3139528036117554
Epoch:5	SE:1.3071047067642212
Epoch:6	SE:1.2946679592132568
Epoch:7	SE:1.289056420326233
Epoch:8	SE:1.2773767709732056
Epoch:9	SE:1.2658157348632812
Epoch:10	SE:1.2576532363891602
Epoch:11	SE:1.250840663909912
Epoch:12	SE:1.2412022352218628
Epoch:13	SE:1.2332245111465454
Epoch:14	SE:1.226237416267395
Epoch:15	SE:1.216363787651062
Epoch:16	SE:1.20944344997406
Epoch:17	SE:1.1991952657699585
Epoch:18	SE:1.1902861595153809
Epoch:19	SE:1.1774110794067383
Epoch:20	SE:1.1687037944793701
Epoch:21	SE:1.1620638370513916
Epoch:22	SE:1.1537775993347168
Epoch:23	SE:1.1442596912384033
Epoch:24	SE:1.138608694076538
Epoch:25	SE:1.1295804977416992
Epoch:26	SE:1.1201422214508057
Epoch:27	SE:1.1118950843811035
Epoch:28	SE:1.1036533117294312
Epoch:29	SE:1.0936256647109985
Epoch:30	SE:1.0804165601730347
Epoch:31	SE:1.0726391077041626
Epoch:32	SE:1.0664081573486328
Epoch:33	SE:1.0573744773864746
Epoch:34	SE:1.050990104675293
Epoch:35	SE:1.040295124053955
Epoch:36	SE:1.031878113746643
Epoch:37	SE:1.02484130859375
Epoch:38	SE:1.0173938274383545
Epoch:39	SE:1.0080289840698242
Epoch:40	SE:0.9962528944015503
Epoch:41	SE:0.9842556118965149
Epoch:42	SE:0.9710797667503357
Epoch:43	SE:0.9512812495231628
Epoch:44	SE:0.9206151962280273
Epoch:45	SE:0.8819367289543152
Epoch:46	SE:0.8460958003997803
