Epoch:0	SE:2.1693460941314697
Epoch:1	SE:1.5383888483047485
Epoch:2	SE:1.3766942024230957
Epoch:3	SE:1.3679701089859009
Epoch:4	SE:1.357379674911499
Epoch:5	SE:1.3491615056991577
Epoch:6	SE:1.336391568183899
Epoch:7	SE:1.3303059339523315
Epoch:8	SE:1.3176274299621582
Epoch:9	SE:1.305997610092163
Epoch:10	SE:1.2905124425888062
Epoch:11	SE:1.2849225997924805
Epoch:12	SE:1.2745612859725952
Epoch:13	SE:1.2658801078796387
Epoch:14	SE:1.2543359994888306
Epoch:15	SE:1.244917392730713
Epoch:16	SE:1.2358524799346924
Epoch:17	SE:1.227238655090332
Epoch:18	SE:1.210893154144287
Epoch:19	SE:1.1979732513427734
Epoch:20	SE:1.1886903047561646
Epoch:21	SE:1.1799471378326416
Epoch:22	SE:1.1725770235061646
Epoch:23	SE:1.165076494216919
Epoch:24	SE:1.158935308456421
Epoch:25	SE:1.1519973278045654
Epoch:26	SE:1.1421946287155151
Epoch:27	SE:1.134253740310669
Epoch:28	SE:1.1245959997177124
Epoch:29	SE:1.115477442741394
Epoch:30	SE:1.1073483228683472
Epoch:31	SE:1.1006866693496704
Epoch:32	SE:1.0917425155639648
Epoch:33	SE:1.0828220844268799
Epoch:34	SE:1.0731854438781738
Epoch:35	SE:1.0636235475540161
Epoch:36	SE:1.0578104257583618
Epoch:37	SE:1.0463135242462158
Epoch:38	SE:1.0346962213516235
Epoch:39	SE:1.0192543268203735
Epoch:40	SE:1.0139561891555786
Epoch:41	SE:1.000006079673767
Epoch:42	SE:0.9936981797218323
Epoch:43	SE:0.9814745187759399
Epoch:44	SE:0.9726201891899109
Epoch:45	SE:0.9595531225204468
Epoch:46	SE:0.9421513676643372
Epoch:47	SE:0.9329081773757935
Epoch:48	SE:0.9151086807250977
Epoch:49	SE:0.8957862854003906
Epoch:50	SE:0.872837245464325
Epoch:51	SE:0.8444235324859619
Epoch:52	SE:0.8018848896026611
Epoch:53	SE:0.7517022490501404
Epoch:54	SE:0.7055752873420715
Epoch:55	SE:0.6662070751190186
Epoch:56	SE:0.6338891983032227
Epoch:57	SE:0.6042345762252808
Epoch:58	SE:0.5797584056854248
Epoch:59	SE:0.5577464699745178
Epoch:60	SE:0.5373834371566772
Epoch:61	SE:0.5203048586845398
Epoch:62	SE:0.5025126934051514
Epoch:63	SE:0.4859190285205841
Epoch:64	SE:0.4736086130142212
Epoch:65	SE:0.45904484391212463
Epoch:66	SE:0.44874656200408936
Epoch:67	SE:0.43621712923049927
Epoch:68	SE:0.4226323068141937
Epoch:69	SE:0.4101261496543884
Epoch:70	SE:0.4016541540622711
Epoch:71	SE:0.39020049571990967
Epoch:72	SE:0.3777954578399658
Epoch:73	SE:0.3707156181335449
Epoch:74	SE:0.35955455899238586
Epoch:75	SE:0.350289523601532
Epoch:76	SE:0.3404421806335449
Epoch:77	SE:0.32830747961997986
