Epoch:0	SE:120.3508529663086
Epoch:1	SE:101.67025756835938
Epoch:2	SE:98.37820434570312
Epoch:3	SE:97.86724853515625
Epoch:4	SE:97.24852752685547
Epoch:5	SE:96.75243377685547
Epoch:6	SE:96.13558197021484
Epoch:7	SE:95.55256652832031
Epoch:8	SE:94.92066192626953
Epoch:9	SE:93.9427261352539
Epoch:10	SE:93.13147735595703
Epoch:11	SE:92.5306167602539
Epoch:12	SE:91.88174438476562
Epoch:13	SE:91.10502624511719
Epoch:14	SE:90.47623443603516
Epoch:15	SE:89.73422241210938
Epoch:16	SE:88.78496551513672
Epoch:17	SE:87.80622100830078
Epoch:18	SE:87.0428466796875
Epoch:19	SE:85.88209533691406
Epoch:20	SE:85.15312957763672
Epoch:21	SE:84.55656433105469
Epoch:22	SE:83.95756530761719
Epoch:23	SE:83.58793640136719
Epoch:24	SE:82.97053527832031
Epoch:25	SE:82.4733657836914
Epoch:26	SE:81.82017517089844
Epoch:27	SE:81.10950469970703
Epoch:28	SE:80.3287353515625
Epoch:29	SE:79.56438446044922
Epoch:30	SE:78.65518188476562
Epoch:31	SE:77.93128204345703
Epoch:32	SE:77.09262084960938
Epoch:33	SE:76.08507537841797
Epoch:34	SE:74.6887435913086
Epoch:35	SE:73.26508331298828
Epoch:36	SE:71.04657745361328
Epoch:37	SE:68.64804077148438
Epoch:38	SE:66.19526672363281
Epoch:39	SE:63.93297576904297
Epoch:40	SE:61.84394073486328
Epoch:41	SE:60.44987106323242
Epoch:42	SE:59.204429626464844
Epoch:43	SE:57.99069595336914
Epoch:44	SE:56.92959213256836
Epoch:45	SE:56.09646987915039
Epoch:46	SE:55.22719192504883
Epoch:47	SE:54.59003448486328
Epoch:48	SE:53.68867874145508
Epoch:49	SE:53.07175064086914
Epoch:50	SE:52.451698303222656
Epoch:51	SE:51.80333709716797
Epoch:52	SE:51.18326187133789
Epoch:53	SE:50.643943786621094
Epoch:54	SE:50.10346984863281
Epoch:55	SE:49.63277816772461
Epoch:56	SE:49.07854080200195
Epoch:57	SE:48.59120178222656
Epoch:58	SE:48.12759780883789
Epoch:59	SE:47.71495056152344
Epoch:60	SE:47.240867614746094
Epoch:61	SE:46.8959846496582
Epoch:62	SE:46.48298645019531
Epoch:63	SE:46.13398361206055
Epoch:64	SE:45.730228424072266
Epoch:65	SE:45.481285095214844
Epoch:66	SE:45.14421081542969
Epoch:67	SE:44.76374816894531
Epoch:68	SE:44.47187805175781
Epoch:69	SE:44.16988754272461
Epoch:70	SE:43.8438606262207
Epoch:71	SE:43.4861946105957
Epoch:72	SE:43.32907485961914
Epoch:73	SE:43.12360382080078
Epoch:74	SE:42.75124740600586
Epoch:75	SE:42.58476257324219
Epoch:76	SE:42.412513732910156
Epoch:77	SE:42.128543853759766
Epoch:78	SE:41.88669967651367
Epoch:79	SE:41.7049674987793
Epoch:80	SE:41.40983963012695
Epoch:81	SE:41.20329284667969
Epoch:82	SE:41.02740478515625
Epoch:83	SE:40.870941162109375
Epoch:84	SE:40.55061721801758
Epoch:85	SE:40.38893127441406
Epoch:86	SE:40.236289978027344
Epoch:87	SE:39.97075271606445
Epoch:88	SE:39.7923583984375
Epoch:89	SE:39.57016372680664
Epoch:90	SE:39.263519287109375
Epoch:91	SE:39.03839874267578
Epoch:92	SE:38.68571472167969
Epoch:93	SE:38.3085823059082
Epoch:94	SE:38.03662872314453
Epoch:95	SE:37.76165008544922
Epoch:96	SE:37.42097091674805
Epoch:97	SE:37.00464630126953
Epoch:98	SE:36.57356262207031
Epoch:99	SE:36.16194534301758
Epoch:100	SE:35.67802047729492
Epoch:101	SE:35.322879791259766
Epoch:102	SE:34.90033721923828
Epoch:103	SE:34.50185012817383
Epoch:104	SE:34.14183807373047
Epoch:105	SE:33.76541519165039
Epoch:106	SE:33.40812301635742
Epoch:107	SE:33.14572525024414
Epoch:108	SE:32.69734191894531
Epoch:109	SE:32.400325775146484
Epoch:110	SE:32.21866989135742
Epoch:111	SE:31.958087921142578
Epoch:112	SE:31.755565643310547
Epoch:113	SE:31.49190902709961
Epoch:114	SE:31.223155975341797
Epoch:115	SE:31.01546287536621
Epoch:116	SE:30.78920555114746
Epoch:117	SE:30.608078002929688
Epoch:118	SE:30.373878479003906
Epoch:119	SE:30.20968246459961
