Epoch:0	SE:1.7050131559371948
Epoch:1	SE:1.3465344905853271
Epoch:2	SE:1.2609856128692627
Epoch:3	SE:1.0869303941726685
Epoch:4	SE:0.7921342849731445
Epoch:5	SE:0.4642205536365509
Epoch:6	SE:0.2657254636287689
Epoch:7	SE:0.16278524696826935
Epoch:8	SE:0.12341807782649994
Epoch:9	SE:0.11197429150342941
Epoch:10	SE:0.13104812800884247
Epoch:11	SE:0.07978472858667374
Epoch:12	SE:0.05659114196896553
Epoch:13	SE:0.04781064763665199
Epoch:14	SE:0.04579171538352966
Epoch:15	SE:0.042631298303604126
Epoch:16	SE:0.04119381681084633
Epoch:17	SE:0.038403548300266266
Epoch:18	SE:0.03793711215257645
Epoch:19	SE:0.03599615395069122
Epoch:20	SE:0.03683936223387718
Epoch:21	SE:0.03013935126364231
Epoch:22	SE:0.027246959507465363
Epoch:23	SE:0.026602378115057945
Epoch:24	SE:0.026498086750507355
Epoch:25	SE:0.024953598156571388
Epoch:26	SE:0.024187490344047546
Epoch:27	SE:0.023667234927415848
Epoch:28	SE:0.023237815126776695
Epoch:29	SE:0.022799715399742126
Epoch:30	SE:0.024076201021671295
Epoch:31	SE:0.022292640060186386
Epoch:32	SE:0.021889127790927887
Epoch:33	SE:0.02227047272026539
Epoch:34	SE:0.021303659304976463
Epoch:35	SE:0.021188409999012947
Epoch:36	SE:0.02086365595459938
Epoch:37	SE:0.01966398023068905
Epoch:38	SE:0.020201275125145912
Epoch:39	SE:0.02040758728981018
Epoch:40	SE:0.019748300313949585
Epoch:41	SE:0.0173183623701334
Epoch:42	SE:0.016790537163615227
Epoch:43	SE:0.016828179359436035
Epoch:44	SE:0.016265694051980972
Epoch:45	SE:0.015556554310023785
Epoch:46	SE:0.015179981477558613
Epoch:47	SE:0.014972320757806301
Epoch:48	SE:0.015092886984348297
Epoch:49	SE:0.014977899380028248
Epoch:50	SE:0.01459239237010479
Epoch:51	SE:0.014956374652683735
Epoch:52	SE:0.014470623806118965
Epoch:53	SE:0.014760404825210571
Epoch:54	SE:0.014537809416651726
Epoch:55	SE:0.014195294119417667
Epoch:56	SE:0.014254001900553703
Epoch:57	SE:0.013981492258608341
Epoch:58	SE:0.014133736491203308
Epoch:59	SE:0.013519247062504292
Epoch:60	SE:0.013683772645890713
Epoch:61	SE:0.013696865178644657
Epoch:62	SE:0.01304992288351059
Epoch:63	SE:0.013202267698943615
Epoch:64	SE:0.012613460421562195
Epoch:65	SE:0.012691236101090908
Epoch:66	SE:0.012415753677487373
Epoch:67	SE:0.01278624590486288
Epoch:68	SE:0.012703606858849525
Epoch:69	SE:0.012750056572258472
Epoch:70	SE:0.012664803303778172
Epoch:71	SE:0.01241302490234375
Epoch:72	SE:0.012430153787136078
Epoch:73	SE:0.012291944585740566
Epoch:74	SE:0.0122908316552639
Epoch:75	SE:0.012346840463578701
Epoch:76	SE:0.012262198142707348
Epoch:77	SE:0.011989256367087364
Epoch:78	SE:0.012045946903526783
Epoch:79	SE:0.012232007458806038
Epoch:80	SE:0.011560050770640373
Epoch:81	SE:0.011640521697700024
Epoch:82	SE:0.011721029877662659
Epoch:83	SE:0.011325656436383724
Epoch:84	SE:0.011018749326467514
Epoch:85	SE:0.011313062161207199
Epoch:86	SE:0.011055265553295612
Epoch:87	SE:0.010908336378633976
Epoch:88	SE:0.010772334411740303
Epoch:89	SE:0.011239427141845226
Epoch:90	SE:0.010910123586654663
Epoch:91	SE:0.010545039549469948
Epoch:92	SE:0.011073616333305836
Epoch:93	SE:0.010554851032793522
Epoch:94	SE:0.01076086051762104
Epoch:95	SE:0.010554876178503036
Epoch:96	SE:0.010420319624245167
Epoch:97	SE:0.010736464522778988
Epoch:98	SE:0.010246921330690384
Epoch:99	SE:0.01032162643969059
Epoch:100	SE:0.010461433790624142
Epoch:101	SE:0.010301287285983562
Epoch:102	SE:0.010087085887789726
Epoch:103	SE:0.010432761162519455
Epoch:104	SE:0.010685961693525314
Epoch:105	SE:0.010285301133990288
Epoch:106	SE:0.010031091049313545
Epoch:107	SE:0.00996438693255186
Epoch:108	SE:0.010024606250226498
Epoch:109	SE:0.009950822219252586
Epoch:110	SE:0.01021714136004448
Epoch:111	SE:0.010060620494186878
Epoch:112	SE:0.010208277963101864
Epoch:113	SE:0.010235389694571495
Epoch:114	SE:0.009850108996033669
Epoch:115	SE:0.009847963228821754
Epoch:116	SE:0.009984847158193588
Epoch:117	SE:0.009805380366742611
Epoch:118	SE:0.009983976371586323
Epoch:119	SE:0.009947159327566624
