Epoch:0	SE:130.96539306640625
Epoch:1	SE:116.9225845336914
Epoch:2	SE:104.1163558959961
Epoch:3	SE:102.91477966308594
Epoch:4	SE:102.50341033935547
Epoch:5	SE:102.12600708007812
Epoch:6	SE:101.69295501708984
Epoch:7	SE:101.30178833007812
Epoch:8	SE:100.88054656982422
Epoch:9	SE:100.37206268310547
Epoch:10	SE:100.02564239501953
Epoch:11	SE:99.6260757446289
Epoch:12	SE:99.28812408447266
Epoch:13	SE:98.85000610351562
Epoch:14	SE:98.59149932861328
Epoch:15	SE:98.25523376464844
Epoch:16	SE:97.97640991210938
Epoch:17	SE:97.6216812133789
Epoch:18	SE:97.237060546875
Epoch:19	SE:96.85460662841797
Epoch:20	SE:96.37327575683594
Epoch:21	SE:96.10336303710938
Epoch:22	SE:95.920654296875
Epoch:23	SE:95.7721939086914
Epoch:24	SE:95.55033111572266
Epoch:25	SE:95.23662567138672
Epoch:26	SE:95.09193420410156
Epoch:27	SE:94.78260803222656
Epoch:28	SE:94.66765594482422
Epoch:29	SE:94.40250396728516
Epoch:30	SE:94.13374328613281
Epoch:31	SE:93.8630599975586
Epoch:32	SE:93.6903076171875
Epoch:33	SE:93.51734161376953
Epoch:34	SE:93.21150970458984
Epoch:35	SE:93.12641906738281
Epoch:36	SE:92.79637908935547
Epoch:37	SE:92.60112762451172
Epoch:38	SE:92.35543823242188
Epoch:39	SE:92.16575622558594
Epoch:40	SE:91.85034942626953
Epoch:41	SE:91.55513000488281
Epoch:42	SE:91.33386993408203
Epoch:43	SE:91.11583709716797
Epoch:44	SE:90.90711975097656
Epoch:45	SE:90.63068389892578
Epoch:46	SE:90.26476287841797
Epoch:47	SE:89.92152404785156
Epoch:48	SE:89.56394958496094
Epoch:49	SE:89.28498077392578
Epoch:50	SE:88.90589904785156
Epoch:51	SE:88.48091125488281
Epoch:52	SE:88.08001708984375
Epoch:53	SE:87.6785659790039
Epoch:54	SE:87.1092758178711
Epoch:55	SE:86.69581604003906
Epoch:56	SE:86.07177734375
Epoch:57	SE:85.51571655273438
Epoch:58	SE:84.43216705322266
