Epoch:0	SE:2.917689800262451
Epoch:1	SE:2.4861485958099365
Epoch:2	SE:1.4891712665557861
Epoch:3	SE:1.2807937860488892
Epoch:4	SE:1.2775968313217163
Epoch:5	SE:1.2710940837860107
Epoch:6	SE:1.268163800239563
Epoch:7	SE:1.2641013860702515
Epoch:8	SE:1.2610708475112915
Epoch:9	SE:1.2548730373382568
Epoch:10	SE:1.2522166967391968
Epoch:11	SE:1.24777352809906
Epoch:12	SE:1.2467602491378784
Epoch:13	SE:1.2448710203170776
Epoch:14	SE:1.2410253286361694
Epoch:15	SE:1.237658143043518
Epoch:16	SE:1.234344244003296
Epoch:17	SE:1.2339223623275757
Epoch:18	SE:1.2286704778671265
Epoch:19	SE:1.2285254001617432
Epoch:20	SE:1.2240833044052124
Epoch:21	SE:1.221850037574768
Epoch:22	SE:1.220383882522583
Epoch:23	SE:1.2181084156036377
Epoch:24	SE:1.2159169912338257
Epoch:25	SE:1.215449571609497
Epoch:26	SE:1.2138653993606567
Epoch:27	SE:1.2111634016036987
Epoch:28	SE:1.2089099884033203
Epoch:29	SE:1.2065625190734863
Epoch:30	SE:1.2045962810516357
Epoch:31	SE:1.2043994665145874
Epoch:32	SE:1.2005122900009155
Epoch:33	SE:1.1972882747650146
Epoch:34	SE:1.1979985237121582
Epoch:35	SE:1.1988619565963745
Epoch:36	SE:1.1928186416625977
Epoch:37	SE:1.192909598350525
Epoch:38	SE:1.1892610788345337
Epoch:39	SE:1.1860570907592773
Epoch:40	SE:1.1853631734848022
Epoch:41	SE:1.181509256362915
Epoch:42	SE:1.178614854812622
Epoch:43	SE:1.176148772239685
Epoch:44	SE:1.17384934425354
Epoch:45	SE:1.1710096597671509
Epoch:46	SE:1.1673343181610107
Epoch:47	SE:1.1614657640457153
Epoch:48	SE:1.1561421155929565
Epoch:49	SE:1.1512526273727417
Epoch:50	SE:1.1451507806777954
Epoch:51	SE:1.1415637731552124
Epoch:52	SE:1.1378360986709595
Epoch:53	SE:1.1364175081253052
Epoch:54	SE:1.1327341794967651
Epoch:55	SE:1.1304123401641846
Epoch:56	SE:1.1275521516799927
Epoch:57	SE:1.125136375427246
Epoch:58	SE:1.1218913793563843
Epoch:59	SE:1.1195465326309204
Epoch:60	SE:1.1178884506225586
Epoch:61	SE:1.1135700941085815
Epoch:62	SE:1.1106500625610352
Epoch:63	SE:1.110420823097229
Epoch:64	SE:1.1046921014785767
Epoch:65	SE:1.1049847602844238
Epoch:66	SE:1.0993369817733765
Epoch:67	SE:1.0996004343032837
Epoch:68	SE:1.0950554609298706
Epoch:69	SE:1.092755675315857
