Epoch:0	ItemNet(SE):1.2516916990280151	NNL:6.291216535568232
Epoch:1	ItemNet(SE):1.2471154928207397	NNL:4.88297236251831
Epoch:2	ItemNet(SE):1.2453454732894897	NNL:4.791387372970581
Epoch:3	ItemNet(SE):1.2529157400131226	NNL:4.748344766616818
Epoch:4	ItemNet(SE):1.2558287382125854	NNL:4.671973176956176
Epoch:5	ItemNet(SE):1.2544187307357788	NNL:4.552879032135009
Epoch:6	ItemNet(SE):1.2529805898666382	NNL:4.430752937316894
Epoch:7	ItemNet(SE):1.2538089752197266	NNL:4.334433601379397
Epoch:8	ItemNet(SE):1.252453327178955	NNL:4.256757839202883
Epoch:9	ItemNet(SE):1.2543885707855225	NNL:4.189973554611205
Epoch:10	ItemNet(SE):1.2525237798690796	NNL:4.132681428909302
Epoch:11	ItemNet(SE):1.2518304586410522	NNL:4.081982191085818
Epoch:12	ItemNet(SE):1.254299521446228	NNL:4.037750366210938
Epoch:13	ItemNet(SE):1.25234055519104	NNL:3.9965597095489462
Epoch:14	ItemNet(SE):1.254454493522644	NNL:3.959607265472413
Epoch:15	ItemNet(SE):1.2522801160812378	NNL:3.922913806915284
Epoch:16	ItemNet(SE):1.2497221231460571	NNL:3.8900362949371328
Epoch:17	ItemNet(SE):1.252995491027832	NNL:3.8581586437225353
Epoch:18	ItemNet(SE):1.255340576171875	NNL:3.830035037994384
Epoch:19	ItemNet(SE):1.2546736001968384	NNL:3.800687332153319
Epoch:20	ItemNet(SE):1.252359390258789	NNL:3.774257680892945
Epoch:21	ItemNet(SE):1.2551559209823608	NNL:3.7494207782745383
Epoch:22	ItemNet(SE):1.2524833679199219	NNL:3.7255955009460444
Epoch:23	ItemNet(SE):1.254062533378601	NNL:3.7029220905303952
Epoch:24	ItemNet(SE):1.2549389600753784	NNL:3.6799844512939437
Epoch:25	ItemNet(SE):1.254103183746338	NNL:3.6579798831939696
Epoch:26	ItemNet(SE):1.251763105392456	NNL:3.6375057544708254
Epoch:27	ItemNet(SE):1.2508028745651245	NNL:3.618575839996337
Epoch:28	ItemNet(SE):1.2525616884231567	NNL:3.5999692592620853
Epoch:29	ItemNet(SE):1.2528398036956787	NNL:3.5814670581817625
Epoch:30	ItemNet(SE):1.2533329725265503	NNL:3.56090807533264
Epoch:31	ItemNet(SE):1.2526791095733643	NNL:3.5414348735809336
Epoch:32	ItemNet(SE):1.2539770603179932	NNL:3.523402454376221
Epoch:33	ItemNet(SE):1.2521873712539673	NNL:3.5035126609802214
Epoch:34	ItemNet(SE):1.2527029514312744	NNL:3.4853686256408687
Epoch:35	ItemNet(SE):1.2546632289886475	NNL:3.473435607910156
Epoch:36	ItemNet(SE):1.2495559453964233	NNL:3.4599865608215303
Epoch:37	ItemNet(SE):1.2536578178405762	NNL:3.450094779968262
Epoch:38	ItemNet(SE):1.2532631158828735	NNL:3.432090162277222
Epoch:39	ItemNet(SE):1.2539972066879272	NNL:3.4152802543640135
Epoch:40	ItemNet(SE):1.2519701719284058	NNL:3.397879392623902
Epoch:41	ItemNet(SE):1.251994013786316	NNL:3.3827061328887913
Epoch:42	ItemNet(SE):1.2526710033416748	NNL:3.368497880935668
Epoch:43	ItemNet(SE):1.251433253288269	NNL:3.3557518672943116
Epoch:44	ItemNet(SE):1.2556257247924805	NNL:3.34765600013733
Epoch:45	ItemNet(SE):1.2519229650497437	NNL:3.3341341762542713
Epoch:46	ItemNet(SE):1.2511180639266968	NNL:3.317719388961792
Epoch:47	ItemNet(SE):1.253579020500183	NNL:3.3013676338195794
Epoch:48	ItemNet(SE):1.2543504238128662	NNL:3.2848495063781726
Epoch:49	ItemNet(SE):1.2536592483520508	NNL:3.268769306182861
Epoch:50	ItemNet(SE):1.2546809911727905	NNL:3.253640771865844
Epoch:51	ItemNet(SE):1.2548245191574097	NNL:3.2404306297302243
Epoch:52	ItemNet(SE):1.2521837949752808	NNL:3.2294693679809585
Epoch:53	ItemNet(SE):1.2529393434524536	NNL:3.2173476161956778
Epoch:54	ItemNet(SE):1.2535134553909302	NNL:3.2064953231811537
Epoch:55	ItemNet(SE):1.2531946897506714	NNL:3.197442972183227
Epoch:56	ItemNet(SE):1.2528362274169922	NNL:3.1935279560089116
Epoch:57	ItemNet(SE):1.2518500089645386	NNL:3.182286125183106
Epoch:58	ItemNet(SE):1.251888394355774	NNL:3.1796905078887923
Epoch:59	ItemNet(SE):1.2550482749938965	NNL:3.160643674850462
