Epoch:0	SE:2.6520791053771973
Epoch:1	SE:1.4139388799667358
Epoch:2	SE:1.2732555866241455
Epoch:3	SE:1.2654212713241577
Epoch:4	SE:1.2544699907302856
Epoch:5	SE:1.2463799715042114
Epoch:6	SE:1.2357615232467651
Epoch:7	SE:1.2230801582336426
Epoch:8	SE:1.2098791599273682
Epoch:9	SE:1.190697431564331
Epoch:10	SE:1.1758581399917603
Epoch:11	SE:1.1641982793807983
Epoch:12	SE:1.150932788848877
Epoch:13	SE:1.1371287107467651
Epoch:14	SE:1.1215331554412842
Epoch:15	SE:1.1066876649856567
Epoch:16	SE:1.090264916419983
Epoch:17	SE:1.0704230070114136
Epoch:18	SE:1.0535260438919067
Epoch:19	SE:1.0320149660110474
Epoch:20	SE:1.0152246952056885
Epoch:21	SE:1.001917839050293
Epoch:22	SE:0.9936704039573669
Epoch:23	SE:0.9848237037658691
Epoch:24	SE:0.9732463955879211
Epoch:25	SE:0.9636921286582947
Epoch:26	SE:0.9531571269035339
Epoch:27	SE:0.9417492747306824
Epoch:28	SE:0.928740382194519
Epoch:29	SE:0.9177014827728271
Epoch:30	SE:0.9055622816085815
Epoch:31	SE:0.8949528336524963
Epoch:32	SE:0.8844736218452454
Epoch:33	SE:0.8718311786651611
Epoch:34	SE:0.8552442193031311
Epoch:35	SE:0.8387876152992249
Epoch:36	SE:0.8178105354309082
Epoch:37	SE:0.7903842926025391
Epoch:38	SE:0.7456523180007935
Epoch:39	SE:0.7072192430496216
Epoch:40	SE:0.6692451238632202
Epoch:41	SE:0.6380588412284851
Epoch:42	SE:0.6115818619728088
Epoch:43	SE:0.5858933925628662
Epoch:44	SE:0.5617484450340271
Epoch:45	SE:0.5405115485191345
Epoch:46	SE:0.5229986906051636
Epoch:47	SE:0.5074706077575684
Epoch:48	SE:0.490088552236557
