Epoch:0	SE:2.439268112182617
Epoch:1	SE:1.4336351156234741
Epoch:2	SE:1.235412359237671
Epoch:3	SE:1.2281986474990845
Epoch:4	SE:1.2223761081695557
Epoch:5	SE:1.2155516147613525
Epoch:6	SE:1.2070412635803223
Epoch:7	SE:1.1964069604873657
Epoch:8	SE:1.1829057931900024
Epoch:9	SE:1.1623265743255615
Epoch:10	SE:1.141761302947998
Epoch:11	SE:1.128401279449463
Epoch:12	SE:1.1136083602905273
Epoch:13	SE:1.0974513292312622
Epoch:14	SE:1.0813623666763306
Epoch:15	SE:1.0689668655395508
Epoch:16	SE:1.057891845703125
Epoch:17	SE:1.0491313934326172
Epoch:18	SE:1.040125846862793
Epoch:19	SE:1.0304551124572754
Epoch:20	SE:1.0241003036499023
Epoch:21	SE:1.0206273794174194
Epoch:22	SE:1.0166244506835938
Epoch:23	SE:1.0123820304870605
Epoch:24	SE:1.0092244148254395
Epoch:25	SE:1.0047024488449097
Epoch:26	SE:1.0013706684112549
Epoch:27	SE:0.9974484443664551
Epoch:28	SE:0.9935142397880554
Epoch:29	SE:0.9878055453300476
Epoch:30	SE:0.985109806060791
Epoch:31	SE:0.9822575449943542
Epoch:32	SE:0.9781498312950134
Epoch:33	SE:0.9749201536178589
Epoch:34	SE:0.9719793796539307
Epoch:35	SE:0.9677217602729797
Epoch:36	SE:0.9635202884674072
Epoch:37	SE:0.9594078063964844
Epoch:38	SE:0.9538968801498413
Epoch:39	SE:0.9476414918899536
Epoch:40	SE:0.940773606300354
Epoch:41	SE:0.9325752258300781
Epoch:42	SE:0.9215959906578064
Epoch:43	SE:0.908609926700592
Epoch:44	SE:0.893499493598938
Epoch:45	SE:0.8789995908737183
Epoch:46	SE:0.8645080924034119
Epoch:47	SE:0.8540416359901428
Epoch:48	SE:0.8444335460662842
Epoch:49	SE:0.8355140089988708
Epoch:50	SE:0.8262715935707092
Epoch:51	SE:0.8184199929237366
Epoch:52	SE:0.8106981515884399
Epoch:53	SE:0.8014807105064392
Epoch:54	SE:0.794267475605011
Epoch:55	SE:0.7861427068710327
Epoch:56	SE:0.7784924507141113
Epoch:57	SE:0.7707889080047607
Epoch:58	SE:0.7636648416519165
Epoch:59	SE:0.7565394639968872
Epoch:60	SE:0.7492765784263611
Epoch:61	SE:0.7415668368339539
Epoch:62	SE:0.7354552149772644
Epoch:63	SE:0.7284913063049316
Epoch:64	SE:0.7211025357246399
Epoch:65	SE:0.7135092616081238
Epoch:66	SE:0.7072336673736572
Epoch:67	SE:0.7005733847618103
Epoch:68	SE:0.6941906213760376
Epoch:69	SE:0.6867252588272095
