Epoch:0	ItemNet(SE):1.1569347381591797	NNL:6.06627189842976
Epoch:1	ItemNet(SE):1.1530951261520386	NNL:4.864339429372528
Epoch:2	ItemNet(SE):1.1504780054092407	NNL:4.764221698889572
Epoch:3	ItemNet(SE):1.149301528930664	NNL:4.726622724917581
Epoch:4	ItemNet(SE):1.1479636430740356	NNL:4.661308067911757
Epoch:5	ItemNet(SE):1.146750807762146	NNL:4.569214074941004
Epoch:6	ItemNet(SE):1.1447975635528564	NNL:4.450219118631373
Epoch:7	ItemNet(SE):1.1436008214950562	NNL:4.3541616085075185
Epoch:8	ItemNet(SE):1.1417144536972046	NNL:4.285289785885604
Epoch:9	ItemNet(SE):1.1404125690460205	NNL:4.232429453363814
Epoch:10	ItemNet(SE):1.1398181915283203	NNL:4.186784060642726
Epoch:11	ItemNet(SE):1.1398950815200806	NNL:4.145388018601157
Epoch:12	ItemNet(SE):1.1390182971954346	NNL:4.1078490811566715
Epoch:13	ItemNet(SE):1.138413429260254	NNL:4.074068912927155
Epoch:14	ItemNet(SE):1.1380382776260376	NNL:4.0434334494117445
Epoch:15	ItemNet(SE):1.137712001800537	NNL:4.015361167771565
Epoch:16	ItemNet(SE):1.137430191040039	NNL:3.9904951439735816
Epoch:17	ItemNet(SE):1.136597752571106	NNL:3.9673430396040286
Epoch:18	ItemNet(SE):1.136033058166504	NNL:3.9453275157376346
Epoch:19	ItemNet(SE):1.1365222930908203	NNL:3.925248942554819
Epoch:20	ItemNet(SE):1.1352319717407227	NNL:3.9068693031164763
Epoch:21	ItemNet(SE):1.135023593902588	NNL:3.8892195608437814
Epoch:22	ItemNet(SE):1.1352540254592896	NNL:3.872194151339438
Epoch:23	ItemNet(SE):1.1356301307678223	NNL:3.8569111694820024
Epoch:24	ItemNet(SE):1.1349104642868042	NNL:3.841898984436318
Epoch:25	ItemNet(SE):1.134145975112915	NNL:3.8285235640077704
Epoch:26	ItemNet(SE):1.1349623203277588	NNL:3.816166505076117
Epoch:27	ItemNet(SE):1.1341315507888794	NNL:3.8046903700239176
Epoch:28	ItemNet(SE):1.1347488164901733	NNL:3.793043452311408
Epoch:29	ItemNet(SE):1.1344748735427856	NNL:3.782187145608822
