Epoch:0	ItemNet(SE):1.2023789882659912	NNL:6.243253446578976
Epoch:1	ItemNet(SE):1.1928261518478394	NNL:4.874260156631468
Epoch:2	ItemNet(SE):1.1889828443527222	NNL:4.777362316131591
Epoch:3	ItemNet(SE):1.1874927282333374	NNL:4.73773069000244
Epoch:4	ItemNet(SE):1.1871057748794556	NNL:4.665149915695193
Epoch:5	ItemNet(SE):1.186370849609375	NNL:4.557346323013309
Epoch:6	ItemNet(SE):1.1911962032318115	NNL:4.441775125503541
Epoch:7	ItemNet(SE):1.1855262517929077	NNL:4.3448966655731205
Epoch:8	ItemNet(SE):1.1880972385406494	NNL:4.2737279319763175
Epoch:9	ItemNet(SE):1.18937087059021	NNL:4.216422443389891
Epoch:10	ItemNet(SE):1.1844496726989746	NNL:4.166024435043335
Epoch:11	ItemNet(SE):1.1873058080673218	NNL:4.120595350265502
Epoch:12	ItemNet(SE):1.190497636795044	NNL:4.077051706314085
Epoch:13	ItemNet(SE):1.1886615753173828	NNL:4.037417480468749
Epoch:14	ItemNet(SE):1.1858940124511719	NNL:3.999671905517578
Epoch:15	ItemNet(SE):1.1866401433944702	NNL:3.962756629943848
Epoch:16	ItemNet(SE):1.1876542568206787	NNL:3.928490543365478
Epoch:17	ItemNet(SE):1.187501311302185	NNL:3.89537717628479
Epoch:18	ItemNet(SE):1.1889517307281494	NNL:3.8665602416992186
Epoch:19	ItemNet(SE):1.1889560222625732	NNL:3.852657999038697
Epoch:20	ItemNet(SE):1.1892927885055542	NNL:3.821139036178586
Epoch:21	ItemNet(SE):1.1883950233459473	NNL:3.7969923305511464
Epoch:22	ItemNet(SE):1.185367465019226	NNL:3.7745047969818124
Epoch:23	ItemNet(SE):1.1882774829864502	NNL:3.7536273803710913
Epoch:24	ItemNet(SE):1.187593936920166	NNL:3.7333280963897684
Epoch:25	ItemNet(SE):1.1854490041732788	NNL:3.7145689277648914
Epoch:26	ItemNet(SE):1.190756916999817	NNL:3.696523685455322
Epoch:27	ItemNet(SE):1.1890099048614502	NNL:3.679040023803709
Epoch:28	ItemNet(SE):1.1878918409347534	NNL:3.6614104232788085
Epoch:29	ItemNet(SE):1.1855863332748413	NNL:3.6445110950469988
Epoch:30	ItemNet(SE):1.1860612630844116	NNL:3.627227046966553
Epoch:31	ItemNet(SE):1.1872273683547974	NNL:3.6096393394470203
Epoch:32	ItemNet(SE):1.189046859741211	NNL:3.593903511047364
Epoch:33	ItemNet(SE):1.1897679567337036	NNL:3.579806026458742
Epoch:34	ItemNet(SE):1.1863327026367188	NNL:3.5635453853607166
Epoch:35	ItemNet(SE):1.1863325834274292	NNL:3.547023059844971
Epoch:36	ItemNet(SE):1.1862748861312866	NNL:3.5328260116577157
Epoch:37	ItemNet(SE):1.186279058456421	NNL:3.5181190109252953
Epoch:38	ItemNet(SE):1.1894673109054565	NNL:3.504840400695804
Epoch:39	ItemNet(SE):1.1853748559951782	NNL:3.4941867370605477
Epoch:40	ItemNet(SE):1.1881521940231323	NNL:3.4788622570037844
Epoch:41	ItemNet(SE):1.1877597570419312	NNL:3.4650925025939934
Epoch:42	ItemNet(SE):1.187954068183899	NNL:3.451609107971192
Epoch:43	ItemNet(SE):1.1860471963882446	NNL:3.4408213768005353
Epoch:44	ItemNet(SE):1.1862897872924805	NNL:3.4288974075317404
Epoch:45	ItemNet(SE):1.1888868808746338	NNL:3.417430822372436
Epoch:46	ItemNet(SE):1.1853349208831787	NNL:3.404420804977415
Epoch:47	ItemNet(SE):1.1853846311569214	NNL:3.3894461765289305
Epoch:48	ItemNet(SE):1.1871259212493896	NNL:3.3768919448852537
Epoch:49	ItemNet(SE):1.1881967782974243	NNL:3.3631851005554196
Epoch:50	ItemNet(SE):1.1874102354049683	NNL:3.348905508041382
Epoch:51	ItemNet(SE):1.1891111135482788	NNL:3.3378875102996823
Epoch:52	ItemNet(SE):1.1881680488586426	NNL:3.3260401649475106
Epoch:53	ItemNet(SE):1.1892307996749878	NNL:3.3139515457153315
Epoch:54	ItemNet(SE):1.1874843835830688	NNL:3.303364500045776
Epoch:55	ItemNet(SE):1.18777596950531	NNL:3.294837852478026
Epoch:56	ItemNet(SE):1.1850292682647705	NNL:3.285607578277588
Epoch:57	ItemNet(SE):1.1871975660324097	NNL:3.273233957290649
Epoch:58	ItemNet(SE):1.1842812299728394	NNL:3.2598125000000016
Epoch:59	ItemNet(SE):1.188218355178833	NNL:3.248668413162232
