Epoch:0	RMSE:1.0461584329605103	NNL:5.181397262573243
Epoch:1	RMSE:1.0436660051345825	NNL:5.476440017700194
Epoch:2	RMSE:1.0474233627319336	NNL:5.608294311523436
Epoch:3	RMSE:1.0494389533996582	NNL:5.7024255676269515
Epoch:4	RMSE:1.0519611835479736	NNL:5.770746887207031
Epoch:5	RMSE:1.0503871440887451	NNL:6.017299102783204
Epoch:6	RMSE:1.0447461605072021	NNL:6.119403106689452
Epoch:7	RMSE:1.0494835376739502	NNL:6.386755187988281
Epoch:8	RMSE:1.0453215837478638	NNL:6.468515014648437
Epoch:9	RMSE:1.0479025840759277	NNL:6.606167785644532
Epoch:10	RMSE:1.0477429628372192	NNL:6.7104443359375
Epoch:11	RMSE:1.0483425855636597	NNL:6.816171386718752
Epoch:12	RMSE:1.0514055490493774	NNL:6.922538299560546
Epoch:13	RMSE:1.0468828678131104	NNL:7.026433471679688
Epoch:14	RMSE:1.050256609916687	NNL:7.114200836181641
Epoch:15	RMSE:1.0498058795928955	NNL:7.154169189453126
Epoch:16	RMSE:1.0519355535507202	NNL:7.185763275146483
Epoch:17	RMSE:1.0470526218414307	NNL:7.207521850585938
Epoch:18	RMSE:1.0537694692611694	NNL:7.206201110839844
Epoch:19	RMSE:1.048975944519043	NNL:7.115688598632812
Epoch:20	RMSE:1.0471086502075195	NNL:7.177922241210938
Epoch:21	RMSE:1.0485355854034424	NNL:7.209111938476563
Epoch:22	RMSE:1.0453674793243408	NNL:7.191745147705079
Epoch:23	RMSE:1.0442850589752197	NNL:7.2261744995117185
Epoch:24	RMSE:1.048363447189331	NNL:7.278335083007813
Epoch:25	RMSE:1.047359824180603	NNL:7.302429016113281
Epoch:26	RMSE:1.0490608215332031	NNL:7.332399841308595
Epoch:27	RMSE:1.0502972602844238	NNL:7.33313705444336
Epoch:28	RMSE:1.0473195314407349	NNL:7.432780670166016
Epoch:29	RMSE:1.0473029613494873	NNL:7.410171447753908
Epoch:30	RMSE:1.047247290611267	NNL:7.546199920654298
Epoch:31	RMSE:1.0457652807235718	NNL:7.510752502441408
Epoch:32	RMSE:1.050318717956543	NNL:7.505607025146484
Epoch:33	RMSE:1.0490344762802124	NNL:7.5617220458984375
Epoch:34	RMSE:1.0527859926223755	NNL:7.60155160522461
Epoch:35	RMSE:1.046960711479187	NNL:7.640644897460938
Epoch:36	RMSE:1.0438560247421265	NNL:7.669883819580077
Epoch:37	RMSE:1.0511070489883423	NNL:7.6129899597167965
Epoch:38	RMSE:1.0489591360092163	NNL:7.690493560791016
Epoch:39	RMSE:1.046589970588684	NNL:7.7039870910644535
Epoch:40	RMSE:1.0501254796981812	NNL:7.732278381347657
Epoch:41	RMSE:1.0419491529464722	NNL:7.77942086791992
Epoch:42	RMSE:1.0489851236343384	NNL:7.863353302001952
Epoch:43	RMSE:1.052702784538269	NNL:7.887342834472655
Epoch:44	RMSE:1.048200011253357	NNL:7.882348785400393
Epoch:45	RMSE:1.045529842376709	NNL:7.97172265625
Epoch:46	RMSE:1.0493757724761963	NNL:7.939292724609376
Epoch:47	RMSE:1.0489972829818726	NNL:7.926706848144529
Epoch:48	RMSE:1.04897141456604	NNL:7.945094818115232
Epoch:49	RMSE:1.0467561483383179	NNL:7.963240631103515
Epoch:50	RMSE:1.04915189743042	NNL:7.966094787597656
Epoch:51	RMSE:1.0460002422332764	NNL:7.940152526855469
Epoch:52	RMSE:1.0490171909332275	NNL:7.995368865966796
Epoch:53	RMSE:1.0490528345108032	NNL:8.054805694580077
Epoch:54	RMSE:1.0463647842407227	NNL:8.006358947753908
Epoch:55	RMSE:1.0462915897369385	NNL:7.995653442382815
Epoch:56	RMSE:1.0483084917068481	NNL:7.997968933105469
Epoch:57	RMSE:1.0496677160263062	NNL:8.005537292480467
Epoch:58	RMSE:1.0500046014785767	NNL:8.059704101562499
Epoch:59	RMSE:1.0480306148529053	NNL:8.063186920166014
