Epoch:0	ItemNet(SE):1.1822773218154907	NNL:7.661776738887212
Epoch:1	ItemNet(SE):1.1771955490112305	NNL:5.204012643278929
Epoch:2	ItemNet(SE):1.1765104532241821	NNL:5.087404069420243
Epoch:3	ItemNet(SE):1.1776424646377563	NNL:4.892841279832581
Epoch:4	ItemNet(SE):1.1756867170333862	NNL:4.819211240260721
Epoch:5	ItemNet(SE):1.1780203580856323	NNL:4.790408291164917
Epoch:6	ItemNet(SE):1.1776925325393677	NNL:4.771251748723091
Epoch:7	ItemNet(SE):1.1760526895523071	NNL:4.756651337987228
Epoch:8	ItemNet(SE):1.175372838973999	NNL:4.745629442612902
Epoch:9	ItemNet(SE):1.1748847961425781	NNL:4.734998721115881
Epoch:10	ItemNet(SE):1.1752873659133911	NNL:4.722383128653329
Epoch:11	ItemNet(SE):1.1790555715560913	NNL:4.704523151864251
Epoch:12	ItemNet(SE):1.1754426956176758	NNL:4.6795985708991354
Epoch:13	ItemNet(SE):1.1758596897125244	NNL:4.648177702101016
Epoch:14	ItemNet(SE):1.177726149559021	NNL:4.610176472835401
Epoch:15	ItemNet(SE):1.176779866218567	NNL:4.565096375170374
Epoch:16	ItemNet(SE):1.1747188568115234	NNL:4.5187855606627965
Epoch:17	ItemNet(SE):1.178074598312378	NNL:4.476013319715323
Epoch:18	ItemNet(SE):1.1774096488952637	NNL:4.435762609028985
Epoch:19	ItemNet(SE):1.1768559217453003	NNL:4.397256103076522
Epoch:20	ItemNet(SE):1.1766849756240845	NNL:4.360537022652384
Epoch:21	ItemNet(SE):1.1758970022201538	NNL:4.328029916886802
Epoch:22	ItemNet(SE):1.1771844625473022	NNL:4.300266455780691
Epoch:23	ItemNet(SE):1.1772875785827637	NNL:4.275441954907753
Epoch:24	ItemNet(SE):1.1764782667160034	NNL:4.25286596504047
Epoch:25	ItemNet(SE):1.177099585533142	NNL:4.232179563234178
Epoch:26	ItemNet(SE):1.1778643131256104	NNL:4.2122911576744455
Epoch:27	ItemNet(SE):1.1774179935455322	NNL:4.19300774663472
Epoch:28	ItemNet(SE):1.1783632040023804	NNL:4.173887255552005
Epoch:29	ItemNet(SE):1.1779948472976685	NNL:4.154970338670471
Epoch:30	ItemNet(SE):1.1760282516479492	NNL:4.137788817042067
Epoch:31	ItemNet(SE):1.1770215034484863	NNL:4.120238117245463
Epoch:32	ItemNet(SE):1.1757489442825317	NNL:4.102997488117905
Epoch:33	ItemNet(SE):1.1778804063796997	NNL:4.087088907365316
Epoch:34	ItemNet(SE):1.1798607110977173	NNL:4.070991221915043
Epoch:35	ItemNet(SE):1.1789636611938477	NNL:4.056513745424559
Epoch:36	ItemNet(SE):1.1791752576828003	NNL:4.041775307415203
Epoch:37	ItemNet(SE):1.1768289804458618	NNL:4.027742006590042
Epoch:38	ItemNet(SE):1.176909327507019	NNL:4.013992805755394
Epoch:39	ItemNet(SE):1.1766034364700317	NNL:4.000521457589786
Epoch:40	ItemNet(SE):1.1767222881317139	NNL:3.988069655603645
Epoch:41	ItemNet(SE):1.176119327545166	NNL:3.9748618289206523
Epoch:42	ItemNet(SE):1.176181674003601	NNL:3.963078697808353
Epoch:43	ItemNet(SE):1.1785553693771362	NNL:3.951412240446902
Epoch:44	ItemNet(SE):1.1770387887954712	NNL:3.939695059138234
Epoch:45	ItemNet(SE):1.1774866580963135	NNL:3.9283980686544524
Epoch:46	ItemNet(SE):1.1750679016113281	NNL:3.917981739730289
Epoch:47	ItemNet(SE):1.175321340560913	NNL:3.907809794034889
Epoch:48	ItemNet(SE):1.1755797863006592	NNL:3.8974942817962437
