Epoch:0	RMSE:1.050348162651062	NNL:5.516966133687033
Epoch:1	RMSE:1.0507172346115112	NNL:5.290002291095792
Epoch:2	RMSE:1.0510820150375366	NNL:5.279944152832031
Epoch:3	RMSE:1.0522507429122925	NNL:5.500815065298506
Epoch:4	RMSE:1.0505430698394775	NNL:5.541295703489387
Epoch:5	RMSE:1.0512826442718506	NNL:5.6107927419178525
Epoch:6	RMSE:1.0503177642822266	NNL:5.648980202746033
Epoch:7	RMSE:1.0518501996994019	NNL:5.683855836782883
Epoch:8	RMSE:1.0534882545471191	NNL:5.72176059096607
Epoch:9	RMSE:1.0513197183609009	NNL:5.8608602222044075
Epoch:10	RMSE:1.0529227256774902	NNL:5.943214557704642
Epoch:11	RMSE:1.0522010326385498	NNL:5.9929626009357495
Epoch:12	RMSE:1.0499447584152222	NNL:5.946128594697412
Epoch:13	RMSE:1.0521981716156006	NNL:5.896322413202542
Epoch:14	RMSE:1.0506064891815186	NNL:5.948020629882813
Epoch:15	RMSE:1.0526304244995117	NNL:6.0328030532153685
Epoch:16	RMSE:1.0503853559494019	NNL:6.103307003192046
Epoch:17	RMSE:1.0520033836364746	NNL:6.11626619709072
Epoch:18	RMSE:1.0496662855148315	NNL:6.157353269662431
Epoch:19	RMSE:1.051429271697998	NNL:6.276750069233908
Epoch:20	RMSE:1.0518696308135986	NNL:6.433532113601914
Epoch:21	RMSE:1.051149845123291	NNL:6.578583701973529
Epoch:22	RMSE:1.0513842105865479	NNL:6.666134443140743
Epoch:23	RMSE:1.0523582696914673	NNL:6.745896761310633
Epoch:24	RMSE:1.0505882501602173	NNL:6.815834305037315
Epoch:25	RMSE:1.050147294998169	NNL:6.8499869548740655
Epoch:26	RMSE:1.052030324935913	NNL:6.89116277438491
Epoch:27	RMSE:1.051567792892456	NNL:6.926561871428988
Epoch:28	RMSE:1.0529502630233765	NNL:6.9626744330107275
Epoch:29	RMSE:1.051221251487732	NNL:7.0013051593837465
Epoch:30	RMSE:1.0510145425796509	NNL:7.049483587919776
Epoch:31	RMSE:1.0509450435638428	NNL:7.089104268088269
Epoch:32	RMSE:1.0502979755401611	NNL:7.130244896732159
Epoch:33	RMSE:1.0514404773712158	NNL:7.182516406614389
Epoch:34	RMSE:1.0517818927764893	NNL:7.206246556524021
Epoch:35	RMSE:1.0529217720031738	NNL:7.230150556421991
Epoch:36	RMSE:1.0498791933059692	NNL:7.252216541802703
Epoch:37	RMSE:1.0519212484359741	NNL:7.289443514240322
Epoch:38	RMSE:1.050932765007019	NNL:7.284863244811101
Epoch:39	RMSE:1.0525660514831543	NNL:7.324229226183536
Epoch:40	RMSE:1.0509294271469116	NNL:7.323467152154269
Epoch:41	RMSE:1.0498114824295044	NNL:7.355444572790347
Epoch:42	RMSE:1.0520362854003906	NNL:7.384481264939948
Epoch:43	RMSE:1.0520983934402466	NNL:7.422024936960704
Epoch:44	RMSE:1.0534560680389404	NNL:7.402683497186917
Epoch:45	RMSE:1.0513663291931152	NNL:7.446491881413247
Epoch:46	RMSE:1.050146222114563	NNL:7.454314675402287
Epoch:47	RMSE:1.050762414932251	NNL:7.491843352815997
Epoch:48	RMSE:1.0516693592071533	NNL:7.496045204276468
Epoch:49	RMSE:1.0509203672409058	NNL:7.500676807005016
Epoch:50	RMSE:1.0509979724884033	NNL:7.496737907751284
Epoch:51	RMSE:1.051069736480713	NNL:7.491501455734026
Epoch:52	RMSE:1.0507129430770874	NNL:7.5299014874358665
Epoch:53	RMSE:1.0530472993850708	NNL:7.548063655113104
Epoch:54	RMSE:1.0509018898010254	NNL:7.549939165257694
Epoch:55	RMSE:1.050426959991455	NNL:7.529620652839322
Epoch:56	RMSE:1.0520762205123901	NNL:7.524828336345616
Epoch:57	RMSE:1.0515210628509521	NNL:7.5320611663362875
Epoch:58	RMSE:1.053087830543518	NNL:7.5405809180416306
Epoch:59	RMSE:1.052858829498291	NNL:7.5183456466447085
Epoch:60	RMSE:1.049448847770691	NNL:7.512985703197879
Epoch:61	RMSE:1.0514887571334839	NNL:7.5204450191668615
Epoch:62	RMSE:1.0521742105484009	NNL:7.544304527168846
Epoch:63	RMSE:1.0523673295974731	NNL:7.507987579801189
Epoch:64	RMSE:1.0516985654830933	NNL:7.532539508876515
Epoch:65	RMSE:1.0529677867889404	NNL:7.537298675081622
Epoch:66	RMSE:1.05111563205719	NNL:7.534795386470967
Epoch:67	RMSE:1.0523830652236938	NNL:7.538426704976095
Epoch:68	RMSE:1.0516111850738525	NNL:7.493008559497437
Epoch:69	RMSE:1.051381230354309	NNL:7.533247325384795
Epoch:70	RMSE:1.0520823001861572	NNL:7.567002654573811
Epoch:71	RMSE:1.0505667924880981	NNL:7.580321245335818
Epoch:72	RMSE:1.0533150434494019	NNL:7.56592441843517
Epoch:73	RMSE:1.0512354373931885	NNL:7.580887915767838
Epoch:74	RMSE:1.0508173704147339	NNL:7.601932527912194
Epoch:75	RMSE:1.051382303237915	NNL:7.59762369184352
Epoch:76	RMSE:1.0511339902877808	NNL:7.618875632214901
Epoch:77	RMSE:1.0518871545791626	NNL:7.57125298798974
Epoch:78	RMSE:1.0489882230758667	NNL:7.613822704713737
Epoch:79	RMSE:1.0520116090774536	NNL:7.629378097306435
