Epoch:0	SE:2.7345035076141357
Epoch:1	SE:1.484279990196228
Epoch:2	SE:1.2364956140518188
Epoch:3	SE:1.230156421661377
Epoch:4	SE:1.2231416702270508
Epoch:5	SE:1.216072678565979
Epoch:6	SE:1.208849549293518
Epoch:7	SE:1.1993670463562012
Epoch:8	SE:1.18716299533844
Epoch:9	SE:1.1697269678115845
Epoch:10	SE:1.1532388925552368
Epoch:11	SE:1.1418646574020386
Epoch:12	SE:1.1296920776367188
Epoch:13	SE:1.116086483001709
Epoch:14	SE:1.1033049821853638
Epoch:15	SE:1.0862318277359009
Epoch:16	SE:1.0728647708892822
Epoch:17	SE:1.0612581968307495
Epoch:18	SE:1.0514264106750488
Epoch:19	SE:1.0407994985580444
Epoch:20	SE:1.0313688516616821
Epoch:21	SE:1.0275177955627441
Epoch:22	SE:1.0223578214645386
Epoch:23	SE:1.0191116333007812
Epoch:24	SE:1.0144126415252686
Epoch:25	SE:1.0091592073440552
Epoch:26	SE:1.004333257675171
Epoch:27	SE:0.9983281493186951
Epoch:28	SE:0.9927679300308228
Epoch:29	SE:0.984758198261261
Epoch:30	SE:0.9784995913505554
Epoch:31	SE:0.9712294936180115
Epoch:32	SE:0.9633421897888184
Epoch:33	SE:0.954433262348175
Epoch:34	SE:0.9459511637687683
Epoch:35	SE:0.9351481795310974
Epoch:36	SE:0.9259122610092163
Epoch:37	SE:0.9165645241737366
Epoch:38	SE:0.9066848158836365
Epoch:39	SE:0.8986911773681641
