Epoch:0	ItemNet(SE):1.2397135496139526	NNL:6.3138160213754295
Epoch:1	ItemNet(SE):1.2384023666381836	NNL:4.9746168238111705
Epoch:2	ItemNet(SE):1.237254023551941	NNL:4.805456280416701
Epoch:3	ItemNet(SE):1.2372571229934692	NNL:4.760115262118254
Epoch:4	ItemNet(SE):1.2355958223342896	NNL:4.728536522479096
Epoch:5	ItemNet(SE):1.2356758117675781	NNL:4.6760380385217655
Epoch:6	ItemNet(SE):1.2340527772903442	NNL:4.609612350589973
Epoch:7	ItemNet(SE):1.2333935499191284	NNL:4.527842262709429
Epoch:8	ItemNet(SE):1.23365318775177	NNL:4.437062470743477
Epoch:9	ItemNet(SE):1.2327253818511963	NNL:4.363776409811232
Epoch:10	ItemNet(SE):1.2315324544906616	NNL:4.309094848632813
Epoch:11	ItemNet(SE):1.230652093887329	NNL:4.265543065346968
Epoch:12	ItemNet(SE):1.231094479560852	NNL:4.228326108569945
Epoch:13	ItemNet(SE):1.2312977313995361	NNL:4.193354387015342
Epoch:14	ItemNet(SE):1.230725646018982	NNL:4.161167226744093
Epoch:15	ItemNet(SE):1.2304251194000244	NNL:4.131244541893318
Epoch:16	ItemNet(SE):1.2296885251998901	NNL:4.10485204195385
Epoch:17	ItemNet(SE):1.2283008098602295	NNL:4.080009896522714
Epoch:18	ItemNet(SE):1.2296096086502075	NNL:4.057240613448719
Epoch:19	ItemNet(SE):1.2293297052383423	NNL:4.035611048170363
Epoch:20	ItemNet(SE):1.2288316488265991	NNL:4.0161700981707575
Epoch:21	ItemNet(SE):1.2281888723373413	NNL:3.9986631104020045
Epoch:22	ItemNet(SE):1.2290505170822144	NNL:3.981491866939326
Epoch:23	ItemNet(SE):1.2287017107009888	NNL:3.964841879095913
Epoch:24	ItemNet(SE):1.228360891342163	NNL:3.9488531009894787
Epoch:25	ItemNet(SE):1.2288130521774292	NNL:3.933244851608903
Epoch:26	ItemNet(SE):1.227071762084961	NNL:3.9187450644753166
Epoch:27	ItemNet(SE):1.2273868322372437	NNL:3.904517809402846
Epoch:28	ItemNet(SE):1.227637767791748	NNL:3.8911407770834723
Epoch:29	ItemNet(SE):1.2283611297607422	NNL:3.8779003888595214
Epoch:30	ItemNet(SE):1.2274653911590576	NNL:3.8655137313968866
Epoch:31	ItemNet(SE):1.2274037599563599	NNL:3.8541111266081
Epoch:32	ItemNet(SE):1.2277833223342896	NNL:3.8423468534611467
Epoch:33	ItemNet(SE):1.2279738187789917	NNL:3.8314274395398855
Epoch:34	ItemNet(SE):1.2269164323806763	NNL:3.8203822094625695
Epoch:35	ItemNet(SE):1.2277934551239014	NNL:3.810548376414404
Epoch:36	ItemNet(SE):1.2271461486816406	NNL:3.8007894725957225
Epoch:37	ItemNet(SE):1.22787606716156	NNL:3.7911181572527908
Epoch:38	ItemNet(SE):1.227158546447754	NNL:3.7818383557028095
Epoch:39	ItemNet(SE):1.2270194292068481	NNL:3.772916290787616
Epoch:40	ItemNet(SE):1.2271528244018555	NNL:3.764127289574992
Epoch:41	ItemNet(SE):1.2270309925079346	NNL:3.755423654603561
Epoch:42	ItemNet(SE):1.2262569665908813	NNL:3.74742473961696
Epoch:43	ItemNet(SE):1.227612018585205	NNL:3.7390074944614375
Epoch:44	ItemNet(SE):1.2266613245010376	NNL:3.731413404984904
Epoch:45	ItemNet(SE):1.226643681526184	NNL:3.723884028411107
Epoch:46	ItemNet(SE):1.2268284559249878	NNL:3.716542212368043
Epoch:47	ItemNet(SE):1.226701021194458	NNL:3.7091474352119382
Epoch:48	ItemNet(SE):1.2262437343597412	NNL:3.701968302576998
Epoch:49	ItemNet(SE):1.2274092435836792	NNL:3.69502266220219
Epoch:50	ItemNet(SE):1.227013111114502	NNL:3.688090516397773
Epoch:51	ItemNet(SE):1.2265105247497559	NNL:3.68126192178017
Epoch:52	ItemNet(SE):1.226745367050171	NNL:3.674610487000017
Epoch:53	ItemNet(SE):1.2266303300857544	NNL:3.6681053555070826
Epoch:54	ItemNet(SE):1.2258243560791016	NNL:3.66166226826817
Epoch:55	ItemNet(SE):1.2274231910705566	NNL:3.6553450940345
Epoch:56	ItemNet(SE):1.2267509698867798	NNL:3.6489702713391012
Epoch:57	ItemNet(SE):1.22645103931427	NNL:3.6430463574622283
Epoch:58	ItemNet(SE):1.2268052101135254	NNL:3.636854821323361
Epoch:59	ItemNet(SE):1.2264691591262817	NNL:3.6312489144821822
Epoch:60	ItemNet(SE):1.2264527082443237	NNL:3.6251205401459967
