Epoch:0	RMSE:1.0991160869598389	NNL:5.119149873240896
Epoch:1	RMSE:1.0988987684249878	NNL:5.359235769107643
Epoch:2	RMSE:1.0983713865280151	NNL:5.494693912733469
Epoch:3	RMSE:1.0987443923950195	NNL:5.6404209687694005
Epoch:4	RMSE:1.098044753074646	NNL:5.723114401709955
Epoch:5	RMSE:1.0961759090423584	NNL:5.8054181878298365
Epoch:6	RMSE:1.098110318183899	NNL:5.911380683949453
Epoch:7	RMSE:1.0963108539581299	NNL:6.134135596673219
Epoch:8	RMSE:1.0958847999572754	NNL:6.22367911433542
Epoch:9	RMSE:1.0968693494796753	NNL:6.400304395663029
Epoch:10	RMSE:1.0956120491027832	NNL:6.57906076191277
Epoch:11	RMSE:1.096874475479126	NNL:6.692693760347679
Epoch:12	RMSE:1.0968399047851562	NNL:6.773958125840748
Epoch:13	RMSE:1.0958698987960815	NNL:6.867992679014898
Epoch:14	RMSE:1.0967098474502563	NNL:6.965385936206537
Epoch:15	RMSE:1.0971698760986328	NNL:7.0459023785117445
Epoch:16	RMSE:1.0965378284454346	NNL:7.103227773502171
Epoch:17	RMSE:1.0955055952072144	NNL:7.132090005432528
Epoch:18	RMSE:1.09572172164917	NNL:7.159523129494768
Epoch:19	RMSE:1.0956939458847046	NNL:7.177564038409299
Epoch:20	RMSE:1.0949562788009644	NNL:7.195140029199868
Epoch:21	RMSE:1.0956058502197266	NNL:7.2257809266349335
Epoch:22	RMSE:1.0965468883514404	NNL:7.24242707713551
Epoch:23	RMSE:1.095873236656189	NNL:7.264838333635141
Epoch:24	RMSE:1.094781517982483	NNL:7.2851642411592
Epoch:25	RMSE:1.0956346988677979	NNL:7.300891755969321
Epoch:26	RMSE:1.0959101915359497	NNL:7.309084541371325
Epoch:27	RMSE:1.095800757408142	NNL:7.28900105255329
Epoch:28	RMSE:1.0952948331832886	NNL:7.3085411546719765
Epoch:29	RMSE:1.09583580493927	NNL:7.313042400435896
Epoch:30	RMSE:1.0947550535202026	NNL:7.29467829217974
Epoch:31	RMSE:1.0953036546707153	NNL:7.285378935352858
Epoch:32	RMSE:1.0950472354888916	NNL:7.248779498978162
Epoch:33	RMSE:1.0955767631530762	NNL:7.238439124909458
Epoch:34	RMSE:1.0948201417922974	NNL:7.233035561264744
Epoch:35	RMSE:1.0937974452972412	NNL:7.228184846789632
Epoch:36	RMSE:1.095773458480835	NNL:7.231628915142535
Epoch:37	RMSE:1.0942684412002563	NNL:7.229822153255637
Epoch:38	RMSE:1.0948394536972046	NNL:7.233643471420995
Epoch:39	RMSE:1.0946472883224487	NNL:7.24757861408966
Epoch:40	RMSE:1.0947903394699097	NNL:7.250970264965337
Epoch:41	RMSE:1.096516728401184	NNL:7.275520169087588
Epoch:42	RMSE:1.0955579280853271	NNL:7.301404346188171
Epoch:43	RMSE:1.0959529876708984	NNL:7.326261661352703
Epoch:44	RMSE:1.0954540967941284	NNL:7.331494383148798
Epoch:45	RMSE:1.0959144830703735	NNL:7.344942372303138
Epoch:46	RMSE:1.095445990562439	NNL:7.3574194578461265
Epoch:47	RMSE:1.0948593616485596	NNL:7.371095605307066
Epoch:48	RMSE:1.0944311618804932	NNL:7.407892981522924
Epoch:49	RMSE:1.0946075916290283	NNL:7.410329355404079
Epoch:50	RMSE:1.09347665309906	NNL:7.442054160414946
Epoch:51	RMSE:1.09507417678833	NNL:7.429662960633535
Epoch:52	RMSE:1.0951486825942993	NNL:7.465436352862426
Epoch:53	RMSE:1.0950816869735718	NNL:7.457942957593907
Epoch:54	RMSE:1.0954991579055786	NNL:7.499558364160805
Epoch:55	RMSE:1.0956690311431885	NNL:7.528683459553498
Epoch:56	RMSE:1.095077633857727	NNL:7.508343077400659
Epoch:57	RMSE:1.0948843955993652	NNL:7.519631477002282
Epoch:58	RMSE:1.0943294763565063	NNL:7.558421327704623
Epoch:59	RMSE:1.0944057703018188	NNL:7.551588987640993
Epoch:60	RMSE:1.0954042673110962	NNL:7.571937073966525
