Epoch:0	SE:2.804708242416382
Epoch:1	SE:1.7105244398117065
Epoch:2	SE:1.3023782968521118
Epoch:3	SE:1.2929085493087769
Epoch:4	SE:1.2850950956344604
Epoch:5	SE:1.2779902219772339
Epoch:6	SE:1.271312952041626
Epoch:7	SE:1.264884352684021
Epoch:8	SE:1.2585760354995728
Epoch:9	SE:1.2522820234298706
Epoch:10	SE:1.246264934539795
Epoch:11	SE:1.2409082651138306
Epoch:12	SE:1.235850214958191
Epoch:13	SE:1.2307630777359009
Epoch:14	SE:1.2256227731704712
Epoch:15	SE:1.2204011678695679
Epoch:16	SE:1.2150684595108032
Epoch:17	SE:1.209592580795288
Epoch:18	SE:1.2039395570755005
Epoch:19	SE:1.1980739831924438
Epoch:20	SE:1.1929244995117188
Epoch:21	SE:1.188900351524353
Epoch:22	SE:1.1851671934127808
Epoch:23	SE:1.1813408136367798
Epoch:24	SE:1.1773781776428223
Epoch:25	SE:1.1732470989227295
Epoch:26	SE:1.1689079999923706
Epoch:27	SE:1.164307713508606
Epoch:28	SE:1.1593623161315918
Epoch:29	SE:1.1539456844329834
Epoch:30	SE:1.1483020782470703
Epoch:31	SE:1.1424307823181152
Epoch:32	SE:1.1355514526367188
Epoch:33	SE:1.1282485723495483
Epoch:34	SE:1.1212680339813232
Epoch:35	SE:1.113783836364746
Epoch:36	SE:1.1072603464126587
Epoch:37	SE:1.1019829511642456
Epoch:38	SE:1.0964285135269165
Epoch:39	SE:1.090996503829956
Epoch:40	SE:1.0855737924575806
Epoch:41	SE:1.080392599105835
Epoch:42	SE:1.075454831123352
Epoch:43	SE:1.0704795122146606
Epoch:44	SE:1.0658029317855835
Epoch:45	SE:1.0608198642730713
Epoch:46	SE:1.056290626525879
Epoch:47	SE:1.0514804124832153
Epoch:48	SE:1.0466892719268799
Epoch:49	SE:1.041733741760254
Epoch:50	SE:1.0366237163543701
Epoch:51	SE:1.0309944152832031
Epoch:52	SE:1.02473783493042
Epoch:53	SE:1.0180306434631348
Epoch:54	SE:1.010472297668457
Epoch:55	SE:1.0022876262664795
Epoch:56	SE:0.9938677549362183
Epoch:57	SE:0.9848629236221313
Epoch:58	SE:0.9751595854759216
Epoch:59	SE:0.9645515084266663
Epoch:60	SE:0.9527697563171387
Epoch:61	SE:0.9404855966567993
Epoch:62	SE:0.9274142980575562
Epoch:63	SE:0.913658082485199
Epoch:64	SE:0.898980975151062
Epoch:65	SE:0.8841891884803772
Epoch:66	SE:0.8697723150253296
Epoch:67	SE:0.8556872606277466
Epoch:68	SE:0.8418272733688354
Epoch:69	SE:0.8281811475753784
Epoch:70	SE:0.8148006200790405
Epoch:71	SE:0.8017058968544006
Epoch:72	SE:0.7888925671577454
Epoch:73	SE:0.7763664722442627
Epoch:74	SE:0.7640978097915649
Epoch:75	SE:0.7520760297775269
Epoch:76	SE:0.7403170466423035
Epoch:77	SE:0.7288350462913513
Epoch:78	SE:0.7176499962806702
Epoch:79	SE:0.7067770957946777
