Epoch:0	SE:2.522658109664917
Epoch:1	SE:1.3052563667297363
Epoch:2	SE:1.2814478874206543
Epoch:3	SE:1.276497721672058
Epoch:4	SE:1.2701585292816162
Epoch:5	SE:1.2648158073425293
Epoch:6	SE:1.2607982158660889
Epoch:7	SE:1.2555729150772095
Epoch:8	SE:1.2498996257781982
Epoch:9	SE:1.2427343130111694
Epoch:10	SE:1.238525152206421
Epoch:11	SE:1.2335526943206787
Epoch:12	SE:1.229757308959961
Epoch:13	SE:1.2229090929031372
Epoch:14	SE:1.2201210260391235
Epoch:15	SE:1.2142201662063599
Epoch:16	SE:1.2096176147460938
Epoch:17	SE:1.2028367519378662
Epoch:18	SE:1.1970361471176147
Epoch:19	SE:1.19217848777771
Epoch:20	SE:1.1836186647415161
Epoch:21	SE:1.1801772117614746
Epoch:22	SE:1.1788225173950195
Epoch:23	SE:1.1764789819717407
Epoch:24	SE:1.1761927604675293
Epoch:25	SE:1.1734436750411987
Epoch:26	SE:1.1666468381881714
Epoch:27	SE:1.167875051498413
Epoch:28	SE:1.1629046201705933
Epoch:29	SE:1.160638689994812
Epoch:30	SE:1.1605944633483887
Epoch:31	SE:1.1582870483398438
Epoch:32	SE:1.154892921447754
Epoch:33	SE:1.1521347761154175
Epoch:34	SE:1.1526687145233154
Epoch:35	SE:1.1502290964126587
Epoch:36	SE:1.1484774351119995
Epoch:37	SE:1.1434001922607422
Epoch:38	SE:1.1433180570602417
Epoch:39	SE:1.140730857849121
Epoch:40	SE:1.1412107944488525
Epoch:41	SE:1.1374701261520386
Epoch:42	SE:1.136803388595581
Epoch:43	SE:1.135743260383606
Epoch:44	SE:1.1320475339889526
Epoch:45	SE:1.1379860639572144
Epoch:46	SE:1.133048415184021
Epoch:47	SE:1.1353068351745605
Epoch:48	SE:1.1330657005310059
Epoch:49	SE:1.1326733827590942
Epoch:50	SE:1.1315845251083374
Epoch:51	SE:1.1313875913619995
Epoch:52	SE:1.1306663751602173
Epoch:53	SE:1.1299538612365723
Epoch:54	SE:1.1307934522628784
Epoch:55	SE:1.1284441947937012
Epoch:56	SE:1.1287610530853271
Epoch:57	SE:1.1279137134552002
Epoch:58	SE:1.126871943473816
Epoch:59	SE:1.128350019454956
