Epoch:0	SE:2.015882730484009
Epoch:1	SE:1.2820643186569214
Epoch:2	SE:1.2609169483184814
Epoch:3	SE:1.2500889301300049
Epoch:4	SE:1.2416961193084717
Epoch:5	SE:1.2365198135375977
Epoch:6	SE:1.2297295331954956
Epoch:7	SE:1.2221362590789795
Epoch:8	SE:1.2152765989303589
Epoch:9	SE:1.206517219543457
Epoch:10	SE:1.2005650997161865
Epoch:11	SE:1.195313811302185
Epoch:12	SE:1.1888840198516846
Epoch:13	SE:1.1814149618148804
Epoch:14	SE:1.171552300453186
Epoch:15	SE:1.1640956401824951
Epoch:16	SE:1.1527937650680542
Epoch:17	SE:1.1430002450942993
Epoch:18	SE:1.1310604810714722
Epoch:19	SE:1.1125019788742065
Epoch:20	SE:1.101757526397705
Epoch:21	SE:1.0971897840499878
Epoch:22	SE:1.0911729335784912
Epoch:23	SE:1.0866564512252808
Epoch:24	SE:1.0817458629608154
Epoch:25	SE:1.0760167837142944
Epoch:26	SE:1.073486328125
Epoch:27	SE:1.0710405111312866
Epoch:28	SE:1.066027045249939
Epoch:29	SE:1.0584114789962769
Epoch:30	SE:1.0548611879348755
Epoch:31	SE:1.050750970840454
Epoch:32	SE:1.0493286848068237
Epoch:33	SE:1.043624997138977
Epoch:34	SE:1.0386347770690918
Epoch:35	SE:1.0379348993301392
Epoch:36	SE:1.0319932699203491
Epoch:37	SE:1.0276933908462524
Epoch:38	SE:1.0236209630966187
Epoch:39	SE:1.020828127861023
Epoch:40	SE:1.0192220211029053
Epoch:41	SE:1.0169779062271118
Epoch:42	SE:1.0162162780761719
Epoch:43	SE:1.0140314102172852
Epoch:44	SE:1.0141291618347168
Epoch:45	SE:1.010958194732666
Epoch:46	SE:1.0129612684249878
Epoch:47	SE:1.0090171098709106
Epoch:48	SE:1.0079867839813232
Epoch:49	SE:1.0068732500076294
Epoch:50	SE:1.0073424577713013
Epoch:51	SE:1.004323124885559
Epoch:52	SE:1.004955530166626
Epoch:53	SE:1.0051288604736328
Epoch:54	SE:1.0019283294677734
Epoch:55	SE:1.000332236289978
Epoch:56	SE:1.0004771947860718
Epoch:57	SE:0.9977251291275024
Epoch:58	SE:0.9965958595275879
Epoch:59	SE:0.9977578520774841
